kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.49959,857.90106,630.85046,1324.0083,0.98263633,0.2776443,0.014888048
234.48853,864.7809,633.8622,1325.0369,0.94891083,0.28413728,0.029554427
240.87695,871.6546,637.02216,1326.0869,0.94752955,0.29025984,0.044002473
247.62483,878.5342,640.31885,1327.1597,0.95863473,0.2963133,0.058235407
254.70451,885.4293,643.7423,1328.2559,0.97454673,0.30241328,0.072256446
262.1169,892.3482,647.2841,1329.377,0.99230206,0.3086036,0.08606875
269.83096,899.2979,650.93646,1330.5233,1.0107629,0.31490046,0.09967542
277.83514,906.284,654.693,1331.6963,1.0294973,0.32130933,0.11307949
286.11578,913.31104,658.54785,1332.8962,1.0483441,0.32783175,0.126284
294.6506,920.3827,662.496,1334.1241,1.0672469,0.33446765,0.13929194
303.44177,927.5018,666.5327,1335.3806,1.0861876,0.34121653,0.15210623
312.46713,934.6706,670.6541,1336.6663,1.1051621,0.3480777,0.16472971
321.7249,941.89056,674.8567,1337.9816,1.124171,0.35505044,0.17716527
331.2119,949.1627,679.13696,1339.3273,1.1432163,0.36213407,0.1894157
340.92715,956.48785,683.49225,1340.7039,1.1622987,0.36932784,0.20148373
350.86075,963.8662,687.91974,1342.1118,1.1814191,0.37663108,0.21337211
361.00824,971.298,692.41705,1343.5518,1.2005777,0.38404316,0.22508347
371.3596,978.7827,696.9817,1345.024,1.219774,0.39156345,0.23662049
381.90692,986.3199,701.61176,1346.529,1.239007,0.39919126,0.24798572
392.65762,993.9087,706.30524,1348.0673,1.2582748,0.40692598,0.25918174
403.6135,1001.5483,711.06024,1349.6392,1.2775754,0.4147669,0.2702111
414.76376,1009.23755,715.875,1351.2451,1.2969065,0.42271337,0.28107625
426.10577,1016.9754,720.74774,1352.8857,1.3162657,0.43076468,0.29177964
437.64673,1024.7605,725.6769,1354.561,1.3356502,0.43892014,0.3023237
449.38025,1032.5916,730.6608,1356.2716,1.3550572,0.44717902,0.31271076
461.30127,1040.4672,735.6981,1358.0177,1.3744838,0.4555406,0.32294315
473.417,1048.3856,740.78723,1359.7996,1.3939266,0.46400407,0.33302325
485.72925,1056.3457,745.92664,1361.6174,1.4133829,0.47256866,0.34295326
498.24292,1064.3456,751.1149,1363.4719,1.4328494,0.48123357,0.35273546
510.95578,1072.3839,756.35065,1365.3633,1.4523232,0.48999798,0.36237198
523.86865,1080.459,761.6325,1367.2915,1.471801,0.498861,0.37186503
536.9804,1088.5695,766.95905,1369.257,1.4912801,0.5078218,0.38121676
550.28076,1096.7134,772.32904,1371.2599,1.5107574,0.51687944,0.39042926
563.7695,1104.8893,777.741,1373.3007,1.5302303,0.52603304,0.3995046
577.44995,1113.0953,783.19385,1375.3794,1.5496954,0.53528166,0.40844482
591.323,1121.3298,788.68604,1377.4963,1.56915,0.5446244,0.41725194
605.3793,1129.5907,794.2163,1379.6517,1.5885913,0.5540603,0.42592794
619.63245,1137.8766,799.7834,1381.8457,1.6080163,0.5635883,0.43447477
634.1058,1146.1858,805.386,1384.0784,1.627422,0.5732075,0.44289434
648.7637,1154.5166,811.0228,1386.3501,1.646806,0.5829168,0.45118856
663.6109,1162.8673,816.6925,1388.6609,1.6661661,0.5927152,0.4593593
678.66345,1171.2363,822.39386,1391.011,1.6854994,0.6026017,0.46740842
693.9337,1179.6217,828.1256,1393.4005,1.704804,0.6125752,0.47533768
709.4051,1188.0221,833.8864,1395.8296,1.724077,0.6226346,0.48314893
725.0665,1196.4359,839.675,1398.2981,1.7433162,0.6327789,0.49084383
740.9227,1204.8613,845.49023,1400.8064,1.7625197,0.6430069,0.49842417
756.98535,1213.2965,851.33075,1403.3546,1.7816852,0.65331763,0.5058917
773.2688,1221.7401,857.19543,1405.9427,1.8008108,0.66370994,0.513248
789.76166,1230.1907,863.08295,1408.571,1.8198941,0.67418265,0.5204948
806.4663,1238.6464,868.992,1411.2393,1.8389336,0.6847347,0.5276337
823.37427,1247.106,874.9216,1413.9476,1.8579273,0.6953649,0.53466636
840.4852,1255.5675,880.8703,1416.696,1.8768735,0.7060721,0.54159427
857.809,1264.0298,886.83704,1419.4846,1.8957705,0.71685517,0.54841906
875.34247,1272.491,892.8207,1422.3134,1.9146163,0.727713,0.5551423
893.0895,1280.9498,898.8199,1425.1824,1.9334098,0.73864436,0.5617654
911.0495,1289.4047,904.8335,1428.0917,1.952149,0.74964815,0.5682899
929.2244,1297.8541,910.8603,1431.041,1.9708328,0.7607232,0.5747172
947.61163,1306.2966,916.8993,1434.0306,1.9894595,0.7718683,0.58104885
966.2202,1314.7307,922.9492,1437.0603,2.0080276,0.7830823,0.58728623
985.04156,1323.1553,929.0089,1440.1304,2.0265355,0.7943641,0.59343076
1004.09436,1331.5686,935.0773,1443.2402,2.0449827,0.8057124,0.59948385
1023.37195,1339.9694,941.1532,1446.3903,2.0633676,0.8171261,0.60544676
1042.8635,1348.3563,947.2355,1449.5803,2.081689,0.828604,0.6113209
1062.5702,1356.7281,953.323,1452.8102,2.0999455,0.84014493,0.6171076
1082.4913,1365.0834,959.41486,1456.0798,2.118137,0.8517477,0.62280816
1102.6057,1373.4207,965.50977,1459.3892,2.1362612,0.8634112,0.6284238
1122.9347,1381.7385,971.60675,1462.7382,2.1543179,0.8751341,0.63395584
1143.5063,1390.0358,977.70465,1466.1267,2.1723056,0.8869154,0.6394055
1164.3071,1398.3112,983.8024,1469.5546,2.1902235,0.8987539,0.6447741
1185.3252,1406.5635,989.8991,1473.0216,2.2080705,0.9106483,0.65006274
1206.5591,1414.7916,995.99365,1476.528,2.2258463,0.9225975,0.65527266
1228.0231,1422.9941,1002.08496,1480.0732,2.2435496,0.9346005,0.66040504
1249.7285,1431.1699,1008.17206,1483.6573,2.26118,0.94665587,0.665461
1271.6718,1439.318,1014.25397,1487.2803,2.2787364,0.95876265,0.6704416
1293.8531,1447.437,1020.3296,1490.9417,2.2962184,0.9709196,0.6753481
1316.2666,1455.5261,1026.3981,1494.6415,2.3136253,0.98312557,0.6801815
1338.9143,1463.5841,1032.4583,1498.3794,2.3309565,0.99537945,0.68494296
1361.7971,1471.6097,1038.5096,1502.1553,2.3482113,1.0076802,0.6896336
1384.9249,1479.6022,1044.5509,1505.969,2.3653893,1.0200264,0.6942544
1408.3096,1487.5604,1050.5812,1509.8203,2.38249,1.0324173,0.6988064
1431.9176,1495.4834,1056.5996,1513.7091,2.3995128,1.0448514,0.70329064
1455.7308,1503.37,1062.6052,1517.635,2.4164572,1.0573279,0.7077081
1479.7592,1511.2194,1068.5972,1521.5979,2.433323,1.0698454,0.71205986
1504.028,1519.0303,1074.5747,1525.5974,2.4501097,1.0824031,0.71634674
1528.532,1526.802,1080.5369,1529.6335,2.4668164,1.0949997,0.72056985
1553.2709,1534.5332,1086.4828,1533.7058,2.483443,1.1076341,0.7247301
1578.2379,1542.2234,1092.4115,1537.8141,2.4987361,1.1203053,0.7288283
1603.4336,1549.8713,1098.3224,1541.9583,2.5134583,1.1330006,0.7328656
1628.8622,1557.4763,1104.2146,1546.1378,2.5279045,1.1457146,0.7368427
1654.5519,1565.0374,1110.0873,1550.3527,2.5421891,1.1584446,0.74076056
1680.4993,1572.5538,1115.9396,1554.6025,2.5563562,1.171189,0.7446202
1706.6835,1580.0248,1121.7709,1558.887,2.570423,1.1839464,0.7484224
1733.095,1587.4496,1127.5802,1563.2059,2.5843954,1.1967158,0.75216794
1759.7448,1594.8273,1133.3671,1567.5588,2.5982766,1.2094964,0.7558577
1786.6349,1602.1572,1139.1306,1571.9457,2.612067,1.222287,0.7594925
1813.8018,1609.4386,1144.87,1576.3661,2.625767,1.2350869,0.76307327
1841.2163,1616.6709,1150.5847,1580.8197,2.6393766,1.247895,0.76660067
1868.8479,1623.8531,1156.2738,1585.3063,2.6528955,1.2607106,0.77007556
1896.7191,1630.985,1161.937,1589.8254,2.6663241,1.2735326,0.7734987
1924.8564,1638.0654,1167.5735,1594.3768,2.6796625,1.2863603,0.7768709
1953.2568,1645.094,1173.1824,1598.9602,2.6929102,1.2991925,0.78019285
1981.9191,1652.0702,1178.7633,1603.5752,2.706067,1.3120288,0.7834654
2010.8224,1658.9933,1184.3154,1608.2216,2.7191334,1.3248678,0.78668916
2039.9574,1665.8628,1189.8384,1612.8988,2.732109,1.3377091,0.78986496
2069.3582,1672.678,1195.3314,1617.6069,2.7449942,1.3505515,0.7929935
2099.025,1679.4385,1200.794,1622.3452,2.7577887,1.3633944,0.79607546
2128.9536,1686.1438,1206.2253,1627.1134,2.7704928,1.3762368,0.79911155
2159.1318,1692.7932,1211.6254,1631.9113,2.7831063,1.3890779,0.80210245
2189.5615,1699.3866,1216.993,1636.7384,2.7956297,1.4019169,0.8050488
2220.2388,1705.9231,1222.3281,1641.5945,2.8080628,1.414753,0.8079513
2251.1519,1712.4025,1227.6299,1646.4791,2.8204055,1.4275854,0.81081057
2282.3293,1718.8241,1232.898,1651.3918,2.832658,1.4404132,0.81362724
2313.7458,1725.1877,1238.1318,1656.3325,2.8448205,1.4532359,0.81640196
2345.4019,1731.4929,1243.3312,1661.3005,2.856893,1.4660523,0.8191354
2377.3052,1737.7391,1248.4955,1666.2958,2.8688755,1.4788619,0.8218281
2409.4524,1743.9259,1253.624,1671.3176,2.8807683,1.491664,0.8244808
2441.845,1750.0532,1258.7167,1676.3658,2.8925714,1.5044577,0.82709396
2474.4785,1756.1204,1263.7728,1681.44,2.9042854,1.5172422,0.8296682
2507.3516,1762.1271,1268.7921,1686.5398,2.9159098,1.5300168,0.83220416
2540.467,1768.0731,1273.7742,1691.6647,2.927445,1.5427809,0.8347023
2573.8252,1773.9581,1278.7185,1696.8145,2.9388907,1.5555336,0.83716327
2607.4263,1779.7819,1283.6248,1701.9885,2.9502478,1.5682744,0.83958757
2641.256,1785.5441,1288.4926,1707.1866,2.961516,1.5810024,0.8419758
2675.3142,1791.2443,1293.3217,1712.4086,2.9726958,1.5937169,0.8443285
2709.604,1796.8826,1298.1116,1717.6537,2.9837875,1.6064173,0.8466462
2744.1255,1802.4584,1302.862,1722.9216,2.9947903,1.619103,0.84892935
2778.8813,1807.9717,1307.5728,1728.212,3.0057058,1.6317731,0.8511785
2813.8726,1813.4224,1312.2433,1733.5244,3.016533,1.6444271,0.8533942
2849.0996,1818.8099,1316.8735,1738.8585,3.0272727,1.6570642,0.8555769
2884.607,1824.1346,1321.463,1744.214,3.0379252,1.6696838,0.85772705
2920.4014,1829.396,1326.0115,1749.5902,3.0484905,1.6822853,0.8598452
2956.4883,1834.5942,1330.5187,1754.9869,3.058969,1.6948681,0.86193186
2992.8594,1839.7292,1334.9845,1760.4038,3.069361,1.7074314,0.86398745
3029.506,1844.8009,1339.4086,1765.8402,3.0796666,1.7199749,0.8660124
3066.4128,1849.8094,1343.7906,1771.2959,3.0898862,1.7324976,0.86800724
3103.5679,1854.7543,1348.1307,1776.7705,3.1000204,1.7449992,0.86997235
3140.976,1859.6359,1352.4285,1782.2635,3.1100693,1.757479,0.8719082
3178.6387,1864.4539,1356.6836,1787.7745,3.1200333,1.7699363,0.87381524
