con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.29776,0.0028556,105.17594,104.8756,27.57784,36.845238,43.177963,0.3003404,39.445236
79.74745,0.0035029713,108.62095,108.240456,28.493006,37.47776,44.356007,0.38049605,40.018642
82.282585,0.004121292,112.16493,111.70267,29.420082,38.115883,45.592796,0.46226445,40.598995
84.89773,0.0047070645,115.80348,115.25839,30.36067,38.757187,46.883682,0.54509443,41.183838
87.58691,0.0052604973,119.53592,118.90711,31.32021,39.40075,48.225845,0.6288184,41.772224
90.358345,0.0057838596,123.36113,122.64762,32.28928,40.045403,49.62628,0.7135034,42.362953
93.19894,0.0062804585,127.27599,126.47665,33.277706,40.689556,51.07433,0.7993516,42.95441
96.117355,0.006753998,131.27869,130.39203,34.274673,41.331997,52.57668,0.8866559,43.545357
99.10302,0.007208211,135.368,134.39221,35.2892,41.97173,54.128838,0.975761,44.13476
102.157005,0.0076466408,139.5416,138.47458,36.31758,42.607506,55.73213,1.0670245,44.721355
105.27653,0.008072536,143.80074,142.6399,37.36337,43.23939,57.38428,1.1608366,45.30518
108.45179,0.008488807,148.14197,146.88443,38.43263,43.86567,59.076405,1.2575486,45.884487
111.699684,0.008898012,152.56714,151.20958,39.509903,44.486637,60.824345,1.3575443,46.45955
115.009514,0.009302376,157.07335,155.6122,40.602676,45.10105,62.61767,1.4611553,47.029102
118.38049,0.009703814,161.65923,160.09052,41.71001,45.70818,64.45649,1.568711,47.5924
121.81522,0.01010397,166.32489,164.64435,42.829132,46.307583,66.34625,1.6805418,48.148956
125.30408,0.010504235,171.07014,169.2732,43.9691,46.899155,68.27358,1.796961,48.69866
128.84787,0.010905782,175.89542,173.97716,45.12928,47.48248,70.24677,1.9182773,49.241066
132.44977,0.011309606,180.8004,178.75562,46.30585,48.05745,72.265724,2.0447812,49.776054
136.11191,0.011716536,185.78455,183.60779,47.495888,48.623436,74.32978,2.1767514,50.302963
139.83115,0.012127264,190.84712,188.53264,48.701508,49.18016,76.43875,2.3144531,50.821503
143.6085,0.01254237,195.98792,193.52977,49.921253,49.727398,78.593925,2.458153,51.331417
147.44478,0.012962323,201.20576,198.59764,51.15286,50.264545,80.79636,2.608094,51.832096
151.3345,0.013387514,206.50153,203.73698,52.40248,50.79177,83.038826,2.7645419,52.323673
155.27887,0.013818262,211.8747,208.94696,53.6681,51.308575,85.32557,2.92774,52.805645
