foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.991e-05,2.623e-05,1.381e-05,5.865e-05,3.529e-05,3.013e-05,1.764e-05
1.431e-05,3.171e-05,6.722e-05,6.247e-05,1.550e-05,5.575e-05,1.788e-07
2.623e-06,6.461e-05,2.876e-06,4.053e-05,3.695e-06,1.355e-05,5.066e-07
7.498e-05,3.910e-05,3.941e-06,3.147e-05,9.418e-06,7.749e-05,3.785e-06
4.005e-05,1.907e-06,1.518e-05,4.649e-05,5.841e-06,2.068e-05,2.474e-06
3.135e-05,1.001e-05,1.585e-05,7.439e-05,6.545e-05,4.600e-05,4.584e-05
7.081e-05,5.126e-05,2.111e-05,1.264e-04,8.821e-06,4.908e-05,5.716e-05
3.076e-05,2.170e-05,9.140e-05,2.241e-05,4.661e-05,4.962e-06,3.725e-06
3.338e-05,8.154e-05,2.938e-05,2.670e-05,2.861e-06,1.958e-05,3.490e-05
2.015e-05,2.074e-05,3.503e-05,2.122e-05,2.789e-05,2.752e-05,3.001e-05
1.123e-04,4.268e-05,5.386e-05,7.224e-05,4.351e-05,1.664e-05,2.980e-05
1.812e-05,1.216e-05,8.992e-05,8.631e-05,8.702e-06,1.971e-05,3.809e-05
1.144e-05,2.694e-05,2.425e-05,5.841e-05,4.900e-05,1.565e-05,3.248e-06
5.364e-06,8.774e-05,9.008e-06,6.008e-05,3.612e-05,2.682e-07,3.338e-05
4.363e-05,9.823e-05,1.822e-05,5.484e-06,1.311e-06,4.444e-05,2.050e-05
2.813e-05,6.247e-05,1.806e-05,1.051e-04,3.517e-05,4.913e-05,3.713e-05
7.343e-05,2.027e-05,2.944e-05,2.241e-05,5.710e-05,4.216e-05,7.090e-05
7.021e-05,1.311e-05,7.512e-05,1.049e-05,6.557e-05,4.253e-05,2.772e-05
3.421e-05,1.502e-05,2.789e-05,3.099e-05,2.468e-05,2.980e-07,1.895e-05
2.968e-05,2.360e-05,3.112e-05,2.861e-05,6.557e-06,2.152e-05,2.450e-05
9.060e-06,2.933e-05,5.639e-05,2.360e-05,2.861e-06,3.427e-07,2.500e-05
2.003e-05,7.296e-05,6.591e-05,5.245e-06,3.695e-05,1.357e-05,1.374e-05
3.815e-06,4.554e-05,5.832e-05,4.482e-05,1.323e-05,9.775e-06,2.611e-05
1.192e-05,5.579e-05,7.552e-05,1.621e-05,2.325e-05,1.222e-06,4.491e-05
3.827e-05,1.073e-05,6.837e-05,7.534e-05,3.898e-05,2.831e-06,3.096e-05
1.509e-04,1.383e-05,5.414e-05,1.597e-05,5.579e-05,5.040e-05,2.012e-05
1.098e-04,6.127e-05,6.500e-05,2.432e-05,7.153e-07,5.387e-05,2.301e-05
8.702e-05,2.861e-06,1.370e-04,3.600e-05,4.947e-05,8.732e-06,3.165e-05
2.730e-05,7.153e-06,4.878e-05,6.795e-05,1.192e-06,3.228e-05,1.073e-05
6.199e-06,2.384e-05,4.055e-05,6.557e-05,5.960e-07,2.088e-05,9.596e-06
3.064e-05,4.125e-05,3.126e-05,7.391e-05,3.624e-05,1.431e-06,1.013e-05
3.958e-05,5.436e-05,5.191e-05,8.321e-05,2.253e-05,3.709e-05,1.734e-05
1.204e-05,4.125e-05,3.176e-05,3.934e-05,4.494e-05,5.618e-06,1.407e-05
3.815e-06,5.507e-05,2.389e-05,5.412e-05,7.010e-05,4.296e-05,5.126e-06
4.077e-05,6.175e-05,3.197e-05,1.097e-05,3.958e-05,5.084e-05,6.115e-05
3.135e-05,4.005e-05,1.542e-05,6.461e-05,5.746e-05,3.584e-05,2.396e-05
2.265e-06,2.384e-05,9.060e-06,3.505e-05,2.170e-05,9.939e-06,9.358e-06
7.391e-05,1.621e-05,3.241e-06,1.359e-05,8.225e-06,3.943e-05,6.378e-05
1.359e-05,2.885e-05,5.345e-05,6.747e-05,1.669e-06,6.284e-05,1.200e-04
5.424e-05,7.343e-05,4.610e-05,1.168e-04,1.442e-05,3.982e-05,3.260e-05
1.955e-05,4.864e-05,2.085e-05,4.530e-05,2.861e-06,1.779e-05,1.663e-05
3.147e-05,5.960e-05,1.629e-05,3.266e-05,7.391e-06,4.621e-05,1.901e-05
4.232e-05,7.677e-05,1.065e-05,4.172e-05,4.137e-05,3.621e-05,1.132e-06
1.597e-05,1.063e-04,1.293e-05,7.010e-05,8.225e-06,1.302e-05,1.341e-05
3.445e-05,8.655e-05,7.167e-06,5.865e-05,2.837e-05,6.258e-05,3.207e-05
2.575e-05,2.718e-05,3.487e-06,5.007e-05,6.890e-05,5.084e-05,2.444e-05
8.464e-06,2.718e-05,2.295e-05,2.646e-05,8.106e-06,1.009e-05,1.371e-06
1.669e-06,2.933e-05,6.832e-05,1.478e-05,9.418e-06,1.356e-05,2.420e-05
2.027e-05,3.600e-05,3.450e-05,3.886e-05,1.979e-05,8.345e-05,5.484e-06
3.314e-05,2.789e-05,4.232e-06,6.199e-05,5.579e-05,3.918e-05,7.749e-06
7.355e-05,7.486e-05,3.231e-05,6.819e-05,7.153e-07,2.155e-05,1.353e-05
1.848e-05,6.914e-06,9.148e-05,6.771e-05,4.995e-05,2.396e-05,2.259e-05
4.399e-05,8.559e-05,2.162e-05,7.224e-05,1.407e-05,1.892e-05,1.097e-04
5.579e-05,2.933e-05,2.369e-05,1.009e-04,5.245e-06,1.431e-06,9.859e-05
3.552e-05,2.694e-05,1.457e-05,5.460e-05,1.574e-05,6.136e-05,2.205e-05
4.745e-05,3.386e-05,8.151e-06,1.550e-05,3.493e-05,6.838e-05,3.797e-05
1.013e-05,6.151e-05,7.614e-06,4.911e-05,5.281e-05,3.055e-05,3.976e-05
3.612e-05,8.702e-05,3.110e-05,3.934e-05,2.956e-05,1.723e-05,1.045e-04
7.057e-05,2.742e-05,5.309e-05,1.955e-05,3.624e-05,6.300e-05,3.147e-05
2.646e-05,1.907e-06,5.394e-06,4.292e-06,6.795e-06,8.507e-05,9.114e-05
5.460e-05,2.050e-05,1.022e-04,1.979e-05,8.059e-05,1.413e-05,3.970e-05
6.044e-05,2.384e-05,1.410e-05,1.001e-05,7.141e-05,3.482e-05,2.539e-05
1.858e-04,8.655e-05,9.117e-05,1.061e-04,5.341e-05,6.199e-06,9.930e-05
7.772e-05,9.775e-06,8.792e-06,1.900e-04,1.848e-05,3.235e-05,4.637e-05
8.404e-05,1.788e-05,7.093e-06,1.101e-04,9.775e-06,3.292e-05,5.144e-05
5.162e-05,1.979e-05,7.865e-05,2.718e-05,9.537e-06,1.843e-05,3.654e-05
2.885e-05,1.597e-05,9.537e-05,4.768e-05,2.325e-05,4.299e-05,6.181e-05
1.025e-05,2.170e-05,9.686e-05,2.837e-05,5.758e-05,7.014e-05,7.594e-05
4.721e-05,2.575e-05,6.630e-05,2.289e-05,5.674e-05,1.723e-05,6.348e-05
3.278e-05,6.390e-05,2.709e-05,8.345e-06,3.076e-05,3.478e-05,4.816e-05
2.229e-05,1.335e-05,5.747e-05,1.287e-05,3.088e-05,4.408e-05,5.591e-05
8.821e-06,3.242e-05,4.257e-05,4.983e-05,6.437e-06,2.480e-05,6.443e-05
7.033e-06,1.645e-05,4.858e-06,9.751e-05,1.073e-06,1.964e-05,5.722e-05
3.731e-05,3.600e-05,2.746e-05,1.669e-06,1.299e-05,2.277e-05,3.397e-05
1.084e-04,4.411e-05,7.077e-05,6.485e-05,3.684e-05,3.120e-05,1.192e-05
3.207e-05,6.199e-06,1.332e-05,7.606e-05,3.350e-05,1.004e-05,4.518e-05
4.256e-05,3.362e-05,1.401e-06,9.108e-05,2.635e-05,6.771e-05,1.782e-05
2.122e-05,5.150e-05,7.524e-05,4.554e-05,2.658e-05,6.315e-05,4.679e-05
3.302e-05,6.509e-05,8.248e-05,5.412e-05,8.225e-06,2.417e-05,1.095e-04
4.816e-05,4.554e-05,9.623e-05,2.265e-05,3.898e-05,7.209e-05,1.129e-04
4.876e-05,4.029e-05,7.361e-05,3.791e-05,2.992e-05,9.966e-05,4.178e-05
1.061e-05,6.676e-06,6.850e-05,3.815e-06,1.526e-05,5.972e-05,6.801e-05
1.752e-05,3.028e-05,8.860e-05,1.836e-05,1.633e-05,2.465e-05,7.308e-05
6.878e-05,3.195e-05,1.983e-04,8.988e-05,1.447e-04,7.874e-05,7.844e-05
9.274e-05,3.219e-05,1.097e-04,9.990e-05,7.844e-05,2.486e-05,7.522e-05
1.134e-04,6.437e-06,1.413e-04,1.597e-05,3.445e-05,2.477e-05,5.496e-05
9.096e-05,9.060e-06,1.364e-04,4.768e-05,1.264e-05,5.502e-05,9.835e-06
7.415e-05,2.599e-05,1.813e-04,9.298e-06,4.303e-05,6.258e-07,2.521e-05
6.557e-06,2.122e-05,1.692e-04,6.008e-05,3.338e-06,4.989e-05,1.937e-05
3.994e-05,8.130e-05,1.531e-04,9.537e-07,7.868e-06,3.040e-05,9.060e-06
3.159e-05,6.819e-05,1.059e-04,1.717e-05,2.503e-06,7.007e-05,2.432e-05
2.384e-05,1.407e-05,1.084e-04,3.982e-05,1.955e-05,3.999e-05,5.388e-05
2.551e-05,5.484e-05,1.174e-04,3.529e-05,8.464e-06,4.950e-05,6.878e-05
3.922e-05,6.509e-05,8.340e-05,2.384e-06,3.111e-05,5.186e-06,8.345e-05
3.445e-05,6.557e-05,5.679e-05,2.337e-05,4.256e-05,2.056e-06,6.402e-05
9.012e-05,6.771e-05,6.169e-05,2.575e-05,9.656e-06,3.752e-05,5.907e-05
1.515e-04,6.199e-06,9.197e-05,3.624e-05,4.375e-05,3.752e-05,2.974e-05
2.503e-04,2.313e-05,6.942e-05,2.432e-05,8.023e-05,6.098e-05,8.762e-06
