,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,5.509e-05,7.145e-05,6.566e-05,4.903e-05,3.436e-05,2.621e-05,2.926e-05
std,6.028e-05,3.858e-05,5.344e-05,3.225e-05,2.505e-05,2.017e-05,2.128e-05
min,1.192e-07,4.768e-07,2.980e-08,2.384e-07,0.000e+00,2.682e-07,1.788e-07
0.1%,1.192e-07,4.768e-07,2.980e-08,2.384e-07,0.000e+00,2.682e-07,1.788e-07
25%,1.597e-05,3.988e-05,2.290e-05,2.146e-05,1.368e-05,9.105e-06,1.499e-05
50%,3.463e-05,7.391e-05,5.427e-05,4.542e-05,3.105e-05,2.329e-05,2.468e-05
75%,7.060e-05,1.021e-04,9.532e-05,7.534e-05,4.911e-05,3.730e-05,3.830e-05
99.9%,3.306e-04,1.841e-04,2.797e-04,1.900e-04,1.447e-04,9.966e-05,1.200e-04
max,3.306e-04,1.841e-04,2.797e-04,1.900e-04,1.447e-04,9.966e-05,1.200e-04
