kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.26,1.0,0.0,0.0
227.98448,857.90106,630.85046,1324.0083,1.2174755,0.26563638,1.0,0.0,0.014888048
233.41664,864.78094,633.8622,1325.0369,1.3199483,0.27202323,1.0,0.0,0.029554427
239.26701,871.65454,637.02216,1326.0869,1.410192,0.27905482,1.0,0.0,0.044002473
245.50314,878.53436,640.31885,1327.1597,1.490472,0.28664476,1.0,0.0,0.058235407
252.11018,885.43085,643.7424,1328.2559,1.562638,0.29472244,1.0,0.0,0.072256446
259.06195,892.353,647.2842,1329.377,1.6282012,0.30323014,1.0,0.0,0.08606875
266.33978,899.3083,650.9369,1330.5233,1.6883954,0.3121207,1.0,0.0,0.09967542
273.93457,906.3028,654.694,1331.6963,1.7442285,0.32135552,1.0,0.0,0.11307949
281.8259,913.34174,658.5498,1332.8962,1.7965238,0.330903,1.0,0.0,0.126284
290.00473,920.4292,662.4994,1334.1241,1.8459537,0.3407373,1.0,0.0,0.13929194
298.4517,927.5686,666.5383,1335.3806,1.8930666,0.35083732,1.0,0.0,0.15210623
307.1515,934.7623,670.66296,1336.6663,1.9383105,0.36118567,1.0,0.0,0.16472971
316.09842,942.0123,674.8697,1337.9817,1.9820507,0.37176818,1.0,0.0,0.17716527
325.28464,949.31976,679.1557,1339.3275,2.0245848,0.38257316,1.0,0.0,0.1894157
334.70163,956.6857,683.518,1340.7042,2.066155,0.39359108,1.0,0.0,0.20148373
344.3506,964.11053,687.95416,1342.1124,2.1069584,0.40481398,1.0,0.0,0.21337211
354.2137,971.5945,692.46204,1343.5526,2.1471553,0.41623536,1.0,0.0,0.22508347
364.30518,979.13745,697.0393,1345.0251,2.1868753,0.42784986,1.0,0.0,0.23662049
374.62375,986.7389,701.68427,1346.5306,2.2262235,0.43965292,1.0,0.0,0.24798572
385.15048,994.3986,706.39496,1348.0696,2.2652843,0.4516408,1.0,0.0,0.25918174
395.87967,1002.1156,711.16974,1349.6423,2.304126,0.46381035,1.0,0.0,0.2702111
406.81088,1009.8889,716.00684,1351.2493,2.342803,0.47615886,1.0,0.0,0.28107625
417.95624,1017.71747,720.9049,1352.8909,2.3813586,0.48868406,1.0,0.0,0.29177964
429.31378,1025.6002,725.8623,1354.5675,2.4198267,0.5013839,1.0,0.0,0.3023237
440.87012,1033.536,730.87775,1356.2797,2.458234,0.51425666,1.0,0.0,0.31271076
452.62735,1041.5231,735.94977,1358.0275,2.4966018,0.5273008,1.0,0.0,0.32294315
464.58752,1049.5604,741.0769,1359.8113,2.534945,0.54051477,1.0,0.0,0.33302325
476.75647,1057.6462,746.25793,1361.6316,2.5732756,0.55389744,1.0,0.0,0.34295326
489.12274,1065.7792,751.4916,1363.4888,2.6116018,0.5674475,1.0,0.0,0.35273546
501.6877,1073.9576,756.7764,1365.3832,2.6499295,0.58116376,1.0,0.0,0.36237198
514.43713,1082.1802,762.1113,1367.3148,2.6882617,0.59504515,1.0,0.0,0.37186503
527.3697,1090.4448,767.4949,1369.2842,2.7266004,0.6090906,1.0,0.0,0.38121676
540.4935,1098.7498,772.9259,1371.2914,2.764946,0.6232991,1.0,0.0,0.39042926
553.8,1107.0934,778.4031,1373.337,2.8032973,0.63766956,1.0,0.0,0.3995046
567.3078,1115.4735,783.9252,1375.4211,2.8416522,0.65220094,1.0,0.0,0.40844482
580.9956,1123.8888,789.4909,1377.5441,2.880008,0.6668921,1.0,0.0,0.41725194
594.8784,1132.3374,795.0989,1379.7058,2.9183617,0.68174213,1.0,0.0,0.42592794
608.9838,1140.8175,800.74805,1381.9069,2.9567094,0.69674987,1.0,0.0,0.43447477
623.2963,1149.3279,806.4371,1384.1475,2.9950476,0.7119142,1.0,0.0,0.44289434
637.81805,1157.8665,812.1647,1386.4275,3.033372,0.727234,1.0,0.0,0.45118856
652.54065,1166.4318,817.92957,1388.7474,3.0716782,0.7427082,1.0,0.0,0.4593593
667.47424,1175.0221,823.7306,1391.1074,3.1099625,0.75833565,1.0,0.0,0.46740842
682.58527,1183.6359,829.5664,1393.5076,3.14822,0.774115,1.0,0.0,0.47533768
697.89557,1192.2709,835.4359,1395.948,3.1864471,0.79004526,1.0,0.0,0.48314893
713.3905,1200.9257,841.33777,1398.4291,3.224639,0.80612516,1.0,0.0,0.49084383
729.07666,1209.5984,847.2707,1400.9507,3.262791,0.82235336,1.0,0.0,0.49842417
744.978,1218.2872,853.2335,1403.5131,3.3008986,0.8387287,1.0,0.0,0.5058917
761.051,1226.9906,859.225,1406.1163,3.3389578,0.8552499,1.0,0.0,0.513248
777.3107,1235.7067,865.24384,1408.7605,3.376964,0.8719156,1.0,0.0,0.5204948
793.78357,1244.4336,871.2889,1411.4458,3.4149134,0.88872445,1.0,0.0,0.5276337
810.45514,1253.1702,877.35876,1414.1722,3.4528012,0.9056752,1.0,0.0,0.53466636
827.3276,1261.9144,883.45233,1416.9401,3.490624,0.92276645,1.0,0.0,0.54159427
844.3928,1270.6647,889.56836,1419.7491,3.5283778,0.9399968,1.0,0.0,0.54841906
861.66205,1279.4194,895.70557,1422.5995,3.5660586,0.95736486,1.0,0.0,0.5551423
879.14026,1288.1769,901.86273,1425.4912,3.6036625,0.9748692,1.0,0.0,0.5617654
896.83405,1296.9357,908.03864,1428.4243,3.6411865,0.9925084,1.0,0.0,0.5682899
914.731,1305.6945,914.232,1431.399,3.6786268,1.0102811,1.0,0.0,0.5747172
932.84186,1314.4513,920.4419,1434.4152,3.7159803,1.0281857,1.0,0.0,0.58104885
951.1463,1323.2048,926.6668,1437.4727,3.7532437,1.0462208,1.0,0.0,0.58728623
969.6506,1331.9537,932.90576,1440.5718,3.7904139,1.0643849,1.0,0.0,0.59343076
988.356,1340.6962,939.1574,1443.7123,3.8274884,1.0826765,1.0,0.0,0.59948385
1007.26306,1349.4308,945.42065,1446.8942,3.8644638,1.1010942,1.0,0.0,0.60544676
1026.3695,1358.1558,951.6944,1450.1174,3.9013376,1.1196364,1.0,0.0,0.6113209
1045.6768,1366.8699,957.97736,1453.3822,3.938107,1.1383016,1.0,0.0,0.6171076
1065.2021,1375.5717,964.26843,1456.6882,3.9747694,1.1570883,1.0,0.0,0.62280816
1084.9445,1384.2595,970.5665,1460.0355,4.011322,1.1759949,1.0,0.0,0.6284238
1104.9033,1392.9325,976.8704,1463.424,4.047763,1.19502,1.0,0.0,0.63395584
1125.0677,1401.5889,983.17896,1466.8535,4.0840898,1.2141619,1.0,0.0,0.6394055
1145.4275,1410.2275,989.49115,1470.3241,4.1203003,1.2334191,1.0,0.0,0.6447741
1165.9945,1418.8468,995.8058,1473.8354,4.156392,1.2527901,1.0,0.0,0.65006274
1186.7725,1427.4457,1002.1218,1477.3877,4.192364,1.2722733,1.0,0.0,0.65527266
1207.7324,1436.0225,1008.4381,1480.9806,4.228214,1.2918671,1.0,0.0,0.66040504
1228.884,1444.5759,1014.7537,1484.614,4.2639394,1.31157,1.0,0.0,0.665461
1250.2565,1453.1047,1021.06726,1488.2878,4.299539,1.3313805,1.0,0.0,0.6704416
1271.848,1461.6075,1027.378,1492.002,4.335011,1.3512969,1.0,0.0,0.6753481
1293.6675,1470.0834,1033.6848,1495.7562,4.370353,1.3713176,1.0,0.0,0.6801815
1315.7222,1478.5309,1039.9866,1499.5504,4.405565,1.3914412,1.0,0.0,0.68494296
1337.9995,1486.9491,1046.2823,1503.3845,4.440644,1.4116659,1.0,0.0,0.6896336
1360.4833,1495.3367,1052.5709,1507.258,4.4755893,1.4319904,1.0,0.0,0.6942544
1383.1947,1503.6927,1058.8516,1511.1711,4.5104,1.452413,1.0,0.0,0.6988064
1406.1118,1512.0161,1065.123,1515.1235,4.5450745,1.472932,1.0,0.0,0.70329064
1429.2417,1520.3053,1071.3846,1519.1149,4.5796113,1.493546,1.0,0.0,0.7077081
1452.6,1528.5596,1077.6353,1523.145,4.61401,1.5142535,1.0,0.0,0.71205986
1476.177,1536.7777,1083.8741,1527.214,4.648269,1.5350528,1.0,0.0,0.71634674
1499.9608,1544.9589,1090.1001,1531.3212,4.682388,1.5559425,1.0,0.0,0.72056985
1523.9391,1553.1018,1096.3123,1535.4667,4.716365,1.576921,1.0,0.0,0.7247301
1548.1327,1561.2053,1102.5099,1539.6501,4.749294,1.5979867,1.0,0.0,0.7288283
1572.5427,1569.2684,1108.6918,1543.8715,4.781341,1.6191319,1.0,0.0,0.7328656
1597.1785,1577.2904,1114.8573,1548.13,4.812641,1.6403503,1.0,0.0,0.7368427
1622.0248,1585.2701,1121.0055,1552.4259,4.843304,1.6616365,1.0,0.0,0.74076056
1647.0879,1593.2068,1127.1355,1556.7587,4.873419,1.6829855,1.0,0.0,0.7446202
1672.4116,1601.0992,1133.2467,1561.1283,4.903058,1.7043934,1.0,0.0,0.7484224
1697.9343,1608.9468,1139.3378,1565.5342,4.932279,1.7258564,1.0,0.0,0.75216794
1723.6763,1616.7485,1145.4082,1569.9763,4.96113,1.7473716,1.0,0.0,0.7558577
1749.6101,1624.5037,1151.4572,1574.4545,4.9896493,1.7689359,1.0,0.0,0.7594925
1775.7678,1632.211,1157.4838,1578.968,5.017868,1.7905469,1.0,0.0,0.76307327
1802.1869,1639.8701,1163.4875,1583.5168,5.045812,1.8122023,1.0,0.0,0.76660067
1828.8555,1647.4801,1169.4673,1588.1007,5.0735016,1.8338999,1.0,0.0,0.77007556
1855.8099,1655.0405,1175.4226,1592.7194,5.100953,1.8556376,1.0,0.0,0.7734987
1883.0166,1662.5503,1181.3525,1597.3722,5.128181,1.8774136,1.0,0.0,0.7768709
