con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.2519,0.0028556,105.17594,104.8756,27.623705,36.845238,22.141386,0.3003404,39.445236
79.7689,0.0031489278,108.70386,108.36156,28.592659,37.50637,22.738026,0.3423006,40.04725
82.3755,0.0034147245,112.34295,111.95932,29.583824,38.176373,23.369719,0.3836202,40.659485
85.07944,0.003658579,116.08989,115.66517,30.585735,38.85304,24.035933,0.42472407,41.279686
87.87023,0.0038854198,119.9414,119.47537,31.605143,39.534397,24.7355,0.46602267,41.905872
90.743744,0.0040994147,123.89623,123.388336,32.64459,40.219112,25.466734,0.507902,42.536663
93.705894,0.0043039997,127.95305,127.40234,33.696453,40.906006,26.230299,0.5507099,43.170864
96.74882,0.0045019574,132.10902,131.51428,34.76546,41.593422,27.025967,0.59474915,43.806786
99.87166,0.0046955217,136.36143,135.72113,35.849487,42.279755,27.85398,0.64028805,44.442787
103.068115,0.0048864703,140.71051,140.02293,36.954826,42.96442,28.710781,0.6875777,45.078274
106.33891,0.005076208,145.15372,144.4169,38.07798,43.64622,29.597956,0.7368305,45.71201
109.68254,0.0052658464,149.692,148.90375,39.221214,44.324646,30.514957,0.78825504,46.34346
113.10241,0.005456254,154.32414,153.4821,40.379696,44.99896,31.462145,0.8420317,46.97187
116.59744,0.0056481203,159.04735,158.14903,41.551598,45.66786,32.439873,0.89831865,47.59591
120.1552,0.005841981,163.86252,162.90524,42.750046,46.33115,33.44132,0.9572818,48.215366
123.78113,0.0060382583,168.76997,167.75089,43.96976,46.98833,34.468307,1.0190767,48.829704
127.4756,0.006237278,173.76831,172.68448,45.20888,47.638866,35.52158,1.0838413,49.438374
131.23932,0.0064392965,178.85817,177.70645,46.467148,48.28226,36.59876,1.1517209,50.040848
135.0727,0.006644511,184.03775,182.81493,47.742226,48.917953,37.70171,1.222841,50.63656
138.97365,0.0068530743,189.30737,188.01001,49.036366,49.545425,38.828896,1.2973375,51.224953
142.94234,0.0070651006,194.66779,193.29243,50.350105,50.164722,39.98157,1.3753475,51.80606
146.97755,0.007280675,200.11841,198.66139,51.683846,50.775406,41.15951,1.4569972,52.379425
151.07817,0.0074998583,205.65901,204.11661,53.038433,51.37704,42.360348,1.5424134,52.94459
155.24911,0.007722695,211.29066,209.65892,54.409805,51.96972,43.587303,1.6317333,53.50162
159.48389,0.0079492135,217.01114,215.28606,55.802174,52.55244,44.839382,1.7250677,54.04951
163.77388,0.008179428,222.82175,220.99919,57.225304,53.125584,46.112095,1.8225545,54.588615
168.14044,0.008413342,228.72478,226.80045,58.660015,53.68918,47.41329,1.9243398,55.118942
172.57678,0.008650953,234.71884,232.6883,60.111507,54.24297,48.736248,2.0305417,55.64023
177.08127,0.008892249,240.80374,238.66246,61.581203,54.786396,50.085857,2.1412868,56.151882
181.6533,0.009137213,246.97842,244.72173,63.06842,55.31925,51.4613,2.2566946,56.65369
186.29063,0.009385822,253.24446,250.86754,64.57692,55.8416,52.86025,2.3769076,57.1457
190.9933,0.009638051,259.60272,257.10068,66.107376,56.353577,54.281647,2.5020642,57.628025
195.76387,0.009893865,266.05466,263.42233,67.65847,56.85522,55.729237,2.6323092,58.100693
200.58716,0.01015323,272.59854,269.83078,69.243614,57.34601,57.198395,2.7677557,58.56316
205.47331,0.010416113,279.23468,276.32614,70.85283,57.82597,58.690758,2.9085398,59.015446
210.4336,0.010682473,285.96616,282.91132,72.47773,58.295486,60.21508,3.0548258,59.457916
215.46248,0.010952268,292.79297,289.5862,74.12374,58.754444,61.765667,3.206747,59.890434
220.55713,0.011225455,299.71487,296.35043,75.793304,59.202736,63.33862,3.364436,60.312904
225.72343,0.011501993,306.73352,303.20547,77.48205,59.640457,64.94336,3.5280468,60.725388
230.96013,0.011781835,313.84888,310.15115,79.191025,60.0675,66.57828,3.6977155,61.127754
236.266,0.01206493,321.06052,317.18692,80.92092,60.483658,68.24291,3.8735723,61.51981
241.63663,0.012351238,328.3687,324.31296,82.676346,60.88899,69.93404,4.0557604,61.901585
247.07404,0.012640708,335.77338,331.52896,84.45493,61.283287,71.64696,4.244414,62.27285
252.58527,0.012933285,343.27567,338.836,86.25072,61.666767,73.38532,4.4396825,62.633835
258.17767,0.013228922,350.87604,346.23438,88.05669,62.03925,75.15378,4.641712,62.984325
263.83112,0.013527566,358.57797,353.72733,89.89619,62.40146,76.950714,4.8506875,63.32505
269.5485,0.013829165,366.37445,361.3078,91.75927,62.75199,78.77471,5.066653,63.65458
275.33856,0.014133664,374.26657,368.97678,93.638245,63.091003,80.6264,5.2897577,63.973064
281.19592,0.014441012,382.25583,376.73566,95.53973,63.418858,82.506035,5.520161,64.28087
287.11194,0.014751148,390.3471,384.58905,97.477104,63.736053,84.406624,5.7580676,64.57846
293.10294,0.01506402,398.54083,392.53723,99.43428,64.042854,86.33201,6.0036273,64.866104
299.1615,0.01537957,406.83984,400.58282,101.42131,64.33953,88.28076,6.257022,65.144066
305.28134,0.015697744,415.24103,408.7227,103.44135,64.625656,90.25923,6.5183473,65.411896
311.4734,0.016018488,423.74704,416.9592,105.48582,64.901344,92.26972,6.7877865,65.669716
317.73718,0.016341742,432.35925,425.29373,107.55655,65.16703,94.3054,7.065503,65.91793
324.07745,0.01666746,441.07657,433.7249,109.647484,65.422226,96.37724,7.351626,66.15605
330.48822,0.016995579,449.8988,442.2525,111.76428,65.667145,98.48043,7.6462903,66.384285
