kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.33989,0.9805757,1.0727875,-0.8045534,-0.15195565,-0.038968507,-0.26387733
234.04846,0.9878347,1.070256,-0.8009136,-0.15085281,-0.039891277,-0.26446608
240.17616,0.9940089,1.0679299,-0.7975257,-0.14987442,-0.04080485,-0.2651519
246.6907,0.9990506,1.0657513,-0.7944348,-0.14895643,-0.041578192,-0.26585534
253.57533,1.0032239,1.0637933,-0.79163635,-0.14805023,-0.04232723,-0.266623
260.81424,1.006668,1.0620829,-0.78911805,-0.14726867,-0.043018658,-0.26751265
268.38138,1.0093534,1.0605038,-0.7868774,-0.14653116,-0.04369687,-0.2684898
276.2544,1.0114679,1.0592893,-0.7848191,-0.14588608,-0.044248525,-0.2694637
284.4302,1.0130758,1.0583303,-0.7829837,-0.1452711,-0.04482064,-0.27053714
292.88702,1.0143149,1.0575969,-0.78127956,-0.14462592,-0.045385916,-0.27168295
301.62817,1.0152128,1.0570917,-0.77982694,-0.1440735,-0.04598442,-0.27285674
310.64157,1.0158232,1.0568571,-0.7785455,-0.14359806,-0.046545167,-0.2741366
319.9062,1.0161322,1.0568118,-0.77736455,-0.14314657,-0.047112156,-0.2754736
329.42368,1.0161841,1.0569263,-0.77637386,-0.14273402,-0.04773948,-0.2768871
339.1939,1.0161598,1.0571103,-0.7755619,-0.14246328,-0.048443276,-0.27837953
349.2049,1.0160061,1.0573884,-0.7748824,-0.14219682,-0.04916883,-0.27989987
359.45767,1.0157351,1.0578043,-0.7743157,-0.14192545,-0.04987898,-0.28143594
369.9376,1.0153539,1.0582916,-0.77380717,-0.1416748,-0.050543126,-0.28292033
380.6438,1.0148728,1.0588644,-0.77344847,-0.14147414,-0.051202808,-0.2844425
391.57928,1.0143274,1.0595157,-0.7731325,-0.14131479,-0.051842127,-0.2860286
402.73648,1.0137265,1.0602355,-0.77288884,-0.14116822,-0.05250987,-0.28766337
414.11188,1.0130918,1.0610347,-0.77270526,-0.1410382,-0.053195816,-0.28933823
425.7098,1.0124426,1.0618836,-0.7726468,-0.14087956,-0.053855915,-0.2910522
437.51294,1.0117376,1.0627644,-0.7726776,-0.14073579,-0.054555494,-0.29279897
449.5266,1.0110459,1.0637212,-0.7727871,-0.14061765,-0.055293877,-0.29455918
461.7643,1.0104487,1.0648073,-0.7729519,-0.14056487,-0.055953387,-0.29632047
474.21393,1.0097567,1.065903,-0.77314115,-0.14045857,-0.056660462,-0.29804382
486.8713,1.0090388,1.0669944,-0.77338076,-0.14037815,-0.05729867,-0.29978532
499.72733,1.0083156,1.0681506,-0.77373284,-0.1402962,-0.057952683,-0.3015705
512.7891,1.0075954,1.0693505,-0.7741208,-0.14024188,-0.05863582,-0.30336967
526.0602,1.0069005,1.0705383,-0.77451473,-0.1401669,-0.059378307,-0.3052702
539.5481,1.0062327,1.0717788,-0.7749308,-0.1402366,-0.0600483,-0.30718595
553.2385,1.005574,1.0731201,-0.7754736,-0.14040938,-0.06064224,-0.30911136
567.13086,1.005038,1.0745137,-0.77611506,-0.14048645,-0.06128059,-0.31106985
581.2427,1.0045471,1.0759399,-0.7768167,-0.14058973,-0.061912466,-0.31299645
595.57306,1.0040243,1.0774539,-0.7775732,-0.14074312,-0.062566176,-0.3149414
610.1161,1.0035113,1.0789943,-0.77833366,-0.14087255,-0.063230425,-0.3169182
624.882,1.00303,1.0805117,-0.77916837,-0.14101242,-0.06389348,-0.31890288
639.8668,1.0025427,1.0821471,-0.78004444,-0.1411543,-0.06453554,-0.32087556
655.0661,1.0020611,1.0838706,-0.78095186,-0.14124638,-0.06516284,-0.32286733
670.47845,1.0015949,1.0856347,-0.78187764,-0.14140318,-0.065842465,-0.32484666
686.1018,1.0011728,1.0874052,-0.7828386,-0.1415148,-0.06658252,-0.32689524
