foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.909e-05,5.245e-05,2.959e-05,1.374e-04,6.372e-05,6.802e-05,4.539e-05
2.503e-05,5.960e-05,9.775e-05,2.170e-05,5.639e-05,2.871e-05,1.287e-05
5.031e-05,1.955e-05,1.166e-04,1.669e-06,1.919e-05,3.380e-05,8.038e-05
2.086e-05,3.743e-05,1.498e-04,4.375e-05,4.005e-05,3.713e-05,2.599e-05
2.086e-05,3.695e-05,4.607e-05,1.907e-06,3.344e-05,2.213e-05,1.848e-06
4.840e-05,7.868e-06,9.684e-05,1.669e-05,2.390e-05,1.267e-06,1.889e-05
2.420e-05,1.168e-05,9.341e-05,7.391e-05,2.348e-05,3.073e-05,3.394e-05
2.503e-06,2.980e-05,1.101e-04,2.885e-05,5.609e-05,1.822e-05,6.109e-06
7.749e-06,3.576e-05,1.187e-04,3.278e-05,6.199e-06,2.137e-05,3.037e-05
4.768e-05,5.126e-05,1.748e-04,1.192e-06,4.870e-05,5.761e-05,4.014e-05
1.705e-05,5.817e-05,1.094e-04,7.391e-06,7.927e-05,1.803e-06,5.129e-05
2.539e-05,6.390e-05,8.767e-05,1.645e-05,4.321e-05,5.555e-05,5.484e-06
3.624e-05,3.552e-05,1.045e-04,5.722e-06,6.318e-06,6.537e-05,5.352e-05
1.087e-04,1.907e-06,7.566e-05,1.550e-06,1.937e-05,3.341e-05,4.047e-05
2.384e-07,6.509e-05,8.617e-05,7.176e-05,7.987e-06,2.807e-05,5.934e-05
1.335e-04,3.099e-05,1.019e-04,2.778e-05,1.192e-07,3.503e-05,6.583e-05
7.427e-05,1.764e-05,1.217e-04,3.314e-05,7.331e-05,3.527e-05,8.166e-06
6.127e-05,2.170e-05,1.293e-04,3.278e-05,4.709e-05,2.150e-05,1.955e-05
6.938e-05,3.076e-05,1.198e-04,3.827e-05,2.307e-05,5.081e-05,2.977e-05
7.069e-05,5.484e-06,9.597e-05,1.049e-05,2.718e-05,4.201e-05,2.459e-05
7.331e-05,6.437e-06,7.424e-05,1.454e-05,2.545e-05,3.198e-05,2.050e-05
5.984e-05,1.502e-05,5.992e-05,3.016e-05,4.351e-06,4.412e-05,1.365e-05
3.064e-05,1.216e-05,2.316e-05,3.636e-05,5.418e-05,3.648e-05,2.447e-05
2.587e-05,6.056e-05,8.885e-06,6.771e-05,6.664e-05,2.338e-05,3.910e-05
6.938e-05,3.362e-05,1.351e-05,2.301e-05,3.046e-05,5.403e-05,1.800e-05
5.579e-05,4.816e-05,5.878e-05,1.884e-05,3.999e-05,3.889e-06,1.618e-05
8.321e-05,8.106e-06,1.356e-06,1.872e-05,1.472e-05,4.496e-05,4.122e-05
5.829e-05,5.484e-06,5.582e-05,3.362e-05,2.217e-05,3.619e-05,5.150e-05
3.409e-05,7.868e-06,5.697e-05,6.926e-05,9.543e-05,1.198e-05,4.008e-05
6.294e-05,2.265e-05,5.561e-05,1.287e-05,4.262e-05,2.563e-06,4.649e-05
6.831e-05,5.293e-05,5.312e-06,1.585e-05,2.921e-05,3.204e-05,3.564e-05
1.096e-04,3.409e-05,3.049e-05,5.770e-05,2.068e-05,3.725e-07,1.681e-05
7.248e-05,5.102e-05,8.683e-05,7.236e-05,6.706e-05,3.427e-06,1.845e-05
5.996e-05,5.865e-05,8.570e-05,9.978e-05,1.025e-04,3.129e-06,2.575e-05
7.176e-05,5.841e-05,9.933e-05,1.016e-04,7.725e-05,2.657e-05,5.743e-05
8.345e-07,4.768e-07,1.199e-04,3.314e-05,2.837e-05,3.016e-05,9.745e-06
1.907e-05,3.815e-06,1.123e-04,6.068e-05,1.848e-06,2.539e-05,1.603e-05
2.503e-05,1.383e-05,7.449e-05,6.092e-05,3.415e-05,8.255e-06,1.416e-05
1.466e-05,6.199e-06,5.034e-05,2.921e-05,2.819e-05,2.474e-06,2.670e-05
1.049e-05,3.314e-05,9.369e-05,2.480e-05,6.139e-06,1.344e-05,5.394e-06
5.245e-06,3.934e-05,1.237e-04,4.411e-06,3.541e-05,6.486e-05,5.811e-06
3.183e-05,3.457e-05,1.240e-04,2.861e-06,6.789e-05,4.612e-05,1.973e-05
3.099e-06,8.345e-06,7.691e-05,1.895e-05,6.378e-06,1.484e-05,3.064e-05
3.374e-05,1.287e-05,8.973e-05,9.775e-06,2.009e-05,5.543e-06,4.527e-05
8.583e-06,5.436e-05,8.783e-05,2.718e-05,1.019e-05,3.381e-05,6.336e-05
8.082e-05,1.073e-05,2.180e-05,4.220e-05,2.527e-05,8.732e-06,2.944e-05
7.617e-05,2.456e-05,1.965e-05,5.555e-05,5.394e-05,3.283e-05,5.916e-05
8.035e-05,3.576e-06,4.018e-05,7.010e-05,3.630e-05,3.070e-06,2.465e-05
5.090e-05,4.005e-05,1.662e-05,2.670e-05,4.661e-05,3.937e-05,2.086e-05
7.427e-05,5.841e-05,5.469e-05,1.311e-06,2.694e-05,2.997e-05,2.074e-05
9.143e-05,6.890e-05,5.810e-05,3.576e-07,1.305e-05,5.557e-05,2.673e-05
9.036e-05,4.077e-05,6.326e-05,6.962e-05,8.309e-05,2.238e-05,1.636e-05
7.188e-05,4.768e-07,4.254e-05,3.028e-05,3.302e-05,4.116e-05,4.116e-05
9.596e-05,2.766e-05,5.309e-05,2.921e-05,2.456e-05,4.406e-05,1.201e-05
9.918e-05,5.555e-05,4.622e-05,4.208e-05,3.493e-05,5.178e-05,8.851e-06
