kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,850.0,770.0,1444.0,1.1,0.27,0.0
228.45358,856.00165,773.38586,1445.3722,1.1551154,0.27571872,0.014888048
234.31287,861.9906,776.9179,1446.7709,1.2028787,0.28177777,0.029554427
240.54613,867.97955,780.58405,1448.1974,1.2450849,0.28812417,0.044002473
247.12509,873.97876,784.37396,1449.6528,1.2830939,0.29471764,0.058235407
254.03554,879.9968,788.2788,1451.1383,1.317936,0.30152756,0.072256446
261.26346,886.0409,792.2913,1452.6547,1.3503926,0.30853063,0.08606875
268.79132,892.11664,796.4049,1454.203,1.3810568,0.31570905,0.09967542
276.6034,898.2289,800.6141,1455.784,1.4103783,0.3230493,0.11307949
284.6863,904.3811,804.91394,1457.3986,1.4386991,0.33054098,0.126284
293.02844,910.5761,809.30035,1459.0474,1.4662786,0.3381762,0.13929194
301.6164,916.81586,813.76965,1460.7311,1.4933134,0.34594882,0.15210623
310.4429,923.1019,818.3185,1462.4502,1.5199527,0.35385415,0.16472971
319.5063,929.43506,822.94403,1464.2054,1.5463095,0.36188856,0.17716527
328.80148,935.816,827.6437,1465.9974,1.5724688,0.3700492,0.1894157
338.31686,942.2449,832.41504,1467.8268,1.5984951,0.37833387,0.20148373
348.0501,948.72156,837.2559,1469.6937,1.6244364,0.38674077,0.21337211
357.9832,955.2456,842.1643,1471.5991,1.6503283,0.3952685,0.22508347
368.11365,961.8162,847.1383,1473.5433,1.676197,0.40391585,0.23662049
378.44772,968.4326,852.17615,1475.5267,1.7020617,0.41268188,0.24798572
388.98764,975.09375,857.27606,1477.5498,1.7279352,0.4215657,0.25918174
399.7296,981.79846,862.4365,1479.613,1.7538269,0.43056658,0.2702111
410.6718,988.54584,867.65594,1481.7169,1.7797425,0.43968382,0.28107625
421.80612,995.33453,872.9326,1483.8616,1.8056852,0.44891682,0.29177964
433.12497,1002.163,878.2652,1486.0476,1.8316565,0.45826495,0.3023237
444.63773,1009.0301,883.6522,1488.2753,1.8576564,0.46772763,0.31271076
456.34174,1015.9341,889.09216,1490.545,1.8836836,0.47730425,0.32294315
468.2441,1022.87354,894.5836,1492.8569,1.9097362,0.4869942,0.33302325
480.3426,1029.8469,900.1251,1495.2115,1.935811,0.4967969,0.34295326
492.63705,1036.8528,905.71533,1497.6093,1.9619054,0.5067117,0.35273546
505.1259,1043.8898,911.3528,1500.05,1.9880157,0.516738,0.36237198
517.80206,1050.9562,917.036,1502.5344,2.0141385,0.52687514,0.37186503
530.6439,1058.0504,922.7638,1505.0625,2.0402694,0.53712237,0.38121676
543.6579,1065.1705,928.5345,1507.6346,2.066405,0.54747903,0.39042926
556.84973,1072.315,934.347,1510.2511,2.092541,0.5579444,0.3995046
570.2223,1079.482,940.19965,1512.9119,2.1186728,0.56851774,0.40844482
583.7851,1086.6702,946.0912,1515.6174,2.1447968,0.5791983,0.41725194
597.5377,1093.8777,952.02014,1518.3678,2.1709085,0.5899853,0.42592794
611.47894,1101.1029,957.98517,1521.1631,2.1970036,0.6008779,0.43447477
625.61835,1108.3446,963.9848,1524.0037,2.2230785,0.61187524,0.44289434
639.9574,1115.601,970.01764,1526.8894,2.249129,0.6229764,0.45118856
654.47534,1122.8708,976.0823,1529.8206,2.275152,0.6341806,0.4593593
669.1869,1130.1523,982.17737,1532.7974,2.3011432,0.6454869,0.46740842
684.0945,1137.444,988.3015,1535.8197,2.3270993,0.6568944,0.47533768
699.19745,1144.7444,994.4534,1538.8877,2.3530169,0.6684021,0.48314893
714.49384,1152.052,1000.6317,1542.0017,2.3788924,0.68000907,0.49084383
730.0069,1159.3655,1006.83484,1545.1616,2.4047232,0.69171435,0.49842417
745.712,1166.6835,1013.06165,1548.3674,2.4305055,0.70351696,0.5058917
761.6003,1174.0042,1019.3107,1551.6191,2.4562366,0.7154159,0.513248
777.6689,1181.3265,1025.5807,1554.917,2.4819133,0.72741014,0.5204948
793.928,1188.6486,1031.8702,1558.2606,2.5075333,0.7394987,0.5276337
810.37616,1195.9692,1038.1782,1561.6504,2.5330935,0.75168043,0.53466636
827.02057,1203.2869,1044.503,1565.086,2.558591,0.7639544,0.54159427
843.86633,1210.6002,1050.8435,1568.5676,2.5840232,0.77631944,0.54841906
860.89764,1217.9078,1057.1981,1572.0952,2.6093879,0.7887745,0.5551423
878.1094,1225.2083,1063.5659,1575.6687,2.6346822,0.8013185,0.5617654
895.5037,1232.5004,1069.9456,1579.2877,2.659904,0.8139504,0.5682899
913.0854,1239.7825,1076.3356,1582.9526,2.6850507,0.82666904,0.5747172
930.8602,1247.0533,1082.7347,1586.6631,2.7101204,0.83947325,0.58104885
948.8656,1254.3116,1089.1417,1590.4192,2.735111,0.852362,0.58728623
967.0928,1261.5565,1095.5553,1594.2206,2.7600198,0.8653341,0.59343076
985.53564,1268.7865,1101.9742,1598.0674,2.7848456,0.8783885,0.59948385
