con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.35257,0.0028556,105.17594,104.8756,27.523039,36.845238,29.205666,0.3003404,39.445236
79.85241,0.0031533004,108.687744,108.345024,28.492605,37.500805,29.95087,0.3427251,40.04169
82.45034,0.0034311342,112.30912,111.923775,29.473434,38.164875,30.74597,0.38534766,40.647987
85.13662,0.003693264,116.03872,115.61015,30.473532,38.835915,31.584839,0.4285616,41.26256
87.91355,0.003943427,119.87565,119.40292,31.48937,39.512722,32.467735,0.4727209,41.884197
90.77494,0.004184846,123.81722,123.299065,32.52412,40.193462,33.39208,0.518156,42.511017
93.71358,0.004420231,127.8594,127.29423,33.58065,40.876064,34.359795,0.5651681,43.14092
96.74649,0.00465183,132.00214,131.38808,34.641586,41.55977,35.37133,0.61405146,43.77313
99.85306,0.004881479,136.24387,135.5788,35.725735,42.243298,36.4139,0.66507155,44.406334
103.03922,0.0051106745,140.58255,139.86407,36.82485,42.925346,37.496174,0.71847165,45.039196
106.30098,0.0053406237,145.01517,144.24069,37.939716,43.604565,38.61543,0.77447146,45.670353
109.63509,0.0055723023,149.54376,148.71046,39.075356,44.280754,39.76872,0.8333031,46.29957
113.04529,0.0058064903,154.1655,153.27034,40.225048,44.952698,40.95925,0.8951605,46.925613
116.52385,0.006043814,158.87762,157.91739,41.393543,45.61912,42.182507,0.96022683,47.547176
120.076775,0.0062847743,163.68059,162.65189,42.57511,46.27971,43.440563,1.0286955,48.163925
123.69661,0.006529767,168.57619,167.47542,43.778816,46.934383,44.72995,1.1007632,48.775753
127.38389,0.006779108,173.56226,172.38565,45.00176,47.58237,46.04972,1.1765974,49.381878
131.13266,0.0070330454,178.63728,177.38092,46.248253,48.222637,47.39727,1.2563641,49.981224
134.95247,0.007291772,183.80214,182.4619,47.509438,48.855324,48.780636,1.3402433,50.573925
138.84508,0.0075554387,189.0564,187.62799,48.782917,49.479736,50.19845,1.428404,51.159264
142.79424,0.007824158,194.39996,192.87897,50.084736,50.09572,51.64084,1.5210162,51.737057
146.80869,0.008098015,199.8325,198.21426,51.405598,50.70287,53.115753,1.6182467,52.30689
150.88446,0.00837707,205.3559,203.63562,52.751156,51.301323,54.62112,1.7202805,52.86887
155.03186,0.0086613605,210.96997,209.14268,54.110817,51.89084,56.15805,1.827287,53.42274
159.25021,0.008950914,216.67392,214.7345,55.484272,52.47077,57.72689,1.9394295,53.967846
163.52689,0.009245742,222.46857,220.41167,56.884785,53.041374,59.319805,2.056887,54.50441
167.86896,0.00954584,228.35101,226.17119,58.30225,53.601444,60.94143,2.1798022,55.03121
172.26797,0.009851199,234.32317,232.01479,59.74681,54.151527,62.585537,2.308364,55.548786
176.73557,0.010161798,240.3885,237.94572,61.210175,54.691925,64.26031,2.4427795,56.05741
181.27174,0.01047761,246.5464,243.9632,62.69144,55.22249,65.9657,2.5832171,56.556927
185.86754,0.010798604,252.79556,250.0657,64.19818,55.742615,67.69354,2.7298393,57.046715
190.53583,0.011124739,259.13843,256.25558,65.719765,56.25279,69.45287,2.8828475,57.527237
195.27118,0.011455979,265.5719,262.5295,67.25833,56.752052,71.24518,3.042386,57.99752
200.07736,0.011792273,272.09692,268.88828,68.81093,57.240486,73.07137,3.208641,58.457638
204.939,0.012133577,278.71375,275.33197,70.39298,57.71809,74.92288,3.381795,58.90757
209.86165,0.012479831,285.42316,281.8611,71.99947,58.184795,76.80504,3.5620325,59.347225
214.85796,0.012830985,292.2265,288.47696,73.619,58.640766,78.718185,3.749554,59.776764
219.92137,0.013186969,299.12634,295.18176,75.2604,59.086483,80.662704,3.9445698,60.196648
225.04715,0.013547729,306.1179,301.9707,76.92355,59.520756,82.63361,4.1472025,60.60568
230.24597,0.013913205,313.20328,308.8456,78.59965,59.94394,84.635666,4.3576612,61.004192
235.50323,0.014283326,320.385,315.80884,80.30562,60.356396,86.66779,4.5761633,61.392548
240.81511,0.01465803,327.6623,322.85944,82.04432,60.758,88.72826,4.802884,61.770588
246.20255,0.015037249,335.03668,329.99863,83.79611,61.148823,90.822945,5.0380297,62.138393
251.65747,0.015420915,342.50616,337.2244,85.56693,61.528534,92.94903,5.2817583,62.495605
257.17712,0.015808951,350.07178,344.53754,87.3604,61.897045,95.1081,5.534268,62.842125
262.76633,0.016201291,357.73758,351.94177,89.17547,62.255215,97.299355,5.795811,63.178806
268.41727,0.016597861,365.50186,359.43533,91.01803,62.60254,99.522514,6.0665493,63.505123
274.1238,0.016998596,373.36234,367.0157,92.89187,62.938576,101.770386,6.346636,63.820644
279.9058,0.017403414,381.3244,374.68802,94.78226,63.26432,104.055626,6.636347,64.12633
285.7568,0.017812245,389.38898,382.4531,96.69626,63.579605,106.37163,6.935891,64.42201
291.66895,0.018225007,397.5554,390.30994,98.64098,63.8845,108.70988,7.2454495,64.707756
297.65527,0.01864164,405.82428,398.25903,100.6038,64.17893,111.085304,7.5652304,64.98347
303.7158,0.01906206,414.19516,406.29977,102.583954,64.462875,113.494804,7.895413,65.24912
309.84113,0.0194862,422.66742,414.43127,104.59013,64.736,115.932304,8.236182,65.504364
316.04153,0.019913984,431.2421,422.65436,106.612816,64.99864,118.39774,8.587749,65.74954
322.31805,0.020345336,439.91803,430.96774,108.64967,65.2504,120.903885,8.95028,65.98422
328.66406,0.02078018,448.69778,439.37378,110.709724,65.49186,123.446594,9.32402,66.20899
335.0619,0.02121844,457.58005,447.87094,112.80903,65.72268,126.01181,9.709135,66.423515
341.53763,0.021660041,466.566,456.46017,114.92257,65.94305,128.61345,10.105839,66.62794
348.09113,0.022104912,475.65436,465.14005,117.04888,66.15289,131.258,10.5142975,66.82221
354.71466,0.022552967,484.84225,473.90762,119.192955,66.3516,133.93518,10.934631,67.0057
361.38828,0.023004143,494.1353,482.7682,121.37989,66.54008,136.63577,11.367159,67.17931
368.1422,0.023458352,503.53806,491.7259,123.58366,66.71907,139.37917,11.812174,67.343765
374.97775,0.02391553,513.0454,500.77567,125.7979,66.88773,142.1666,12.269752,67.49822
381.87396,0.024375591,522.65656,509.91647,128.04251,67.04591,144.9793,12.740062,67.642525
388.82797,0.024838468,532.3716,519.1483,130.32033,67.19389,147.82048,13.223295,67.77693
395.859,0.025304085,542.19055,528.47095,132.61195,67.331566,150.69719,13.719636,67.90135
402.95132,0.025772365,552.11536,537.886,134.9347,67.45923,153.60553,14.229319,68.01606
410.1038,0.026243232,562.1527,547.4001,137.29626,67.57772,156.5412,14.752706,68.121895
417.3218,0.02671662,572.3017,557.0118,139.68994,67.68692,159.5086,15.289968,68.21872
424.6189,0.027192451,582.5576,566.71643,142.09755,67.78634,162.51787,15.841169,68.306046
431.99063,0.027670655,592.92346,576.51685,144.52621,67.87633,165.56369,16.40658,68.38422
439.4269,0.02815116,603.4014,586.415,146.98805,67.957184,168.63841,16.986448,68.45352
446.93588,0.0286339,613.99316,596.4121,149.47624,68.02912,171.74518,17.58102,68.514175
454.51288,0.029118802,624.6991,606.50867,151.99577,68.09207,174.8867,18.190489,68.56609
462.16522,0.0296058,635.5147,616.69977,154.53455,68.14584,178.06451,18.814922,68.60909
469.89407,0.03009483,646.4405,626.98596,157.0919,68.19041,181.27669,19.454515,68.64312
477.7054,0.030585831,657.4789,637.3693,159.6639,68.22608,184.532,20.109535,68.6685
485.592,0.031078713,668.632,647.8518,162.25981,68.25314,187.83092,20.780224,68.68551
493.55243,0.031573437,679.8946,658.42804,164.87553,68.271065,191.16899,21.466608,68.6936
