kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.22702,0.9787259,1.4105294,-1.1876795,-0.16029258,-0.039958782,-0.2913333
233.8136,0.98633695,1.4059151,-1.1819615,-0.15911292,-0.040993027,-0.29227552
239.82352,0.9927009,1.401679,-1.1766094,-0.15795049,-0.04193177,-0.29332268
246.24017,0.99807763,1.3977338,-1.171718,-0.1569346,-0.042841807,-0.29436997
253.03673,1.0025071,1.3940805,-1.1671933,-0.15593219,-0.04368134,-0.2955634
260.1783,1.0061665,1.3907901,-1.1629511,-0.15498218,-0.04442606,-0.2969009
267.65826,1.0092335,1.3879219,-1.1591555,-0.15418158,-0.045310855,-0.2981742
275.4612,1.0115031,1.3852326,-1.1556151,-0.15339449,-0.046164997,-0.29957464
283.56894,1.0133495,1.3826537,-1.1523957,-0.15270206,-0.04698217,-0.30111846
291.95618,1.0147274,1.3804463,-1.1495092,-0.152063,-0.047721706,-0.30265883
300.6336,1.0157381,1.3784531,-1.1468016,-0.15146731,-0.04855697,-0.30426416
309.5784,1.0164607,1.3767782,-1.1443154,-0.15088254,-0.049261533,-0.3059688
318.76956,1.0168768,1.375376,-1.1420969,-0.15031435,-0.049944654,-0.3077138
328.2061,1.0171148,1.374127,-1.1401612,-0.1498446,-0.050730266,-0.30953595
337.89758,1.0171223,1.3730456,-1.1384381,-0.14944264,-0.051538013,-0.3113997
347.8264,1.017013,1.3721766,-1.1369182,-0.14903057,-0.0523066,-0.31326285
357.98022,1.0167956,1.3714727,-1.1355168,-0.14863794,-0.05304674,-0.3151837
368.36127,1.0165514,1.3709627,-1.1342134,-0.14829785,-0.053736813,-0.3171695
378.96436,1.0161841,1.3706133,-1.1330527,-0.14799985,-0.05452857,-0.31919748
389.78635,1.0156896,1.370427,-1.1320783,-0.14773324,-0.05530209,-0.32128498
400.82214,1.0152515,1.3703547,-1.1312854,-0.14748813,-0.056059457,-0.3234085
412.08084,1.0147822,1.3704617,-1.1306059,-0.14730525,-0.056838907,-0.32555893
423.55978,1.0143279,1.37074,-1.130039,-0.14708638,-0.057628416,-0.32774743
435.25092,1.0137941,1.371003,-1.129519,-0.14695224,-0.05852229,-0.32995224
447.156,1.0131978,1.3713235,-1.1291033,-0.14678854,-0.059437364,-0.33222076
459.254,1.0126624,1.3717325,-1.1287467,-0.1466549,-0.060283072,-0.33447987
471.55453,1.0121254,1.3722041,-1.1284705,-0.14655039,-0.061131984,-0.336776
484.0785,1.0116626,1.3727199,-1.1282856,-0.14648712,-0.061939277,-0.33908376
496.81934,1.0111766,1.3732568,-1.1281875,-0.14641374,-0.062799886,-0.3414478
509.7655,1.0106721,1.3738241,-1.1282206,-0.1463579,-0.063691616,-0.34384784
522.93054,1.0102258,1.3744069,-1.1282982,-0.14635746,-0.06453311,-0.34618264
536.2915,1.0097377,1.3750501,-1.1285354,-0.14633249,-0.06531241,-0.3485427
549.8522,1.009255,1.3758591,-1.1288443,-0.14629838,-0.0660207,-0.3509672
563.6118,1.0087534,1.3766965,-1.1291243,-0.14632086,-0.066835634,-0.3534297
577.5719,1.008347,1.3776081,-1.1295172,-0.14635329,-0.06764793,-0.35594007
591.7407,1.0079944,1.3786044,-1.1299134,-0.14636219,-0.06851915,-0.35842952
606.1321,1.0076079,1.3796052,-1.1303154,-0.14640287,-0.069368236,-0.36093903
620.7112,1.0072371,1.3806965,-1.1308237,-0.14647514,-0.07015704,-0.36352372
635.48987,1.0069141,1.3817776,-1.1314543,-0.14654258,-0.07098176,-0.36609915
650.4833,1.006571,1.3828533,-1.1321193,-0.14667577,-0.07181186,-0.368666
665.68256,1.0063024,1.384042,-1.1328853,-0.14682388,-0.07263013,-0.3712808
681.09686,1.0061289,1.3853495,-1.1337038,-0.14694476,-0.073432654,-0.3738247
696.7091,1.0059224,1.3866727,-1.1345601,-0.1470601,-0.07423138,-0.3764289
712.5243,1.0057346,1.3880275,-1.1354548,-0.14722085,-0.07504388,-0.37903652
728.568,1.0055821,1.3894582,-1.1363119,-0.14736712,-0.075880036,-0.38163635
744.8264,1.0054382,1.3909128,-1.1372577,-0.1475757,-0.07670685,-0.384262
761.2799,1.0053461,1.3924426,-1.1382833,-0.14778192,-0.0775401,-0.38685676
777.96454,1.0053384,1.3940082,-1.1392683,-0.14793956,-0.07836102,-0.38955113
794.8836,1.0053082,1.3955969,-1.1403214,-0.14816508,-0.079214744,-0.39222246
812.03076,1.0052911,1.3971387,-1.1413661,-0.14837596,-0.080148615,-0.39487466
829.4081,1.0053273,1.3986616,-1.1424041,-0.14860593,-0.08100864,-0.39754254
847.00964,1.0053518,1.4002407,-1.1435028,-0.14882636,-0.08185006,-0.40032417
864.82983,1.0053666,1.4017911,-1.1446569,-0.14900583,-0.082748204,-0.40303627
882.8722,1.005418,1.4033318,-1.1458976,-0.14916636,-0.083642714,-0.40570956
901.1265,1.0054585,1.4048429,-1.1471419,-0.14937966,-0.08444441,-0.40836164
