kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,403.0,894.0,1.1,0.27,1.0,0.0,0.0
228.145,858.8709,405.18665,894.7022,1.155917,0.27571872,1.0,0.0,0.014888048
233.73341,866.69684,407.56543,895.4199,1.2057655,0.28178328,1.0,0.0,0.029554427
239.74496,874.50574,410.10965,896.15466,1.2509766,0.28814954,1.0,0.0,0.044002473
246.1631,882.3203,412.79755,896.90765,1.2926499,0.2947834,1.0,0.0,0.058235407
252.96083,890.15894,415.61154,897.68005,1.3316305,0.30165872,1.0,0.0,0.072256446
260.1035,898.03656,418.53723,898.4727,1.3685683,0.30875525,1.0,0.0,0.08606875
267.58453,905.9647,421.563,899.2866,1.4039638,0.31605735,1.0,0.0,0.09967542
275.38834,913.9529,424.67935,900.1224,1.4382014,0.32355303,1.0,0.0,0.11307949
283.49664,922.0084,427.87848,900.98083,1.4715774,0.33123296,1.0,0.0,0.126284
291.88474,930.13684,431.15408,901.86237,1.5043192,0.33908993,1.0,0.0,0.13929194
300.5627,938.3426,434.50095,902.76764,1.5366018,0.34711838,1.0,0.0,0.15210623
309.50812,946.6287,437.91473,903.6972,1.5685589,0.35531393,1.0,0.0,0.16472971
318.6996,954.9977,441.39188,904.6514,1.6002932,0.36367318,1.0,0.0,0.17716527
328.13663,963.4507,444.92938,905.63074,1.6318823,0.3721935,1.0,0.0,0.1894157
337.8284,971.9886,448.5247,906.6355,1.6633853,0.38087276,1.0,0.0,0.20148373
347.7576,980.61176,452.17566,907.66626,1.6948462,0.38970926,1.0,0.0,0.21337211
357.91156,989.3202,455.88034,908.7233,1.7262977,0.39870167,1.0,0.0,0.22508347
368.2929,998.11334,459.63724,909.80707,1.7577639,0.4078488,1.0,0.0,0.23662049
378.89627,1006.99054,463.44476,910.9178,1.7892616,0.4171497,1.0,0.0,0.24798572
389.7184,1015.95056,467.30167,912.05585,1.8208025,0.42660353,1.0,0.0,0.25918174
400.75418,1024.9926,471.20667,913.22156,1.8523936,0.43620956,1.0,0.0,0.2702111
412.01328,1034.115,475.15866,914.41516,1.8840398,0.44596708,1.0,0.0,0.28107625
423.4923,1043.3167,479.1566,915.6371,1.9157422,0.4558754,1.0,0.0,0.29177964
