con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.80177,0.0017051001,105.17594,104.996605,27.194828,36.845238,25.113216,0.17933552,39.445236
79.94203,0.0018181846,108.64222,108.44469,28.502647,37.485104,25.654491,0.19753163,40.02598
82.355415,0.0019368625,112.26916,112.05171,29.696295,38.151302,26.256033,0.21744993,40.634415
84.96449,0.0020612467,116.03524,115.79606,30.831566,38.83475,26.899702,0.23917724,41.2614
87.68323,0.0021914518,119.92651,119.6637,31.980473,39.52949,27.571398,0.26281318,41.900963
90.51283,0.0023275937,123.936226,123.64774,33.13491,40.232094,28.267859,0.2884732,42.549644
93.47364,0.0024697883,128.05806,127.741776,34.26814,40.939575,28.996626,0.3162763,43.20443
96.5497,0.0026181515,132.28427,131.93793,35.388226,41.648598,29.750492,0.3463402,43.861954
99.73972,0.0027727978,136.60818,136.22939,36.48967,42.356255,30.526037,0.37878686,44.519287
103.00293,0.0029338417,141.02434,140.6106,37.607662,43.060246,31.321314,0.4137431,45.174095
106.322784,0.0031013929,145.53156,145.08022,38.757435,43.75984,32.131027,0.45135054,45.825626
109.74305,0.0032755618,150.13062,149.63885,39.89581,44.454517,32.961277,0.49176207,46.473335
113.24709,0.0034564557,154.8164,154.28128,41.034206,45.142494,33.80989,0.535116,47.11541
116.80695,0.0036441775,159.58633,159.00478,42.197823,45.822617,34.670536,0.5815609,47.75067
120.42856,0.0038388285,164.44185,163.81058,43.382023,46.494953,35.54366,0.6312641,48.37917
124.12793,0.0040405076,169.38141,168.69704,44.569115,47.15857,36.430836,0.68438697,48.99994
127.88757,0.004249307,174.40303,173.66193,45.77436,47.81287,37.336174,0.74109197,49.612373
131.71275,0.004465318,179.50955,178.70798,46.995216,48.4581,38.253616,0.8015672,50.216686
135.59941,0.004688627,184.70082,183.83482,48.235413,49.094196,39.189365,0.86599326,50.8128
139.56792,0.004919317,189.97392,189.03938,49.47147,49.71987,40.141304,0.93454194,51.3994
143.5839,0.0051574674,195.32909,194.32167,50.737778,50.335144,41.10278,1.0074034,51.976482
147.67471,0.0054031527,200.76562,199.68086,52.006145,50.93963,42.078068,1.0847673,52.543648
151.81247,0.0056564407,206.28513,205.1183,53.305824,51.533463,43.06818,1.1668397,53.101006
156.02864,0.0059174006,211.88704,210.63321,54.604576,52.11641,44.076317,1.2538205,53.64831
160.28821,0.0061860904,217.57236,216.22644,55.93824,52.688347,45.09435,1.3459222,54.185417
164.61253,0.006462565,223.34286,221.8995,57.28695,53.24983,46.127777,1.4433676,54.71286
168.97809,0.0067468793,229.20012,227.65373,58.675644,53.80076,47.170967,1.5463855,55.230526
173.40668,0.0070390794,235.14458,233.48936,60.08269,54.34135,48.228054,1.6552013,55.738613
177.91423,0.007339208,241.1757,239.40565,61.49143,54.87102,49.297443,1.7700386,56.236507
182.49042,0.007647302,247.29535,245.4042,62.91378,55.390232,50.380527,1.8911421,56.724674
187.13885,0.007963395,253.50414,251.48537,64.34653,55.89886,51.479317,2.0187535,57.202953
191.86987,0.008287516,259.79776,257.64468,65.77479,56.395912,52.59677,2.1530783,57.670353
196.6733,0.00861969,266.1731,263.87878,67.20549,56.880527,53.72964,2.29433,58.125996
201.51361,0.008959937,272.62976,270.187,68.673386,57.35257,54.86862,2.4427454,58.569725
206.39307,0.009308267,279.17447,276.57584,70.18276,57.8135,56.02101,2.5986307,59.00297
211.32698,0.009664694,285.8097,283.0474,71.72044,58.2636,57.186516,2.7622628,59.42602
216.33891,0.01002922,292.53467,289.6008,73.261894,58.70261,58.36269,2.9338946,59.838604
221.41818,0.010401848,299.34982,296.23602,74.81784,59.13062,59.549767,3.1137912,60.24079
226.56328,0.0107825715,306.2553,302.95306,76.38978,59.547478,60.751755,3.3022199,60.632404
231.74748,0.011171381,313.252,309.75256,78.00507,59.953274,61.96511,3.4994576,61.013527
237.00471,0.011568263,320.3402,316.6344,79.629715,60.34796,63.19388,3.7057798,61.384117
242.33452,0.011973204,327.52023,323.59875,81.26426,60.731655,64.44247,3.9214668,61.744247
247.74963,0.0123861795,334.79156,330.6448,82.89517,61.10409,65.704254,4.146789,62.093655
253.18587,0.0128071625,342.1536,337.77158,84.58571,61.4652,66.9726,4.3820167,62.432266
258.69168,0.01323612,349.60883,344.98138,86.28969,61.815193,68.25719,4.627465,62.76027
264.25742,0.013673023,357.16272,352.27924,88.02183,62.15516,69.554054,4.883494,63.07875
269.89636,0.01411783,364.81485,359.66446,89.7681,62.484863,70.86468,5.150394,63.387455
275.6219,0.014570504,372.56122,367.1328,91.51091,62.80353,72.18881,5.4284043,63.685596
281.43518,0.015030994,380.4019,374.68408,93.24892,63.111267,73.52753,5.717819,63.97328
287.29425,0.015499255,388.335,382.3161,95.02185,63.407516,74.877464,6.0189033,64.249916
293.19547,0.015975226,396.36102,390.02902,96.83356,63.692566,76.24404,6.331957,64.51582
299.19437,0.016458856,404.48428,397.82693,98.63255,63.96701,77.62646,6.657348,64.771545
305.23538,0.016950086,412.69897,405.7037,100.46834,64.23003,79.0155,6.995283,65.016266
311.33063,0.017448848,421.00778,413.66168,102.331055,64.4818,80.41596,7.346101,65.25017
317.5089,0.017955082,429.4143,421.70413,104.19521,64.72315,81.83046,7.710169,65.47405
323.73508,0.018468706,437.91925,429.83148,106.096405,64.953926,83.25757,8.087802,65.687744
330.02615,0.018989658,446.5231,438.0438,108.01763,65.17444,84.70004,8.4793215,65.89158
336.42004,0.019517852,455.2258,446.3408,109.92076,65.38454,86.1604,8.88503,66.085365
342.85376,0.020053215,464.02444,454.71924,111.86547,65.583824,87.624954,9.3051815,66.26872
349.32455,0.020595662,472.91553,463.1755,113.850975,65.77198,89.0979,9.740009,66.441315
355.84314,0.02114511,481.90485,471.7149,115.87177,65.9496,90.58183,10.18993,66.60371
362.42218,0.021701468,491.0029,480.34738,117.92524,66.11826,92.0865,10.655485,66.7575
369.12012,0.022264652,500.20752,489.07056,119.95044,66.27777,93.613304,11.136947,66.902466
375.89218,0.022834564,509.51157,497.87717,121.984955,66.42702,95.1521,11.634474,67.037506
382.72064,0.023411116,518.9152,506.76685,124.04621,66.56599,96.70497,12.148384,67.16259
389.61,0.023994207,528.41235,515.7335,126.12355,66.694176,98.26393,12.678836,67.27722
396.57346,0.024583744,538.00977,524.78345,128.20998,66.81237,99.83601,13.2262945,67.38216
403.6014,0.02517962,547.7077,533.9166,130.3152,66.92068,101.42504,13.791073,67.477516
410.7043,0.025781736,557.5016,543.12823,132.42392,67.01859,103.025215,14.373359,67.56277
417.8345,0.026389992,567.39264,552.4191,134.58466,67.10632,104.62849,14.973488,67.63813
425.0332,0.027004275,577.3849,561.793,136.75984,67.18444,106.24624,15.591862,67.70415
432.30942,0.027624484,587.479,571.2502,138.94075,67.25305,107.87895,16.228806,67.76094
439.65094,0.028250504,597.67535,580.7908,141.1398,67.312294,109.5224,16.88463,67.80863
447.04013,0.028882232,607.97845,590.4187,143.37857,67.36271,111.17805,17.559776,67.847755
454.46793,0.02951955,618.37897,600.1247,145.65677,67.403175,112.84235,18.254269,67.877205
461.95068,0.030162347,628.8787,609.9103,147.95961,67.43427,114.52066,18.968458,67.897514
469.49905,0.030810516,639.48846,619.7855,150.28642,67.45707,116.20642,19.702969,67.90978
477.11212,0.03146394,650.21234,629.75415,152.64201,67.47205,117.90145,20.458242,67.914474
484.81152,0.0321225,661.0428,639.8084,154.99693,67.47844,119.60969,21.234346,67.9108
492.6128,0.032786082,671.97534,649.9439,157.33112,67.47587,121.340164,22.031437,67.8984
500.5027,0.033454567,683.01483,660.16486,159.66219,67.4648,123.083855,22.849964,67.877716
508.44812,0.034127843,694.15204,670.4621,162.01399,67.4446,124.83792,23.689913,67.84814
516.436,0.034805786,705.3921,680.8404,164.40442,67.41567,126.61196,24.551725,67.810036
524.4593,0.03548829,716.73645,691.30066,166.84145,67.37847,128.3955,25.435751,67.76386
532.5692,0.036175225,728.1812,701.8392,169.26997,67.3325,130.18678,26.342123,67.70913
540.7622,0.03686648,739.7264,712.45514,171.69301,67.27794,131.98965,27.271105,67.64601
548.94366,0.037561923,751.37146,723.14856,174.20493,67.21491,133.79857,28.222958,67.57461
557.193,0.0382592,763.13153,733.93475,176.74174,67.14484,135.62222,29.196802,67.49635
565.5515,0.03895818,774.9987,744.80615,179.2547,67.067085,137.46574,30.192543,67.410614
574.0061,0.039658744,786.96844,755.75824,181.7522,66.981224,139.3276,31.21018,67.31693
582.5285,0.04036078,799.0373,766.7876,184.25905,66.88732,141.19986,32.24977,67.21541
591.0948,0.041064154,811.20953,777.89795,186.80309,66.78561,143.08104,33.311634,67.106224
599.6488,0.04176877,823.4877,789.09155,189.44273,66.67652,144.96579,34.396065,66.98985
608.313,0.042474497,835.8715,800.3683,192.05533,66.560165,146.8666,35.503223,66.86638
617.0605,0.04318122,848.3614,811.7281,194.66762,66.43664,148.77858,36.63328,66.735886
625.87933,0.04388882,860.9546,823.16833,197.28899,66.3057,150.69617,37.786278,66.598145
634.7887,0.044597194,873.65063,834.68823,199.8996,66.16773,152.63597,38.962368,66.45352
643.78656,0.045306228,886.4451,846.2836,202.49704,66.02221,154.58923,40.161484,66.301506
652.80963,0.046015803,899.341,857.95715,205.14749,65.86952,156.54897,41.383896,66.142456
661.82104,0.046725806,912.33905,869.7093,207.88823,65.7101,158.5115,42.629776,65.97683
670.8708,0.047436144,925.4434,881.544,210.67317,65.544075,160.49039,43.89946,65.80475
679.96387,0.048146706,938.66473,893.47107,213.50723,65.372574,162.49574,45.19361,65.62732
689.1977,0.048857383,952.0004,905.4881,216.29042,65.195114,164.52525,46.51225,65.44407
698.5211,0.04956808,965.4482,917.5928,219.07162,65.011986,166.56332,47.855415,65.25528
707.87134,0.050278693,979.0044,929.7814,221.91006,64.82279,168.59818,49.22306,65.060555
717.3017,0.050989125,992.6713,942.0558,224.75415,64.62791,170.6504,50.615448,64.86025
726.75073,0.05169927,1006.4528,954.41986,227.66914,64.42769,172.71594,52.032875,64.65476
736.3076,0.052409023,1020.33875,966.8638,230.55618,64.22144,174.79099,53.474957,64.44335
745.93286,0.053118307,1034.3298,979.38806,233.45515,64.009476,176.87648,54.941853,64.226326
755.65533,0.053827018,1048.4254,991.9917,236.33638,63.791733,178.97672,56.43361,64.003654
765.4638,0.05453506,1062.6251,1004.675,239.2112,63.56855,181.09016,57.95033,63.775665
775.2846,0.05524235,1076.93,1017.4379,242.1533,63.33976,183.21257,59.492146,63.54216
785.1229,0.05594879,1091.3403,1030.2811,245.15819,63.105827,185.34306,61.059166,63.303623
795.06616,0.056654297,1105.8525,1043.2013,248.13507,62.866463,187.48616,62.6513,63.05976
805.06714,0.057358783,1120.4688,1056.2001,251.13295,62.622005,189.63829,64.26872,62.81091
815.1213,0.05806217,1135.2039,1069.2914,254.17017,62.373398,191.81905,65.91241,62.55801
825.3595,0.058764357,1150.043,1082.4614,257.1019,62.1198,194.02553,67.581535,62.300217
835.67175,0.05946526,1164.9786,1095.7029,260.03116,61.860943,196.24475,69.27576,62.037254
845.87604,0.060164813,1180.0033,1109.0085,263.13257,61.59669,198.4588,70.994675,61.768993
856.0838,0.060862932,1195.1327,1122.3934,266.30966,61.32798,200.68112,72.73928,61.496365
866.4628,0.061559528,1210.375,1135.8649,269.40204,61.05526,202.9277,74.51012,61.219822
876.8523,0.06225454,1225.7256,1149.4185,272.56622,60.778473,205.17125,76.30698,60.93929
887.3139,0.06294787,1241.1906,1163.0603,275.74643,60.498062,207.41855,78.1303,60.655212
897.8644,0.06363947,1256.7605,1176.781,278.91653,60.213512,209.67194,79.97957,60.367092
908.52985,0.06432925,1272.4312,1190.5767,282.04675,59.924778,211.93886,81.854546,60.07487
919.24945,0.06501715,1288.2006,1204.4453,285.19592,59.63197,214.21239,83.75513,59.778645
930.0089,0.06570309,1304.0743,1218.3926,288.38364,59.335472,216.49686,85.6817,59.478813
940.7632,0.066387,1320.0499,1232.4156,291.6525,59.035194,218.79367,87.63414,59.175278
951.61176,0.06706881,1336.1313,1246.5186,294.9068,58.73143,221.10486,89.61273,58.868336
962.4471,0.067748465,1352.3168,1260.6993,298.25226,58.424282,223.42662,91.61738,58.558075
973.3997,0.0684259,1368.6124,1274.9639,301.5642,58.114162,225.77046,93.64854,58.244907
984.4818,0.06910105,1385.021,1289.3145,304.8327,57.801052,228.14128,95.706406,57.928825
995.6383,0.06977387,1401.533,1303.7427,308.1043,57.484974,230.53183,97.79038,57.60984
1006.8735,0.07044428,1418.1494,1318.2489,311.3754,57.16585,232.93427,99.90051,57.287876
1018.1548,0.07111222,1434.8605,1332.8243,314.66965,56.843426,235.34326,102.03612,56.96268
1029.4993,0.07177764,1451.6733,1347.4757,317.97638,56.51808,237.75949,104.19769,56.634624
1040.7958,0.07244048,1468.5809,1362.196,321.40036,56.189877,240.17378,106.38471,56.30377
1052.1223,0.073100686,1485.5856,1376.9884,324.86606,55.858704,242.59564,108.59734,55.970005
1063.5594,0.0737582,1502.6909,1391.8552,328.2958,55.525032,245.04088,110.83578,55.6338
1075.0391,0.074412994,1519.9023,1406.8018,331.76276,55.18903,247.4996,113.10049,55.29533
1086.5858,0.075064994,1537.2196,1421.8281,335.24237,54.850838,249.97183,115.39138,54.95472
1098.265,0.07571414,1554.6367,1436.9286,338.6637,54.5104,252.45926,117.70798,54.61192
1109.9397,0.07636041,1572.153,1452.1027,342.16302,54.167706,254.95781,120.05024,54.26692
1121.5807,0.077003755,1589.774,1467.3555,345.77463,53.82315,257.4704,122.418564,53.92011
1133.3392,0.0776441,1607.5116,1482.6979,349.35855,53.477127,260.00412,124.813805,53.571877
1145.2073,0.07828145,1625.362,1498.1262,352.91898,53.12959,262.54678,127.23569,53.222183
1157.1328,0.07891573,1643.3136,1513.6302,356.49744,52.780327,265.09454,129.68329,52.87082
1169.1086,0.07954692,1661.3671,1529.2103,360.10184,52.42927,267.65768,132.15663,52.517704
1181.1848,0.08017496,1679.5166,1544.8613,363.67657,52.076637,270.2306,134.65518,52.163063
1193.3151,0.0807998,1697.762,1560.5831,367.26813,51.72221,272.8014,137.17883,51.806667
1205.4677,0.081421435,1716.1023,1576.375,370.9073,51.366173,275.3786,139.72751,51.44871
1217.6803,0.08203981,1734.5349,1592.2338,374.55353,51.00865,277.98346,142.3009,51.089314
1230.0808,0.08265489,1753.0641,1608.1649,378.0841,50.649864,280.62143,144.89932,50.72869
1242.3824,0.08326664,1771.6893,1624.1667,381.78436,50.289692,283.24725,147.52261,50.366726
1254.7792,0.08387503,1790.4071,1640.2365,385.45724,49.928238,285.88596,150.17044,50.00352
1267.2101,0.08448003,1809.2135,1656.371,389.16095,49.56569,288.54037,152.8424,49.639256
1279.703,0.08508161,1828.1094,1672.5709,392.86798,49.20186,291.2295,155.53848,49.273758
1292.4193,0.085679725,1847.0925,1688.8341,396.41486,48.83692,293.94186,158.25838,48.90719
1304.9622,0.08627434,1866.1554,1705.1542,400.1919,48.47084,296.6333,161.00133,48.53951
1317.596,0.08686546,1885.3116,1721.5431,403.94714,48.103916,299.33734,163.76846,48.171024
1330.2173,0.08745306,1904.5603,1738.0007,407.78333,47.736378,302.0607,166.55965,47.801956
1342.9059,0.088037096,1923.9216,1754.5452,411.63928,47.368725,304.8031,169.37648,47.432816
1355.7899,0.08861754,1943.3927,1771.174,415.38397,47.001026,307.57367,172.21867,47.063656
1368.5641,0.08919437,1962.9636,1787.8784,419.3143,46.632942,310.3517,175.08531,46.69415
1381.3767,0.08976758,1982.6455,1804.6683,423.29153,46.264988,313.14304,177.9773,46.324802
1394.3129,0.09033713,2002.43,1821.5361,427.22342,45.89683,315.9536,180.89375,45.955288
1407.3246,0.09090299,2022.3092,1838.4752,431.15076,45.52856,318.76532,183.83397,45.58569
1420.442,0.09146518,2042.2809,1855.4833,435.0412,45.160095,321.58682,186.7976,45.21592
1433.6768,0.09202364,2062.3457,1872.5613,438.88446,44.791557,324.42142,189.78455,44.846115
1446.8947,0.09257838,2082.4949,1889.7008,442.806,44.422802,327.24557,192.79399,44.47612
1460.1528,0.09312938,2102.7117,1906.8872,446.73453,44.05359,330.07547,195.82423,44.105694
1473.4797,0.09367662,2123.0044,1924.1285,450.6489,43.68417,332.9191,198.87589,43.73509
1486.9531,0.09422008,2143.3823,1941.4327,454.47946,43.314827,335.7968,201.94965,43.364586
1500.3376,0.09475975,2163.8481,1958.8025,458.4648,42.94569,338.6748,205.0457,42.994316
1513.7914,0.095295615,2184.4092,1976.2446,462.45312,42.57696,341.5634,208.16461,42.62449
1527.2491,0.095827684,2205.0698,1993.763,466.51392,42.208897,344.44403,211.30675,42.255344
1540.7402,0.096355915,2225.8267,2011.3552,470.61508,41.841305,347.33188,214.47156,41.886692
1554.2107,0.096880324,2246.6777,2029.0188,474.80807,41.474365,350.22595,217.65884,41.51872
1567.8339,0.09740087,2267.619,2046.7509,478.917,41.10793,353.14584,220.86803,41.151276
1581.5955,0.09791758,2288.6472,2064.5486,482.95306,40.74206,356.09027,224.09879,40.78442
1595.4607,0.098430425,2309.755,2082.4048,486.94415,40.376766,359.0569,227.35016,40.418163
1609.2847,0.09893939,2330.9358,2100.3142,491.02954,40.011864,362.0309,230.62137,40.052326
1623.0372,0.09944449,2352.2056,2118.2915,495.2544,39.647854,365.00034,233.9139,39.687393
1636.9124,0.09994572,2373.5671,2136.3394,499.42706,39.284664,367.96423,237.22787,39.323303
1650.8833,0.100443065,2395.0015,2154.4402,503.55685,38.92213,370.94046,240.5613,38.959892
1664.9227,0.10093652,2416.5073,2172.5935,507.67078,38.56029,373.9244,243.91383,38.597195
1678.94,0.10142607,2438.0972,2190.8108,511.87082,38.199406,376.9126,247.2866,38.235466
1692.9504,0.101911746,2459.7727,2209.093,516.1425,37.839573,379.90894,250.67973,37.874813
1707.1898,0.10239351,2481.5337,2227.441,520.251,37.48083,382.9389,254.09293,37.51527
1721.3878,0.10287139,2503.3699,2245.8447,524.4568,37.12301,385.97772,257.52515,37.156666
1735.4701,0.103345364,2525.2805,2264.3044,528.83417,36.766285,389.01187,260.97604,36.79918
1749.717,0.10381545,2547.2727,2282.8264,533.10944,36.410698,392.06705,264.4463,36.44284
