kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.90854,0.98974264,1.222304,-0.78793836,-0.009259108,-0.25118682,-0.028867152
233.5364,0.99470925,1.2106786,-0.778163,-0.009108547,-0.2537027,-0.028784927
239.79959,0.99805176,1.1998115,-0.76900417,-0.008960616,-0.2564807,-0.028706929
246.58868,1.0003484,1.1895097,-0.76026124,-0.008789662,-0.25935814,-0.028687663
253.84825,1.0021775,1.179787,-0.7519802,-0.008723605,-0.2622722,-0.028645247
261.5283,1.003572,1.1704872,-0.74414057,-0.008620564,-0.26522338,-0.028583208
269.56998,1.004461,1.1617935,-0.73664653,-0.008425768,-0.26825452,-0.028585281
277.9242,1.0049744,1.1535094,-0.72950506,-0.008322317,-0.2713169,-0.028603297
286.55032,1.0051539,1.1455024,-0.72252953,-0.008223031,-0.27452058,-0.028642066
295.43613,1.0052311,1.1379541,-0.71591103,-0.008107055,-0.27771887,-0.028744435
304.58423,1.0052961,1.1307418,-0.7095859,-0.008060258,-0.28087792,-0.02870753
313.9569,1.005151,1.1238072,-0.7035053,-0.0079681985,-0.28417692,-0.028695565
323.53406,1.0048912,1.1171635,-0.69766194,-0.00786927,-0.28759888,-0.028750263
333.32202,1.0046492,1.110738,-0.69200665,-0.007733423,-0.29107258,-0.028770113
343.30762,1.0044012,1.1045052,-0.6865233,-0.007614452,-0.2945759,-0.028775496
353.47485,1.0040851,1.0984251,-0.6812266,-0.0075223255,-0.29819787,-0.028755687
363.84,1.0037775,1.0927169,-0.6762229,-0.00743537,-0.30176917,-0.028797468
374.39902,1.0034597,1.0871601,-0.6713311,-0.0073122787,-0.3052174,-0.028809749
385.12976,1.0031497,1.0819354,-0.6666335,-0.0072761807,-0.30862176,-0.028847925
396.0308,1.0027758,1.076857,-0.6621315,-0.007262762,-0.31224772,-0.028904676
407.09467,1.002465,1.0718905,-0.6577713,-0.0071984488,-0.3159214,-0.029018387
418.32922,1.0021213,1.0670519,-0.653576,-0.007173765,-0.31954953,-0.029134395
429.7283,1.0018414,1.0624584,-0.64955544,-0.007095191,-0.32316366,-0.029209364
441.29596,1.0015208,1.0580503,-0.645636,-0.0069786045,-0.32692033,-0.029296935
453.0406,1.0012736,1.0537512,-0.6417455,-0.0068757865,-0.33070627,-0.029389141
464.97098,1.0010309,1.0495956,-0.63800216,-0.0069382894,-0.33465853,-0.029415842
477.08728,1.0008637,1.0455468,-0.6343399,-0.006925452,-0.3385214,-0.02949849
489.38275,1.0007044,1.0416286,-0.6307945,-0.006854433,-0.34223902,-0.029577304
501.86792,1.0005093,1.0377378,-0.6272828,-0.0067890245,-0.3459828,-0.029620703
514.54395,1.0003104,1.0339327,-0.6239278,-0.0067254263,-0.34974122,-0.02967867
527.3787,1.0000999,1.0302336,-0.620644,-0.006606396,-0.35360944,-0.029738858
540.3492,0.999853,1.0266726,-0.61744314,-0.0064732465,-0.35759497,-0.029882655
553.4495,0.99959946,1.0232291,-0.61436033,-0.0064445096,-0.36148247,-0.030122722
566.72327,0.999429,1.019807,-0.61121136,-0.0063346806,-0.36536914,-0.030280335
580.1832,0.9993315,1.0165203,-0.6082405,-0.0063021067,-0.36931592,-0.030372301
593.8235,0.999267,1.013319,-0.60547227,-0.0062428,-0.37325764,-0.030415865
607.64264,0.9991793,1.010102,-0.60268706,-0.006175931,-0.37721464,-0.030459616
621.6404,0.99909544,1.0069052,-0.599935,-0.00619455,-0.38114005,-0.030526945
635.8198,0.99901927,1.003794,-0.59727615,-0.0062464657,-0.38511553,-0.030677017
650.1801,0.9990089,1.0007713,-0.594677,-0.0062399018,-0.38906667,-0.030735055
664.7209,0.9989892,0.9978263,-0.59204954,-0.0061474326,-0.3930031,-0.030828703
679.4375,0.9989627,0.9950203,-0.58952546,-0.006102498,-0.39697757,-0.030921116
694.3212,0.9989047,0.99222475,-0.5871174,-0.0060310545,-0.4008695,-0.031081464
709.3882,0.9989449,0.98946726,-0.5846963,-0.00599895,-0.40476862,-0.031157427
724.6728,0.9989841,0.9867879,-0.58231646,-0.0059343087,-0.4087172,-0.031225746
740.1696,0.9990413,0.9841411,-0.5799569,-0.0059049535,-0.41269258,-0.031287625
755.84845,0.9990914,0.981519,-0.5777317,-0.0059612053,-0.41671184,-0.03138972
771.7089,0.9991113,0.97890025,-0.57551515,-0.0059546786,-0.42076218,-0.031531468
787.7339,0.9991014,0.97630465,-0.5732843,-0.0059016305,-0.42478922,-0.031662717
803.9269,0.99913716,0.97376853,-0.57112664,-0.0058159414,-0.4286955,-0.03179815
820.31396,0.9992224,0.9713511,-0.5690123,-0.0057490724,-0.43270656,-0.03193637
836.8538,0.9992621,0.96894693,-0.56689316,-0.0056946087,-0.43671355,-0.03204734
853.5622,0.9993504,0.96653676,-0.5648479,-0.0057172435,-0.44068462,-0.032138463
