con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
78.13602,0.0017051001,105.17594,104.996605,26.860584,36.845238,37.45098,0.17933552,39.445236
80.25894,0.0018450696,108.597305,108.396935,28.137989,37.469604,38.25103,0.20036958,40.010487
82.634834,0.0019929602,112.18065,111.957085,29.322247,38.121223,39.14181,0.22357157,40.604332
85.16395,0.0021489777,115.90652,115.65743,30.49349,38.79167,40.082283,0.24908052,41.21832
87.80842,0.0023133315,119.76329,119.486244,31.677834,39.475697,41.059963,0.2770522,41.84717
90.62683,0.00248623,123.74719,123.43953,32.812702,40.17073,42.100246,0.30766398,42.488285
93.559074,0.0026678848,127.84532,127.50425,33.945175,40.87157,43.182293,0.3410766,43.13642
96.61499,0.0028585056,132.04948,131.67201,35.057026,41.574677,44.302277,0.37746418,43.788036
99.77678,0.003058304,136.353,135.93597,36.1592,42.277134,45.4602,0.4170089,44.44017
103.01759,0.0032674877,140.75122,140.29132,37.273716,42.97685,46.645428,0.45990288,45.0907
106.331825,0.003486266,145.24086,144.73451,38.402676,43.672424,47.855125,0.50634825,45.738213
109.755905,0.0037148444,149.82025,149.26369,39.507782,44.362617,49.101795,0.55655897,46.38143
113.24038,0.003953426,154.4836,153.87286,40.63249,45.045456,50.371204,0.6107395,47.018368
116.76022,0.0042022127,159.23112,158.562,41.801765,45.72062,51.66218,0.66912305,47.648674
120.37358,0.0044614016,164.0655,163.33354,42.959965,46.38855,52.97606,0.73196214,48.272766
124.06777,0.0047311876,168.98557,168.18607,44.118286,47.04836,54.31897,0.79950243,48.889732
127.80657,0.00501176,173.98819,173.11621,45.30964,47.699146,55.68156,0.87198716,49.498653
131.61867,0.005303308,179.07344,178.12375,46.505085,48.340374,57.06704,0.94968164,50.09896
135.48785,0.005606012,184.24022,183.20738,47.719517,48.971767,58.473553,1.0328529,50.69037
139.41716,0.0059200507,189.48923,188.36745,48.950287,49.593018,59.90533,1.1217859,51.272545
143.40799,0.0062455973,194.82056,193.60379,50.19581,50.204098,61.356316,1.2167709,51.84544
147.46057,0.006582822,200.23476,198.91664,51.45609,50.80493,62.83132,1.3181098,52.40895
151.57036,0.006931888,205.73236,204.30624,52.73589,51.39537,64.3227,1.4261136,52.962917
155.7473,0.007292953,211.31406,209.77296,54.02567,51.97547,65.838005,1.5411035,53.507374
