kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.59464,0.98762345,1.817996,-1.1771184,-0.013968017,-0.3710989,-0.04258304
232.92323,0.9927435,1.8008981,-1.1629692,-0.013799574,-0.37464786,-0.042491347
238.91399,0.9963629,1.7851758,-1.1496161,-0.013532374,-0.3786651,-0.0422617
245.4718,0.9991764,1.7701001,-1.1368083,-0.013271537,-0.3828808,-0.042303618
252.55998,1.0014628,1.7555766,-1.1247247,-0.0131321065,-0.3870637,-0.04234985
260.08295,1.0029407,1.7421112,-1.1132783,-0.012901764,-0.39127904,-0.042292465
267.97855,1.0040023,1.7294178,-1.1023757,-0.012688387,-0.39557195,-0.04222337
276.19745,1.0046347,1.7172412,-1.0919474,-0.012552027,-0.399997,-0.04222358
284.70453,1.0049672,1.7057633,-1.0819719,-0.012371022,-0.4044613,-0.042264253
293.47354,1.0051596,1.6947831,-1.072428,-0.012249056,-0.4090528,-0.04225651
302.49042,1.0052533,1.6842258,-1.0632482,-0.0121795945,-0.41381004,-0.042218365
311.71283,1.0050921,1.6742386,-1.0545393,-0.011981513,-0.41864103,-0.042226166
321.1398,1.004921,1.6647071,-1.0461882,-0.011783835,-0.4235189,-0.042324267
330.78604,1.0048501,1.655746,-1.0382018,-0.01168732,-0.42846668,-0.042350285
340.64038,1.0046306,1.6469333,-1.0304292,-0.011546571,-0.43350846,-0.04238973
350.67987,1.0043285,1.6385561,-1.0230225,-0.011462297,-0.4386042,-0.042454414
360.90195,1.0040956,1.6305543,-1.0159371,-0.01140463,-0.4437663,-0.042520575
371.296,1.0038183,1.6228266,-1.00901,-0.011250775,-0.44891202,-0.042545125
381.864,1.0035627,1.6153988,-1.0023861,-0.011145506,-0.454126,-0.042715132
392.6045,1.0033178,1.6083537,-0.9960377,-0.011002455,-0.45939606,-0.042899534
403.51764,1.0030797,1.601498,-0.98982066,-0.010890458,-0.46472073,-0.04299919
414.60434,1.0028487,1.5949384,-0.9838567,-0.010846455,-0.47015417,-0.043089904
425.86688,1.0026413,1.5884889,-0.9781845,-0.010776918,-0.4756495,-0.043224633
437.30164,1.002425,1.5822817,-0.97272664,-0.010639224,-0.48121375,-0.043303795
448.8476,1.0021417,1.5764297,-0.9672704,-0.010592204,-0.4867735,-0.043493927
460.53998,1.0019037,1.5707538,-0.96206933,-0.010611933,-0.49235982,-0.04363648
472.38803,1.0017006,1.5652153,-0.9570804,-0.01055916,-0.4980348,-0.043792706
484.4,1.0015845,1.5599331,-0.95225376,-0.010419566,-0.50369954,-0.0439412
