kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
227.5128,859.3678,462.25787,1740.1342,0.88419974,0.011016,1.0,0.0,0.014888048
232.84332,867.7774,464.62488,1740.2715,0.918953,0.015381918,1.0,0.0,0.029554427
238.8357,876.2399,467.09772,1740.412,0.95424515,0.019899774,1.0,0.0,0.044002473
245.39493,884.76385,469.6733,1740.556,0.9900632,0.0245715,1.0,0.0,0.058235407
252.48427,893.35565,472.34894,1740.7036,1.0263953,0.02939896,1.0,0.0,0.072256446
260.00818,902.02106,475.12216,1740.8547,1.0632308,0.03438394,1.0,0.0,0.08606875
267.9047,910.764,477.99078,1741.0099,1.1005595,0.039528176,1.0,0.0,0.09967542
276.1243,919.5873,480.95282,1741.169,1.1383723,0.044833332,1.0,0.0,0.11307949
284.63202,928.4928,484.00647,1741.332,1.17666,0.050301027,1.0,0.0,0.126284
293.40164,937.48175,487.14987,1741.4994,1.215414,0.05593282,1.0,0.0,0.13929194
302.41907,946.5548,490.38144,1741.6711,1.254626,0.061730225,1.0,0.0,0.15210623
311.64206,955.7123,493.69965,1741.8473,1.2942877,0.0676947,1.0,0.0,0.16472971
321.0694,964.9538,497.1029,1742.0281,1.3343908,0.07382767,1.0,0.0,0.17716527
330.71597,974.2788,500.5899,1742.2136,1.374927,0.08013048,1.0,0.0,0.1894157
340.5708,983.68695,504.15915,1742.4039,1.4158885,0.08660446,1.0,0.0,0.20148373
350.61057,993.17755,507.80933,1742.5992,1.457267,0.093250886,1.0,0.0,0.21337211
360.83273,1002.7496,511.53915,1742.7997,1.4990544,0.10007096,1.0,0.0,0.22508347
371.2271,1012.4017,515.34735,1743.0051,1.5412426,0.10706588,1.0,0.0,0.23662049
381.79544,1022.1329,519.2326,1743.216,1.5838232,0.11423676,1.0,0.0,0.24798572
392.53604,1031.9417,523.1938,1743.432,1.6267881,0.12158469,1.0,0.0,0.25918174
403.44943,1041.8267,527.2296,1743.6537,1.6701292,0.12911071,1.0,0.0,0.2702111
414.53644,1051.7861,531.33887,1743.8809,1.713838,0.1368158,1.0,0.0,0.28107625
425.79907,1061.819,535.5204,1744.1138,1.7579062,0.14470091,1.0,0.0,0.29177964
437.23386,1071.9232,539.773,1744.3524,1.8023254,0.15276693,1.0,0.0,0.3023237
448.78,1082.0975,544.09546,1744.5969,1.8470873,0.16101472,1.0,0.0,0.31271076
460.47253,1092.3397,548.48676,1744.8475,1.8921832,0.16944508,1.0,0.0,0.32294315
472.3206,1102.648,552.9456,1745.1041,1.9376048,0.17805877,1.0,0.0,0.33302325
484.3328,1113.02,557.47095,1745.367,1.9833436,0.1868565,1.0,0.0,0.34295326
496.5202,1123.4547,562.06146,1745.636,2.0293908,0.19583893,1.0,0.0,0.35273546
508.88055,1133.9498,566.71625,1745.9114,2.0757382,0.20500669,1.0,0.0,0.36237198
521.4093,1144.504,571.43396,1746.1932,2.122377,0.21436034,1.0,0.0,0.37186503
534.1037,1155.1155,576.2135,1746.4817,2.1692984,0.22390044,1.0,0.0,0.38121676
546.9982,1165.7823,581.0537,1746.7766,2.216494,0.23362744,1.0,0.0,0.39042926
560.0466,1176.5029,585.95355,1747.0781,2.2639556,0.24354178,1.0,0.0,0.3995046
573.2351,1187.2755,590.91187,1747.3866,2.311674,0.25364384,1.0,0.0,0.40844482
586.5645,1198.0979,595.9274,1747.7019,2.3596416,0.26393402,1.0,0.0,0.41725194
600.06305,1208.968,600.9992,1748.024,2.407849,0.27441254,1.0,0.0,0.42592794
613.7476,1219.8843,606.1261,1748.3533,2.4562883,0.28507972,1.0,0.0,0.43447477
627.5805,1230.8448,611.3068,1748.6896,2.504951,0.29593578,1.0,0.0,0.44289434
641.5856,1241.8475,616.54047,1749.033,2.5538282,0.30698085,1.0,0.0,0.45118856
655.78394,1252.8906,621.82574,1749.3837,2.602912,0.31821507,1.0,0.0,0.4593593
670.14246,1263.9725,627.16156,1749.7417,2.652194,0.32963854,1.0,0.0,0.46740842
684.63995,1275.0914,632.5469,1750.1069,2.701666,0.3412513,1.0,0.0,0.47533768
699.3205,1286.2451,637.9806,1750.4797,2.7513196,0.3530534,1.0,0.0,0.48314893
714.13745,1297.4319,643.4614,1750.8599,2.8011467,0.36504474,1.0,0.0,0.49084383
729.0921,1308.6499,648.9882,1751.2477,2.851139,0.37722525,1.0,0.0,0.49842417
744.2103,1319.8969,654.56006,1751.6431,2.901289,0.38959482,1.0,0.0,0.5058917
759.4764,1331.1709,660.17566,1752.0461,2.9515882,0.4021533,1.0,0.0,0.513248
774.89105,1342.4703,665.834,1752.4569,3.002029,0.41490048,1.0,0.0,0.5204948
790.48846,1353.7928,671.53394,1752.8756,3.0526032,0.42783612,1.0,0.0,0.5276337
806.2715,1365.1373,677.2743,1753.3021,3.1033032,0.44095996,1.0,0.0,0.53466636
822.2659,1376.5017,683.05396,1753.7365,3.1541212,0.45427167,1.0,0.0,0.54159427
838.40576,1387.8846,688.87195,1754.1788,3.2050498,0.46777093,1.0,0.0,0.54841906
854.68933,1399.284,694.7269,1754.6293,3.2560813,0.48145732,1.0,0.0,0.5551423
871.1453,1410.698,700.618,1755.0878,3.3072083,0.49533045,1.0,0.0,0.5617654
887.77783,1422.1252,706.54395,1755.5543,3.3584235,0.5093898,1.0,0.0,0.5682899
904.5603,1433.5637,712.50366,1756.0292,3.4097195,0.52363497,1.0,0.0,0.5747172
921.5136,1445.0117,718.49615,1756.5122,3.4610891,0.5380654,1.0,0.0,0.58104885
938.6225,1456.4675,724.5202,1757.0033,3.5125256,0.5526805,1.0,0.0,0.58728623
955.89465,1467.9292,730.5747,1757.5028,3.5640213,0.5674797,1.0,0.0,0.59343076
973.26965,1479.3953,736.6586,1758.0106,3.6155698,0.58246243,1.0,0.0,0.59948385
990.8333,1490.8638,742.77094,1758.5269,3.6671643,0.597628,1.0,0.0,0.60544676
1008.63446,1502.333,748.9104,1759.0514,3.718798,0.61297566,1.0,0.0,0.6113209
1026.5314,1513.8019,755.0761,1759.5845,3.770464,0.62850475,1.0,0.0,0.6171076
1044.5812,1525.2683,761.26685,1760.126,3.822156,0.6442145,1.0,0.0,0.62280816
1062.7645,1536.7306,767.48157,1760.676,3.8738673,0.6601042,1.0,0.0,0.6284238
1081.0646,1548.1871,773.7193,1761.2345,3.9255917,0.67617303,1.0,0.0,0.63395584
1099.4825,1559.6361,779.9789,1761.8018,3.977323,0.6924201,1.0,0.0,0.6394055
1118.076,1571.0757,786.25916,1762.3774,4.029055,0.70884466,1.0,0.0,0.6447741
1136.841,1582.5044,792.5593,1762.9618,4.080782,0.72544575,1.0,0.0,0.65006274
1155.7834,1593.9209,798.87805,1763.5548,4.1324973,0.7422224,1.0,0.0,0.65527266
1174.8251,1605.3237,805.2145,1764.1565,4.1841955,0.7591738,1.0,0.0,0.66040504
1194.0631,1616.7113,811.5675,1764.7668,4.235871,0.77629894,1.0,0.0,0.665461
1213.48,1628.082,817.93604,1765.3859,4.2875175,0.7935968,1.0,0.0,0.6704416
1233.064,1639.4349,824.31915,1766.0138,4.33913,0.8110664,1.0,0.0,0.6753481
1252.8079,1650.7683,830.7157,1766.6503,4.3907027,0.82870674,1.0,0.0,0.6801815
1272.671,1662.0809,837.12476,1767.2958,4.44223,0.8465167,1.0,0.0,0.68494296
1292.6438,1673.3711,843.5453,1767.9498,4.493707,0.8644953,1.0,0.0,0.6896336
1312.7281,1684.6375,849.97626,1768.6128,4.5451293,0.8826413,1.0,0.0,0.6942544
1332.9219,1695.8785,856.41675,1769.2845,4.5964904,0.90095377,1.0,0.0,0.6988064
1353.1934,1707.0925,862.8657,1769.9651,4.647786,0.9194315,1.0,0.0,0.70329064
1373.6211,1718.2781,869.32227,1770.6544,4.6990113,0.93807334,1.0,0.0,0.7077081
1394.2277,1729.4337,875.7853,1771.3527,4.750161,0.95687807,1.0,0.0,0.71205986
1415.0131,1740.5587,882.25385,1772.0597,4.801231,0.97584444,1.0,0.0,0.71634674
1435.93,1751.6517,888.7269,1772.7755,4.8522167,0.99497133,1.0,0.0,0.72056985
1456.9875,1762.7115,895.20374,1773.5004,4.9031134,1.0142576,1.0,0.0,0.7247301
