con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.29747,0.0017051001,105.17594,104.996605,27.699131,36.845238,39.638268,0.17933552,39.445236
79.832535,0.0018181846,108.63802,108.440506,28.607967,37.483658,40.71471,0.197524,40.024536
82.44578,0.0019368625,112.19558,111.97828,29.532501,38.126297,41.871403,0.2173074,40.609406
85.13446,0.0020612464,115.845665,115.60688,30.472414,38.7713,43.098103,0.23878646,41.197952
87.89135,0.0021914477,119.589714,119.32765,31.436302,39.41848,44.390762,0.2620746,41.789955
90.71925,0.0023275756,123.42519,123.13792,32.418667,40.066204,45.75324,0.28728145,42.383762
93.62077,0.002469739,127.35036,127.03583,33.415054,40.713326,47.185608,0.31452212,42.978184
96.587036,0.0026180444,131.36424,131.02032,34.43329,41.358936,48.678448,0.3439174,43.572292
99.62144,0.0027725953,135.46655,135.09096,35.469536,42.00229,50.23817,0.37559393,44.16532
102.72356,0.0029334961,139.65556,139.24588,36.52232,42.6423,51.864517,0.40967903,44.75615
105.893036,0.0031008448,143.93065,143.48434,37.591312,43.278458,53.554447,0.44630665,45.344246
109.12435,0.00327474,148.29173,147.8061,38.68176,43.910015,55.305504,0.4856168,45.92883
112.4191,0.0034552768,152.73657,152.20885,39.78974,44.53604,57.11676,0.52774715,46.508957
115.77763,0.0036425472,157.26521,156.69237,40.91473,45.156147,58.990185,0.57284594,47.0842
119.19355,0.0038366392,161.87814,161.25706,42.06352,45.770077,60.92251,0.62106794,47.654297
122.674614,0.0040376396,166.57297,165.90042,43.225815,46.376656,62.922188,0.67256165,48.21803
126.21997,0.0042456305,171.35121,170.62372,44.403748,46.97621,64.98508,0.72749394,48.77572
129.82391,0.0044606905,176.21164,175.42561,45.601696,47.567837,67.10787,0.7860256,49.326424
133.4848,0.0046828967,181.15308,180.30476,46.81996,48.151196,69.2872,0.8483212,49.869797
137.20375,0.00491232,186.17621,185.26164,48.057884,48.725937,71.526085,0.9145571,50.405464
140.98167,0.005149028,191.28085,190.29594,49.314255,49.29194,73.82841,0.9849104,50.93328
144.81953,0.0053930855,196.46683,195.40726,50.58772,49.84891,76.19516,1.0595624,51.45293
148.7176,0.0056445524,201.73503,200.59633,51.878704,50.39677,78.626465,1.138704,51.964314
152.67317,0.005903485,207.08339,205.86087,53.187706,50.934883,81.11652,1.2225138,52.466785
156.68587,0.0061699357,212.51149,211.2003,54.514435,51.462788,83.67385,1.3111821,52.959858
160.75758,0.006443951,218.02124,216.6163,55.85872,51.981033,86.295296,1.4049182,53.444065
164.88522,0.0067255744,223.613,222.1091,57.22388,52.489285,88.97756,1.5039259,53.919052
169.0689,0.0070148436,229.28656,227.67815,58.609257,52.98758,91.72579,1.6084093,54.384834
173.31023,0.007311796,235.04044,233.32185,60.011623,53.47516,94.53767,1.7185676,54.840645
177.60489,0.0076164594,240.8761,239.04147,61.436596,53.952427,97.41118,1.834623,55.28687
181.965,0.007928861,246.7952,244.83838,62.873375,54.4195,100.36306,1.9568046,55.7236
186.37816,0.008249023,252.79425,250.70894,64.33077,54.87562,103.37298,2.0853057,56.150066
190.8429,0.008576961,258.8745,256.65414,65.81126,55.320843,106.44661,2.2203567,56.56631
195.36699,0.008912689,265.0395,262.67728,67.310295,55.75583,109.58968,2.3622148,56.972977
199.947,0.009256213,271.28717,268.7761,68.8291,56.180145,112.80159,2.511092,57.36962
