,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,6.241e-05,9.375e-05,4.425e-05,4.861e-05,4.191e-05,2.597e-05,2.936e-05
std,5.462e-05,6.258e-05,3.606e-05,3.698e-05,3.276e-05,2.078e-05,2.395e-05
min,2.384e-07,4.768e-07,2.384e-07,0.000e+00,0.000e+00,8.941e-08,2.980e-08
0.1%,2.384e-07,4.768e-07,2.384e-07,0.000e+00,0.000e+00,8.941e-08,2.980e-08
25%,2.408e-05,4.447e-05,1.714e-05,2.003e-05,1.615e-05,1.024e-05,1.029e-05
50%,4.971e-05,8.416e-05,3.695e-05,4.095e-05,3.386e-05,2.062e-05,2.421e-05
75%,8.550e-05,1.354e-04,6.193e-05,7.081e-05,6.002e-05,3.642e-05,4.350e-05
99.9%,3.195e-04,3.355e-04,2.190e-04,1.962e-04,1.929e-04,1.127e-04,1.465e-04
max,3.195e-04,3.355e-04,2.190e-04,1.962e-04,1.929e-04,1.127e-04,1.465e-04
