tfp,gr_tfp,lab,gr_lab,sigma,theta1,Eland,Fex,beta_hat
5.1149154,0.0226765,7403.0,0.01483177,0.35032,0.07410616,2.6000006,0.5,0.9922006
5.196549,0.0225634,7511.3413,0.014231287,0.34503254,0.072623625,2.540883,0.5058823,0.9915489
5.2790685,0.022450864,7616.8174,0.013663093,0.33981997,0.071169734,2.4831097,0.5117647,0.9909299
5.3624773,0.022338891,7719.5044,0.013124842,0.33468065,0.06974379,2.42665,0.517647,0.99034125
5.4467783,0.022227475,7819.476,0.012614404,0.32961428,0.068345435,2.3714743,0.5235294,0.9897807
5.531974,0.022116615,7916.804,0.01212985,0.32461932,0.06697402,2.3175528,0.52941173,0.98924637
5.6180663,0.022006309,8011.558,0.011669419,0.31969544,0.065629184,2.2648573,0.5352941,0.9887365
5.7050605,0.02189655,8103.8066,0.011231508,0.3148417,0.06431042,2.21336,0.54117644,0.98824936
5.7929573,0.021787342,8193.616,0.01081465,0.31005654,0.06301711,2.1630337,0.5470588,0.98778355
5.881759,0.021678677,8281.05,0.010417501,0.3053391,0.061748803,2.1138518,0.55294114,0.9873377
5.9714704,0.021570554,8366.172,0.01003883,0.30068967,0.060505264,2.0657883,0.55882347,0.9869105
6.062092,0.02146297,8449.043,0.0096775,0.29610565,0.05928569,2.0188172,0.56470585,0.9865009
6.153626,0.021355923,8529.724,0.009332472,0.2915873,0.058089856,1.9729143,0.57058823,0.9861078
6.2460747,0.021249412,8608.27,0.009002783,0.28713372,0.05691732,1.9280552,0.57647055,0.9857303
6.3394423,0.021143429,8684.738,0.00868754,0.28274405,0.055767637,1.8842161,0.58235294,0.98536736
6.4337287,0.021037975,8759.186,0.008385921,0.27841645,0.05464019,1.8413734,0.58823526,0.98501825
6.5289373,0.020933047,8831.664,0.008097161,0.27415162,0.053534854,1.7995052,0.59411764,0.9846822
6.625068,0.020828644,8902.226,0.007820555,0.2699472,0.052450925,1.7585888,0.6,0.9843585
6.722125,0.02072476,8970.922,0.0075554443,0.2658039,0.051388297,1.7186029,0.60588235,0.98404646
6.8201094,0.020621395,9037.801,0.007301217,0.26171947,0.05034628,1.6795262,0.61176467,0.98374546
6.9190216,0.020518545,9102.911,0.007057301,0.25769404,0.04932468,1.641338,0.61764705,0.98345494
7.018865,0.02041621,9166.3,0.0068231635,0.25372684,0.04832311,1.604018,0.62352943,0.98317444
7.1196404,0.020314382,9228.013,0.0065983078,0.24981666,0.0473411,1.5675466,0.62941176,0.98290336
7.2213497,0.020213064,9288.093,0.0063822684,0.24596316,0.046378378,1.5319043,0.6352941,0.9826412
7.3239923,0.020112252,9346.585,0.00617461,0.24216472,0.04543441,1.4970726,0.64117646,0.98238766
