kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.50656,0.9880196,1.8127767,-1.3356143,-0.16338563,-0.06284121,-0.36241037
232.72815,0.9933418,1.803269,-1.3234743,-0.16104886,-0.065072075,-0.3621788
238.61966,0.9974245,1.7938052,-1.3119031,-0.15884306,-0.067099966,-0.362003
245.06221,1.0004306,1.7845489,-1.3008589,-0.1566516,-0.068902604,-0.36190775
251.96729,1.0026867,1.7754629,-1.2902797,-0.15476106,-0.07068074,-0.36187014
259.29132,1.0044692,1.7665828,-1.2802585,-0.1528053,-0.07224478,-0.36189738
267.0255,1.0058427,1.7578937,-1.270709,-0.150986,-0.07368153,-0.3621019
275.09494,1.006808,1.7496401,-1.2616032,-0.14915897,-0.074946165,-0.36233902
283.43652,1.0073981,1.7417341,-1.2528695,-0.14736615,-0.076257735,-0.36250514
292.0192,1.0076896,1.7340958,-1.2445155,-0.14580955,-0.077481344,-0.36293143
300.83408,1.0078743,1.7267742,-1.2365702,-0.14432798,-0.0786829,-0.3634165
309.86142,1.0079131,1.7198598,-1.2289238,-0.14291476,-0.079725586,-0.36384302
319.07318,1.0078709,1.713384,-1.2216917,-0.14156587,-0.080813974,-0.364458
328.4861,1.0078508,1.707133,-1.2147495,-0.14020447,-0.08195611,-0.36513293
338.0943,1.0077628,1.7011361,-1.2080425,-0.13889956,-0.083103806,-0.36580202
347.89618,1.007647,1.6954072,-1.2016395,-0.13764279,-0.08416762,-0.3665492
357.86755,1.0075722,1.6901083,-1.1954693,-0.13637906,-0.085227385,-0.36729875
368.03387,1.0074935,1.685055,-1.1895269,-0.13521607,-0.086346865,-0.3681606
378.3923,1.0073382,1.6801339,-1.1838075,-0.13397472,-0.08745541,-0.36917728
388.9251,1.007241,1.675455,-1.1782374,-0.13285749,-0.08858299,-0.37020218
399.64664,1.0071511,1.6709099,-1.1729177,-0.13179098,-0.08972647,-0.37119278
410.54205,1.0070279,1.666527,-1.16769,-0.13077436,-0.090916276,-0.37224704
421.60995,1.0068996,1.6624303,-1.1626796,-0.12990485,-0.09211184,-0.3733065
432.84073,1.0067525,1.6583614,-1.1577624,-0.12895457,-0.09331026,-0.37441868
444.25446,1.0066524,1.6543726,-1.1530205,-0.12806161,-0.09453152,-0.37549418
455.84454,1.0065668,1.6504961,-1.1484402,-0.12712245,-0.095742345,-0.37667233
467.5968,1.0064538,1.6466379,-1.1439728,-0.12626196,-0.0970002,-0.377836
479.5061,1.0063553,1.6428622,-1.139616,-0.12548517,-0.09824777,-0.37900108
491.57016,1.0062765,1.6391015,-1.1353222,-0.124702886,-0.099473834,-0.38020658
503.79584,1.0061717,1.6355199,-1.13127,-0.1238624,-0.100599766,-0.3814734
516.1692,1.006086,1.6319451,-1.1272808,-0.122981265,-0.1016559,-0.38277265
528.6805,1.0060015,1.6286657,-1.1233729,-0.12224612,-0.10268801,-0.38402858
541.33466,1.0059645,1.6255357,-1.1195749,-0.12154646,-0.1038176,-0.38538828
554.1386,1.0059003,1.6223817,-1.1159782,-0.120788634,-0.10504928,-0.3867789
567.093,1.0058563,1.6192784,-1.1124077,-0.12011914,-0.106182255,-0.3881384
580.23065,1.0059232,1.6162775,-1.1089162,-0.119469054,-0.10737426,-0.38944268
593.5574,1.0060064,1.6133708,-1.1055495,-0.11881544,-0.10851641,-0.39082676
607.06323,1.0060661,1.6105441,-1.1022338,-0.11817674,-0.109659836,-0.3922199
620.7382,1.0061228,1.607738,-1.0990394,-0.11757011,-0.110788405,-0.39357424
634.5734,1.0061915,1.6051133,-1.0959538,-0.11698966,-0.11190836,-0.39501673
648.5794,1.006315,1.6024218,-1.0929455,-0.11644427,-0.11309755,-0.39647728
662.76337,1.0064151,1.5998001,-1.0899854,-0.115858905,-0.11427456,-0.39789397
677.1341,1.0065292,1.5972123,-1.0870758,-0.11529037,-0.115464106,-0.39927292
691.6769,1.0066701,1.5946144,-1.0842342,-0.11478055,-0.1166023,-0.4005943
706.40625,1.0067928,1.5921439,-1.0814148,-0.11422297,-0.117683195,-0.40194005
721.30084,1.0069019,1.5897058,-1.0787367,-0.11369567,-0.11870756,-0.4033563
736.3529,1.0070367,1.5873713,-1.0761384,-0.113205135,-0.11984222,-0.40481287
751.57263,1.0071702,1.5850545,-1.0734802,-0.11269793,-0.1210208,-0.4062525
766.96027,1.0073303,1.5827417,-1.0708071,-0.11217076,-0.12218682,-0.4077103
782.5236,1.0074356,1.5804017,-1.0682145,-0.11159058,-0.123330705,-0.40913612
798.22327,1.0076017,1.5781842,-1.0656611,-0.11105484,-0.12444234,-0.41051584
814.059,1.0077839,1.5760365,-1.0633205,-0.11060354,-0.1254454,-0.4119442
830.0341,1.0079125,1.5739162,-1.0609881,-0.11024408,-0.12654153,-0.4134192
846.14734,1.0080335,1.5719502,-1.0586363,-0.10988437,-0.12760621,-0.4148371
862.409,1.0082992,1.5700897,-1.0564153,-0.10940248,-0.1286933,-0.41630545
878.87,1.0085397,1.5682752,-1.0542839,-0.108944915,-0.1297881,-0.41778958
895.54724,1.0088248,1.5665023,-1.052204,-0.108589284,-0.1308644,-0.41929448
912.44666,1.0091428,1.5646775,-1.0500573,-0.10824924,-0.13202396,-0.42079714
929.52924,1.0094047,1.5628797,-1.0480067,-0.10792242,-0.13311628,-0.42230105
946.78925,1.0096377,1.5610626,-1.0459733,-0.10760693,-0.13420957,-0.42381608
964.2187,1.0098861,1.5592736,-1.0439457,-0.10726205,-0.13534977,-0.42529535
981.7825,1.0101566,1.5574762,-1.0418996,-0.106851965,-0.1365141,-0.42671326
999.55505,1.0104326,1.5557966,-1.0399181,-0.10645994,-0.13768774,-0.4281557
1017.515,1.0107422,1.5540934,-1.0380025,-0.10616004,-0.13876873,-0.4295203
1035.6462,1.011035,1.5523673,-1.0360955,-0.105841905,-0.13983,-0.43086368
1053.9579,1.0113857,1.5506864,-1.0342109,-0.105422646,-0.14088956,-0.43224734
1072.4797,1.0117334,1.5490489,-1.0323948,-0.10504025,-0.14193383,-0.4336471
1091.2029,1.0120556,1.5474259,-1.0305488,-0.10468892,-0.14297318,-0.43506384
1110.1401,1.0124047,1.5458672,-1.028731,-0.10430468,-0.14406364,-0.4365128
1129.2296,1.0126687,1.544333,-1.0269034,-0.10396701,-0.14515887,-0.43796155
1148.446,1.0129933,1.5427599,-1.0251383,-0.103708714,-0.14628454,-0.43929854
1167.854,1.0133352,1.5411513,-1.0234281,-0.10347158,-0.14742999,-0.44062248
1187.4602,1.0136596,1.5396087,-1.0217073,-0.103246465,-0.14852904,-0.44199643
1207.2395,1.0139734,1.5381092,-1.0199412,-0.10301338,-0.14958858,-0.44337833
1227.2014,1.0143142,1.5365721,-1.0182372,-0.102682605,-0.15067327,-0.44468188
1247.362,1.014694,1.535028,-1.016573,-0.10230184,-0.15177275,-0.4459595
1267.7037,1.0150814,1.5334857,-1.014906,-0.10195038,-0.15282664,-0.44723
1288.2208,1.0154438,1.5319235,-1.0132545,-0.10161551,-0.15387693,-0.44851676
1308.9215,1.0157928,1.5303402,-1.0116217,-0.10131821,-0.15492381,-0.4498272
1329.8127,1.0161543,1.5287787,-1.0100144,-0.1010056,-0.15601392,-0.4511179
1350.8783,1.0165726,1.5272356,-1.0085161,-0.10072474,-0.15704726,-0.45235988
1372.1239,1.0169445,1.5256524,-1.0069675,-0.10047175,-0.15804681,-0.45355892
1393.5474,1.0173465,1.524053,-1.0053759,-0.10024533,-0.159044,-0.45476305
1415.1334,1.0177225,1.5224149,-1.0037353,-0.10004981,-0.16006818,-0.45595562
1436.9236,1.0180821,1.5207303,-1.0020907,-0.09985286,-0.16106981,-0.457141
1458.9475,1.0185165,1.5190878,-1.0005368,-0.0996342,-0.16201924,-0.45835787
1481.2001,1.0189786,1.5175147,-0.999055,-0.099426664,-0.16295859,-0.45956522
1503.5829,1.0193706,1.515998,-0.9976101,-0.09924502,-0.1638589,-0.46071813
1526.0671,1.0196791,1.5144536,-0.9961404,-0.09910949,-0.16477972,-0.461857
1548.6841,1.02004,1.5129663,-0.9946852,-0.09899037,-0.16565876,-0.4630416
1571.494,1.0204558,1.5115334,-0.9932973,-0.098812655,-0.1665211,-0.46423268
1594.491,1.0208187,1.5101373,-0.99196476,-0.09863709,-0.16737574,-0.46537986
1617.6667,1.0212018,1.5087577,-0.9906628,-0.09850566,-0.16824791,-0.46645993
1641.0614,1.0215963,1.5074378,-0.9894565,-0.09832992,-0.16914432,-0.46752647
1664.6417,1.0219347,1.5061498,-0.9882391,-0.09813043,-0.17002873,-0.4685716
1688.4441,1.022294,1.5049422,-0.9870942,-0.09792799,-0.17087033,-0.46964955
1712.4668,1.0227259,1.5037128,-0.98602974,-0.097698316,-0.17172012,-0.4707445
1736.7606,1.0231798,1.502467,-0.984997,-0.097488225,-0.17257807,-0.47183204
1761.3153,1.0235877,1.5012074,-0.9839278,-0.09732487,-0.17343321,-0.47293347
1786.0867,1.0239465,1.4999701,-0.9828698,-0.0971613,-0.17427826,-0.47402617
1811.0513,1.0242748,1.4987205,-0.9817781,-0.09701066,-0.17511484,-0.47511423
1836.1774,1.024632,1.4974599,-0.9806698,-0.09682588,-0.17595771,-0.4762244
1861.4653,1.0249673,1.4962136,-0.9795538,-0.09664192,-0.17675728,-0.47735286
1886.9119,1.0252964,1.4950031,-0.9784397,-0.09650986,-0.17747636,-0.4784652
1912.544,1.0256912,1.493829,-0.97741145,-0.096396826,-0.17825004,-0.4795817
1938.4794,1.0261381,1.4926608,-0.9764418,-0.096247226,-0.17908417,-0.48071784
1964.6298,1.0265304,1.4916182,-0.97550946,-0.09608357,-0.17985553,-0.4817574
1990.9553,1.0269055,1.4906024,-0.97458726,-0.09590268,-0.18063456,-0.48276675
2017.4497,1.0272536,1.4895761,-0.9736524,-0.095716126,-0.18140559,-0.48376465
2044.1095,1.0275915,1.4885451,-0.9727373,-0.095533624,-0.18218136,-0.48473173
2070.8708,1.0279114,1.4875978,-0.97185725,-0.09527629,-0.1828821,-0.48567063
2097.8047,1.0282931,1.4866779,-0.9710093,-0.095035054,-0.18352923,-0.48659015
2124.9692,1.0286914,1.4857854,-0.9702174,-0.09480117,-0.18422492,-0.48749736
2152.308,1.0290258,1.4849609,-0.96950525,-0.09461646,-0.18496606,-0.48835096
2179.803,1.0293928,1.4842308,-0.9687579,-0.09441218,-0.18571077,-0.4891979
2207.5542,1.0297778,1.4835331,-0.96801203,-0.094267145,-0.18652575,-0.49006447
2235.5002,1.0301168,1.4828427,-0.9673003,-0.094183035,-0.18725765,-0.4909485
2263.5823,1.0304482,1.4821457,-0.96658605,-0.09407577,-0.18797965,-0.4918134
2291.8337,1.0308306,1.4814818,-0.9659191,-0.09395419,-0.18871993,-0.492698
2320.2686,1.0312085,1.4808226,-0.9652687,-0.09383097,-0.18945602,-0.493581
2348.8777,1.0315561,1.4801569,-0.9646085,-0.09370378,-0.19018468,-0.4944542
2377.6477,1.0318891,1.4794958,-0.96394587,-0.09358512,-0.19090192,-0.49531412
2406.621,1.0323037,1.4789008,-0.9633619,-0.09354002,-0.19160627,-0.4961889
2435.8381,1.0327022,1.4782919,-0.96279186,-0.093481876,-0.19232021,-0.49708796
2465.2454,1.0331002,1.4777071,-0.96221346,-0.09335823,-0.19306862,-0.4979431
2494.873,1.0334929,1.4771861,-0.9616578,-0.09323689,-0.19376379,-0.49878368
2524.7175,1.0338584,1.4767061,-0.9611226,-0.09313085,-0.19441643,-0.49961302
2554.7424,1.0341692,1.476193,-0.96061313,-0.09301506,-0.19508195,-0.50044787
2584.9226,1.0345236,1.4756905,-0.96011347,-0.092892244,-0.19573145,-0.50128126
2615.3057,1.0349623,1.4752196,-0.9596835,-0.09277617,-0.19638407,-0.50212705
2645.9568,1.0353694,1.4747717,-0.95929617,-0.0926612,-0.19703053,-0.5029556
2676.8044,1.0357316,1.4743432,-0.9588951,-0.092575625,-0.19763592,-0.5037649
2707.7952,1.0360838,1.4739497,-0.95846033,-0.09246922,-0.1982653,-0.50456107
2738.9746,1.036452,1.4736637,-0.95802385,-0.09234892,-0.19895966,-0.5053809
2770.3452,1.0368154,1.4734001,-0.9576555,-0.09224863,-0.19962314,-0.5062075
2801.8633,1.037166,1.4731808,-0.95733887,-0.092175454,-0.20020336,-0.50694066
