kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.85521,0.9907662,1.1022662,-0.8090789,-0.09845621,-0.039032362,-0.24856858
233.3973,0.9955028,1.0948396,-0.8014204,-0.097022325,-0.0400448,-0.24818707
239.59138,0.9991389,1.0877787,-0.7942664,-0.09568173,-0.040801942,-0.24797228
246.32986,1.0017352,1.0810106,-0.78749263,-0.09441147,-0.041512594,-0.24778304
253.52756,1.0036292,1.0746875,-0.7810632,-0.09311856,-0.042014398,-0.24771737
261.13458,1.004967,1.0688274,-0.7749009,-0.09193781,-0.042589083,-0.24776554
269.08902,1.0058056,1.0634228,-0.76915216,-0.09083305,-0.043104574,-0.24784262
277.35083,1.0064158,1.0584524,-0.763703,-0.089713186,-0.04362402,-0.24795607
285.90384,1.0068519,1.0539134,-0.75853145,-0.08869704,-0.044193134,-0.24813202
294.732,1.0070391,1.0496538,-0.75362676,-0.08777857,-0.044814378,-0.24836159
303.80157,1.0070689,1.0457065,-0.7488414,-0.08686736,-0.045398496,-0.24871358
313.09412,1.0070153,1.0419571,-0.7441845,-0.08590364,-0.046016783,-0.24912521
322.60474,1.0068846,1.0384395,-0.7397166,-0.085020304,-0.04667926,-0.24963638
332.32578,1.0066669,1.0350803,-0.7354869,-0.08417981,-0.047413662,-0.2500956
342.24924,1.0064324,1.0317538,-0.73136884,-0.083402365,-0.048181623,-0.25059357
352.36746,1.0061591,1.0284631,-0.7273666,-0.08259824,-0.049008906,-0.2512126
362.68112,1.0058775,1.0251715,-0.72346455,-0.08177966,-0.049847893,-0.25191718
373.18536,1.0056117,1.0219891,-0.71967936,-0.0810831,-0.05061715,-0.25259572
383.86832,1.0053086,1.018899,-0.7160011,-0.080392584,-0.051342323,-0.25327873
394.72626,1.0049918,1.0159073,-0.7125,-0.0797207,-0.05204086,-0.25392216
405.75998,1.0046564,1.0129864,-0.70913583,-0.07902718,-0.052772,-0.25455397
416.97418,1.0043298,1.0101553,-0.705952,-0.07840826,-0.05349642,-0.2551648
428.3699,1.0040693,1.0072942,-0.7027555,-0.07784894,-0.054159015,-0.2557885
439.9426,1.0037704,1.0044898,-0.6996707,-0.07718027,-0.054855034,-0.25646144
451.697,1.0034685,1.0017843,-0.6967261,-0.0766253,-0.055530913,-0.2571579
463.6243,1.0032359,0.99918425,-0.69386846,-0.07611577,-0.05619642,-0.2580152
475.73947,1.0030024,0.9967308,-0.69115025,-0.07561432,-0.05677467,-0.2589613
488.02216,1.0027246,0.9943588,-0.68848723,-0.07515737,-0.05746872,-0.25987023
500.4811,1.0024449,0.99211687,-0.68582195,-0.07468498,-0.05810874,-0.26070064
513.1072,1.0022064,0.9899127,-0.68317634,-0.07416138,-0.058764383,-0.26156747
525.91284,1.002002,0.9877708,-0.68069506,-0.073707394,-0.05950579,-0.26241782
538.893,1.001788,0.9855809,-0.678227,-0.07329203,-0.060246907,-0.26317784
552.04974,1.0015864,0.98339725,-0.6758752,-0.07287821,-0.060946643,-0.26399302
565.3661,1.0013597,0.9812043,-0.67353535,-0.0724075,-0.06170684,-0.26489368
578.8333,1.0011346,0.9790262,-0.6712103,-0.07198772,-0.062371522,-0.26572925
592.46497,1.0009766,0.9768471,-0.668909,-0.07157016,-0.063041,-0.26656702
606.2561,1.000815,0.97470045,-0.6666703,-0.07116702,-0.06370481,-0.2674147
620.22925,1.0006795,0.9726224,-0.66462463,-0.07075481,-0.064239524,-0.2683642
634.3791,1.000608,0.9706813,-0.6627056,-0.07040352,-0.06484875,-0.26935837
648.7144,1.0005016,0.96883386,-0.66077834,-0.070034966,-0.06545505,-0.27029404
663.23535,1.0004117,0.96703815,-0.6588756,-0.06967942,-0.066044495,-0.2712129
677.96655,1.0003644,0.9653123,-0.65699875,-0.069334894,-0.06661867,-0.27215552
692.9011,1.0003425,0.96371055,-0.65513813,-0.06894566,-0.06722805,-0.27311024
708.0262,1.0003257,0.96216613,-0.6534019,-0.06858626,-0.06779662,-0.2740837
723.33405,1.0002548,0.9606844,-0.6516851,-0.06825517,-0.06839052,-0.2750603
738.8224,1.000191,0.95926696,-0.6499579,-0.06795082,-0.06909555,-0.27595913
754.51404,1.0001749,0.9578203,-0.64821035,-0.06759082,-0.069799915,-0.27686408
770.4049,1.0001957,0.9563584,-0.646455,-0.06731799,-0.07048477,-0.27784032
786.48413,1.0001421,0.9548852,-0.644849,-0.06699667,-0.07125566,-0.27888796
802.7733,1.0001713,0.9534078,-0.64321357,-0.0667246,-0.07193533,-0.27989626
819.26843,1.0001742,0.9518958,-0.64158225,-0.066431604,-0.072652385,-0.28086346
835.9634,1.0001466,0.95039654,-0.63997394,-0.066150464,-0.07331797,-0.2818894
852.8191,1.0001162,0.94890636,-0.63840836,-0.06588206,-0.073997244,-0.28285187
869.88763,1.0001266,0.94746405,-0.6368515,-0.0656472,-0.074665725,-0.28380823
887.1572,1.0001105,0.94615865,-0.6352821,-0.065427914,-0.07530191,-0.28473386
904.5951,1.000069,0.94489443,-0.63379437,-0.065206245,-0.075882666,-0.28570622
922.1797,1.0000422,0.9435823,-0.6323186,-0.064955674,-0.07650176,-0.28665477
939.9606,1.0000894,0.94227916,-0.63091546,-0.06474614,-0.077183835,-0.28759706
957.9641,1.0001496,0.9409756,-0.62954926,-0.06451995,-0.077876724,-0.28854334
976.20435,1.0002046,0.9396922,-0.6281841,-0.06426516,-0.07850434,-0.28947008
994.6462,1.0002708,0.9384321,-0.62683463,-0.06403897,-0.07910331,-0.2903775
1013.2883,1.0003198,0.9371771,-0.6254818,-0.06382041,-0.07968995,-0.2912727
1032.1205,1.0003753,0.9359399,-0.6241885,-0.063617356,-0.08036521,-0.29222116
1051.156,1.0004299,0.93469167,-0.62290204,-0.063399665,-0.08106842,-0.29316837
1070.3887,1.0005041,0.9334435,-0.6216603,-0.06317258,-0.081741035,-0.29410857
1089.8121,1.0005513,0.93218935,-0.62040824,-0.062977776,-0.0823704,-0.29508334
1109.4113,1.0005766,0.9309468,-0.6191403,-0.062748015,-0.08300902,-0.29603338
1129.2466,1.0006862,0.92971116,-0.6179203,-0.062494818,-0.08359431,-0.2969777
1149.2985,1.0007985,0.9285018,-0.61667794,-0.062269326,-0.084220245,-0.2978835
1169.552,1.0008733,0.9273147,-0.6154915,-0.06205372,-0.08486931,-0.29879823
