foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.038e-05,8.106e-06,9.511e-06,1.884e-05,9.656e-06,1.505e-06,3.576e-06
2.825e-05,5.841e-05,5.089e-05,6.270e-05,1.788e-05,1.758e-06,1.889e-05
7.629e-06,8.321e-05,4.660e-06,1.049e-05,1.740e-05,1.398e-05,3.162e-05
9.775e-06,5.603e-05,7.451e-05,6.521e-05,6.914e-06,3.350e-05,4.581e-05
3.624e-05,8.273e-05,1.697e-05,6.974e-05,7.272e-05,1.965e-05,2.465e-05
2.611e-05,9.537e-05,7.346e-06,3.839e-05,3.564e-05,3.026e-05,9.835e-06
5.007e-06,8.011e-05,4.087e-05,1.156e-05,3.481e-05,5.335e-06,4.318e-05
5.031e-05,7.701e-05,2.458e-05,1.669e-06,5.484e-05,1.058e-05,1.997e-05
1.693e-05,6.676e-06,8.777e-05,5.126e-05,7.153e-07,1.878e-05,5.454e-06
5.388e-05,5.126e-05,3.987e-05,5.233e-05,2.611e-05,3.374e-05,4.470e-07
4.160e-05,7.200e-05,5.905e-06,2.360e-05,7.868e-06,7.123e-06,3.248e-05
2.849e-05,6.723e-05,1.037e-05,2.432e-05,7.629e-06,3.487e-06,2.250e-05
3.386e-05,4.911e-05,3.321e-05,2.849e-05,5.245e-06,6.798e-05,1.177e-05
1.931e-05,1.788e-05,2.586e-05,5.114e-05,1.550e-06,2.131e-06,1.380e-05
3.660e-05,2.193e-05,2.263e-05,3.815e-05,5.198e-05,3.907e-05,4.125e-05
3.576e-05,2.456e-05,3.091e-05,8.702e-06,5.007e-06,4.530e-06,1.508e-05
3.219e-06,4.768e-05,1.385e-05,5.794e-05,3.314e-05,2.187e-05,2.384e-05
1.407e-05,7.129e-05,1.514e-05,4.232e-05,4.184e-05,1.431e-06,1.273e-05
1.323e-05,5.913e-05,8.214e-06,6.485e-05,8.345e-07,9.581e-06,1.690e-05
2.265e-05,7.153e-07,1.274e-05,3.552e-05,6.795e-06,1.895e-05,1.353e-05
1.395e-05,3.147e-05,3.567e-05,1.383e-05,4.172e-06,2.265e-05,2.950e-06
4.232e-05,8.059e-05,2.670e-05,3.362e-05,1.121e-05,8.136e-06,1.723e-05
3.195e-05,7.153e-06,4.343e-05,8.702e-05,4.923e-05,3.040e-06,3.481e-05
9.894e-06,2.599e-05,9.805e-06,1.055e-04,7.284e-05,1.937e-06,8.553e-06
1.514e-05,2.623e-06,1.657e-05,1.091e-04,5.329e-05,1.869e-05,4.271e-05
8.106e-06,8.321e-05,1.381e-05,5.841e-05,3.064e-05,1.281e-06,1.672e-05
2.253e-05,1.214e-04,2.968e-05,6.819e-05,6.318e-06,1.737e-05,7.278e-05
1.550e-05,7.439e-05,6.463e-05,7.439e-05,1.049e-04,5.609e-05,7.811e-05
9.418e-06,2.694e-05,1.190e-05,1.764e-05,1.514e-05,3.117e-05,8.744e-05
5.543e-05,8.106e-05,3.427e-05,1.764e-05,2.229e-05,3.704e-05,8.553e-06
1.800e-05,7.010e-05,7.866e-05,1.156e-05,1.907e-06,2.146e-06,8.136e-06
6.199e-06,3.529e-05,3.378e-05,4.804e-05,1.109e-05,2.423e-05,8.523e-06
3.004e-05,5.198e-05,6.252e-05,1.740e-05,6.557e-06,1.463e-05,6.247e-05
1.383e-05,1.614e-04,4.000e-05,8.559e-05,2.730e-05,5.364e-06,1.413e-05
2.277e-05,1.075e-04,3.320e-05,6.509e-05,4.792e-05,5.484e-06,2.718e-05
1.526e-05,7.105e-05,1.350e-05,3.350e-05,1.490e-05,8.941e-08,2.870e-05
2.587e-05,7.439e-05,4.888e-06,9.024e-05,1.919e-05,2.080e-05,2.125e-05
2.420e-05,6.580e-05,3.219e-05,2.253e-05,3.099e-05,1.356e-05,4.768e-07
2.575e-05,5.794e-05,4.598e-05,6.795e-06,1.109e-05,1.556e-05,6.527e-06
3.064e-05,9.084e-05,3.845e-05,2.611e-05,3.099e-05,8.881e-06,5.007e-06
4.101e-05,1.063e-04,2.708e-05,4.745e-05,4.733e-05,2.682e-06,4.172e-07
1.323e-05,8.464e-05,5.876e-05,7.474e-05,4.423e-05,1.842e-05,2.670e-05
9.418e-06,5.341e-05,2.488e-05,4.864e-05,2.980e-05,5.716e-05,7.600e-06
2.050e-05,6.866e-05,2.320e-05,8.976e-05,3.076e-05,1.988e-05,5.364e-07
3.576e-07,1.109e-04,3.321e-05,6.890e-05,3.445e-05,2.277e-05,2.122e-05
2.861e-05,1.190e-04,3.489e-05,4.888e-05,5.603e-05,5.603e-06,2.274e-05
2.539e-05,7.892e-05,9.730e-06,1.669e-06,8.345e-06,2.027e-06,7.394e-05
2.229e-05,1.216e-04,4.582e-05,6.104e-05,4.399e-05,8.488e-05,4.220e-05
3.564e-05,9.632e-05,9.492e-06,1.185e-04,1.407e-05,2.459e-05,7.653e-05
2.968e-05,6.533e-05,3.593e-05,2.587e-05,1.252e-05,3.392e-05,1.419e-05
4.208e-05,1.085e-04,3.196e-06,2.885e-05,3.994e-05,1.848e-05,1.043e-06
3.123e-05,1.216e-04,1.491e-05,3.064e-05,2.325e-05,7.570e-06,1.699e-06
1.645e-05,1.178e-04,1.529e-05,2.909e-05,4.172e-06,3.213e-05,3.010e-06
3.731e-05,1.121e-04,5.158e-05,5.853e-05,7.272e-06,1.922e-05,4.318e-05
1.562e-05,1.178e-04,6.399e-05,5.066e-05,3.397e-05,5.776e-05,8.276e-05
3.254e-05,1.075e-04,6.193e-05,4.601e-05,1.931e-05,3.561e-05,2.122e-05
4.184e-05,9.704e-05,3.808e-05,6.628e-05,5.102e-05,2.593e-06,2.471e-05
2.861e-05,1.240e-04,3.764e-05,8.833e-05,3.529e-05,1.290e-05,5.960e-08
4.029e-05,1.078e-04,8.903e-06,6.926e-05,4.804e-05,1.022e-05,3.421e-05
4.518e-05,1.059e-04,3.746e-05,8.154e-05,6.628e-05,1.475e-05,5.960e-07
7.343e-05,1.235e-04,3.453e-05,8.512e-05,7.331e-05,2.804e-05,2.259e-05
7.033e-05,1.273e-04,4.046e-06,5.817e-05,4.220e-05,7.868e-06,1.949e-05
8.035e-05,1.190e-04,3.055e-06,3.362e-05,5.603e-06,6.646e-06,9.537e-07
7.808e-05,8.798e-05,1.024e-05,3.791e-05,3.338e-06,1.457e-05,1.371e-06
5.996e-05,7.081e-05,3.346e-05,1.144e-05,1.419e-05,2.119e-05,1.729e-06
4.077e-05,7.248e-05,2.232e-05,4.780e-05,3.707e-05,5.543e-06,3.374e-05
2.706e-05,7.319e-05,5.201e-06,2.730e-05,5.960e-07,9.835e-07,5.549e-05
1.717e-05,1.140e-04,4.452e-05,2.146e-05,2.933e-05,6.795e-06,1.258e-05
1.776e-05,1.171e-04,4.066e-05,6.545e-05,2.992e-05,7.510e-06,1.049e-05
2.468e-05,1.168e-04,6.705e-05,7.641e-05,7.546e-05,1.028e-05,2.605e-05
2.241e-05,8.774e-05,3.652e-05,3.457e-05,5.376e-05,1.311e-05,2.283e-05
2.539e-05,7.296e-05,2.101e-06,4.601e-05,3.111e-05,2.101e-05,1.878e-05
2.801e-05,8.082e-05,2.931e-05,4.983e-05,2.384e-07,1.195e-05,1.580e-05
1.979e-05,9.608e-05,2.333e-05,5.209e-05,4.530e-06,1.308e-05,1.401e-05
1.049e-05,9.966e-05,1.619e-05,5.543e-05,7.391e-06,1.419e-05,1.198e-05
2.933e-05,9.227e-05,1.533e-05,5.841e-05,1.025e-05,1.815e-05,4.590e-06
5.960e-06,8.988e-05,2.985e-05,2.205e-05,9.418e-06,5.215e-06,1.073e-06
3.135e-05,1.040e-04,3.908e-05,2.682e-05,4.292e-05,1.526e-05,3.594e-05
2.217e-05,1.113e-04,4.613e-05,8.059e-05,6.080e-06,3.064e-05,5.561e-05
2.348e-05,9.465e-05,4.783e-05,5.114e-05,7.629e-06,1.445e-05,8.130e-05
