,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,4.106e-05,1.077e-04,6.162e-05,7.068e-05,3.825e-05,2.501e-05,2.839e-05
std,4.258e-05,4.098e-05,7.308e-05,4.078e-05,3.527e-05,3.099e-05,2.728e-05
min,1.192e-07,2.384e-07,1.788e-07,1.431e-06,2.384e-07,5.960e-08,5.960e-08
0.1%,1.192e-07,2.384e-07,1.788e-07,1.431e-06,2.384e-07,5.960e-08,5.960e-08
25%,1.466e-05,8.321e-05,2.186e-05,4.184e-05,1.431e-05,8.464e-06,1.125e-05
50%,3.207e-05,1.098e-04,4.613e-05,6.640e-05,3.147e-05,1.889e-05,2.158e-05
75%,5.651e-05,1.333e-04,7.901e-05,9.185e-05,5.105e-05,3.174e-05,3.693e-05
99.9%,3.119e-04,2.801e-04,5.700e-04,1.864e-04,2.851e-04,2.818e-04,1.951e-04
max,3.119e-04,2.801e-04,5.700e-04,1.864e-04,2.851e-04,2.818e-04,1.951e-04
