kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.4616,857.90106,630.85046,1324.0083,1.155917,0.27571872,0.014888048
234.27419,864.7804,633.8622,1325.0369,1.204995,0.28178328,0.029554427
240.42838,871.65137,637.02216,1326.0869,1.2488858,0.28814423,0.044002473
246.91287,878.52515,640.31866,1327.1597,1.2888424,0.29476374,0.058235407
253.71017,885.4115,643.7417,1328.2559,1.3258162,0.30161297,0.072256446
260.80707,892.3185,647.28253,1329.377,1.3605303,0.30866972,0.08606875
268.19534,899.2529,650.93353,1330.5233,1.3935342,0.31591704,0.09967542
275.8651,906.22064,654.6878,1331.6962,1.425247,0.32334182,0.11307949
283.81586,913.2262,658.5397,1332.8961,1.4559878,0.33093396,0.126284
292.02695,920.2737,662.48376,1334.124,1.4859998,0.33868557,0.13929194
300.4896,927.36615,666.5155,1335.3804,1.5154687,0.34659055,0.15210623
309.19983,934.50586,670.6309,1336.6658,1.5445365,0.35464412,0.16472971
318.15323,941.69476,674.8263,1337.9808,1.5733109,0.36284247,0.17716527
327.3493,948.9341,679.09845,1339.3263,1.6018741,0.3711826,0.1894157
336.78397,956.2249,683.44415,1340.7025,1.6302888,0.37966204,0.20148373
346.43936,963.5678,687.861,1342.1101,1.6586024,0.38827887,0.21337211
356.31396,970.96277,692.34656,1343.5496,1.6868504,0.3970314,0.22508347
366.40558,978.4098,696.89844,1345.0212,1.7150598,0.40591824,0.23662049
376.71643,985.9084,701.51465,1346.5255,1.7432499,0.41493824,0.24798572
387.24847,993.4581,706.19324,1348.0631,1.771435,0.4240903,0.25918174
397.98682,1001.05835,710.93225,1349.6343,1.7996255,0.4333735,0.2702111
408.92883,1008.708,715.73016,1351.2394,1.8278279,0.44278696,0.28107625
420.0861,1016.40607,720.5852,1352.8787,1.8560467,0.4523299,0.29177964
431.4522,1024.1516,725.4958,1354.5527,1.8842837,0.4620015,0.3023237
443.0193,1031.9431,730.46045,1356.2617,1.91254,0.47180104,0.31271076
454.77753,1039.7794,735.4777,1358.0061,1.940815,0.48172772,0.32294315
466.73224,1047.6589,740.5462,1359.7861,1.9691074,0.49178082,0.33302325
478.89728,1055.5801,745.6644,1361.6023,1.9974148,0.50195956,0.34295326
491.2722,1063.5416,750.831,1363.4547,2.0257347,0.51226324,0.35273546
503.83914,1071.542,756.04456,1365.3436,2.0540638,0.5226911,0.36237198
516.6128,1079.5795,761.30396,1367.2694,2.082399,0.5332423,0.37186503
529.59454,1087.6526,766.6077,1369.2322,2.110736,0.543916,0.38121676
542.7746,1095.7596,771.9545,1371.2324,2.1390715,0.5547114,0.39042926
556.13684,1103.899,777.34314,1373.2701,2.1674018,0.56562763,0.3995046
569.7086,1112.0688,782.7723,1375.3458,2.1957226,0.57666385,0.40844482
583.48584,1120.2676,788.24066,1377.4594,2.22403,0.5878192,0.41725194
597.46234,1128.4938,793.747,1379.6112,2.25232,0.5990927,0.42592794
611.6399,1136.7455,799.29,1381.8015,2.2805886,0.61048347,0.43447477
626.0187,1145.021,804.86847,1384.0304,2.308832,0.6219905,0.44289434
640.59033,1153.3187,810.4811,1386.298,2.3370461,0.6336128,0.45118856
655.35803,1161.637,816.12665,1388.6045,2.3652272,0.6453495,0.4593593
670.329,1169.9739,821.80396,1390.9502,2.3933718,0.65719944,0.46740842
685.5096,1178.3278,827.5116,1393.335,2.421476,0.6691617,0.47533768
700.89233,1186.6973,833.2485,1395.7593,2.4495358,0.68123513,0.48314893
716.4722,1195.0804,839.01337,1398.2228,2.4775484,0.69341874,0.49084383
732.2553,1203.4757,844.8049,1400.726,2.5055099,0.70571136,0.49842417
