kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
228.05063,859.3678,462.25787,1740.1342,0.8777341,0.011016,1.0,0.0,0.014888048
233.51677,867.78467,464.62488,1740.2715,0.90592736,0.01534959,1.0,0.0,0.029554427
239.3821,876.2561,467.0979,1740.412,0.93456423,0.01980248,1.0,0.0,0.044002473
245.62874,884.78687,469.67386,1740.556,0.9636301,0.024376288,1.0,0.0,0.058235407
252.23497,893.3812,472.35007,1740.7036,0.99311125,0.029072557,1.0,0.0,0.072256446
259.19537,902.0427,475.12387,1740.8547,1.0229951,0.03389275,1.0,0.0,0.08606875
266.48022,910.7748,477.99298,1741.0099,1.0532695,0.038838264,1.0,0.0,0.09967542
274.08655,919.5798,480.9552,1741.169,1.0839232,0.043910418,1.0,0.0,0.11307949
282.00296,928.4599,484.00854,1741.332,1.1149453,0.04911048,1.0,0.0,0.126284
290.20474,937.4171,487.1511,1741.4994,1.1463253,0.054439653,1.0,0.0,0.13929194
298.69424,946.45264,490.38107,1741.6711,1.1780534,0.05989908,1.0,0.0,0.15210623
307.45853,955.56757,493.6968,1741.8473,1.21012,0.06548985,1.0,0.0,0.16472971
316.49075,964.7627,497.09674,1742.0281,1.2425157,0.07121301,1.0,0.0,0.17716527
325.79474,974.03845,500.57935,1742.2136,1.2752316,0.07706952,1.0,0.0,0.1894157
335.3485,983.39514,504.1433,1742.4039,1.3082588,0.08306033,1.0,0.0,0.20148373
345.1503,992.8327,507.78717,1742.5992,1.3415885,0.089186326,1.0,0.0,0.21337211
355.20847,1002.3511,511.50958,1742.7996,1.3752124,0.09544834,1.0,0.0,0.22508347
365.50763,1011.94965,515.3094,1743.0049,1.4091222,0.10184716,1.0,0.0,0.23662049
376.04364,1021.62805,519.18536,1743.2157,1.4433095,0.10838354,1.0,0.0,0.24798572
386.81076,1031.3855,523.1363,1743.4316,1.4777663,0.11505817,1.0,0.0,0.25918174
397.81683,1041.2214,527.16113,1743.6533,1.5124844,0.12187171,1.0,0.0,0.2702111
409.05228,1051.1344,531.25867,1743.8804,1.5474559,0.12882477,1.0,0.0,0.28107625
420.51038,1061.1238,535.4278,1744.1132,1.5826728,0.13591793,1.0,0.0,0.29177964
432.2033,1071.1881,539.6675,1744.3517,1.6181275,0.14315172,1.0,0.0,0.3023237
444.12262,1081.3263,543.9766,1744.5961,1.6538119,0.15052658,1.0,0.0,0.31271076
456.26022,1091.537,548.3542,1744.8464,1.6897182,0.15804301,1.0,0.0,0.32294315
468.6136,1101.819,552.7992,1745.1029,1.7258389,0.16570139,1.0,0.0,0.33302325
481.1885,1112.1703,557.3106,1745.3655,1.7621663,0.17350207,1.0,0.0,0.34295326
493.98428,1122.59,561.88727,1745.6343,1.7986923,0.18144539,1.0,0.0,0.35273546
507.00613,1133.0758,566.5283,1745.9094,1.8354096,0.18953162,1.0,0.0,0.36237198
520.2444,1143.6268,571.23267,1746.191,1.8723108,0.19776101,1.0,0.0,0.37186503
533.68805,1154.2411,575.9993,1746.4791,1.9093881,0.20613375,1.0,0.0,0.38121676
