kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.90735,0.99031556,1.1907728,-0.7656701,-0.009134297,-0.24686033,-0.027771736
233.4968,0.9949399,1.1797144,-0.75643986,-0.0090030255,-0.24959686,-0.027727967
239.68999,0.9980788,1.1695201,-0.74764866,-0.008858648,-0.2522753,-0.027681952
246.38828,1.0004263,1.1597989,-0.7393593,-0.008694512,-0.25504723,-0.027617546
253.51369,1.0020266,1.1506582,-0.731583,-0.0086418735,-0.2578879,-0.027557245
261.00665,1.0031548,1.1419103,-0.7240995,-0.008514916,-0.26086962,-0.027564885
268.81274,1.0037677,1.1335466,-0.71694887,-0.008338568,-0.26386473,-0.027552495
276.90665,1.0042341,1.12569,-0.71012175,-0.008191121,-0.2669346,-0.027555298
285.26898,1.0045276,1.1182977,-0.70368814,-0.008033809,-0.27006733,-0.027548416
293.8638,1.0045859,1.1111329,-0.6973983,-0.007924293,-0.2731931,-0.027553234
302.68738,1.0045652,1.1043143,-0.6914431,-0.007849571,-0.27643695,-0.027539812
311.74533,1.0045197,1.097898,-0.6857829,-0.0077741416,-0.27975932,-0.027567694
320.9983,1.004324,1.0917082,-0.6802465,-0.007746537,-0.28307232,-0.027576553
330.42258,1.0040241,1.0857484,-0.67500573,-0.0077067288,-0.28641257,-0.027570896
340.0136,1.0036951,1.0800741,-0.6700378,-0.0075825127,-0.28980795,-0.027601598
349.7756,1.003343,1.0744482,-0.6649938,-0.007507791,-0.29325274,-0.02761556
359.6967,1.0030379,1.0691816,-0.66031265,-0.0074693533,-0.29676422,-0.027673041
369.77493,1.0027226,1.0640593,-0.6557369,-0.0074368464,-0.3002942,-0.027770633
380.02563,1.0024433,1.059192,-0.6513534,-0.0073806765,-0.3037863,-0.027827986
390.4387,1.002147,1.0545602,-0.64711535,-0.007283655,-0.30734769,-0.027891792
400.99176,1.0017939,1.0500411,-0.643024,-0.007199821,-0.3109416,-0.027968012
411.6825,1.0014713,1.0456994,-0.6390681,-0.007147667,-0.3145272,-0.02803793
422.52762,1.001172,1.041441,-0.63530827,-0.0070334496,-0.3181359,-0.028080568
433.53314,1.0009654,1.0372946,-0.6316277,-0.006939237,-0.32183328,-0.028183041
444.7024,1.0007417,1.0333586,-0.62813103,-0.006829691,-0.32548097,-0.028292743
456.0215,1.0004874,1.0295473,-0.62469673,-0.00678574,-0.32915083,-0.02834669
467.48102,1.0002595,1.0258695,-0.6213075,-0.0067442628,-0.33286723,-0.028374357
479.09058,1.0000453,1.0223026,-0.61799765,-0.006716107,-0.33658376,-0.02844121
490.86557,0.999873,1.0188351,-0.61481583,-0.0066412883,-0.34039158,-0.02853751
502.77548,0.99968493,1.0154186,-0.61172634,-0.0066098766,-0.34418055,-0.028667755
514.83704,0.9995023,1.0120372,-0.6087658,-0.0065444456,-0.34797063,-0.02880793
527.0452,0.99931395,1.0087409,-0.6058859,-0.0065058516,-0.35176095,-0.028883493
539.4086,0.99916166,1.0055984,-0.6029978,-0.0064713256,-0.35545856,-0.028982582
551.92334,0.9990524,1.002579,-0.6002119,-0.0064394297,-0.3593179,-0.029136823
564.5846,0.9989659,0.99955475,-0.5974227,-0.006431234,-0.36319342,-0.029267712
577.4011,0.9988611,0.99668396,-0.5947448,-0.0064040693,-0.36702493,-0.02937784
590.3969,0.998805,0.99387443,-0.5921849,-0.00635345,-0.37086955,-0.029384471
603.55035,0.9987773,0.9911166,-0.5896094,-0.006273401,-0.3747611,-0.029446533
616.8422,0.9987564,0.9883817,-0.5869824,-0.0062417137,-0.37867844,-0.029544663
630.27594,0.9986797,0.9857167,-0.584557,-0.0062847035,-0.3825354,-0.029665653
643.8644,0.9986352,0.9831019,-0.58218956,-0.006253776,-0.38641682,-0.029776929
657.60345,0.99857134,0.9805139,-0.57985574,-0.0062539177,-0.39026168,-0.029831344
671.4893,0.9985698,0.97799116,-0.5776095,-0.006228258,-0.39411405,-0.029933264
685.5206,0.9985844,0.9755254,-0.57550305,-0.0061647566,-0.39798328,-0.030098906
699.6986,0.9985938,0.9730763,-0.5733822,-0.006124352,-0.40188003,-0.030303128
714.0384,0.99864495,0.97071826,-0.57131845,-0.006078218,-0.40580645,-0.03044053
728.522,0.9986936,0.9684509,-0.569187,-0.006038596,-0.40964815,-0.030483043
743.16705,0.9987494,0.9661873,-0.5670928,-0.0059361802,-0.4134949,-0.030598141
757.9802,0.99883807,0.9639623,-0.56501216,-0.005851266,-0.4173945,-0.030639244
772.9482,0.9989245,0.96178997,-0.5630495,-0.00581297,-0.42127874,-0.030760312
788.0731,0.99900603,0.95956266,-0.56115866,-0.005798039,-0.42515644,-0.030876763
803.378,0.9991482,0.95731527,-0.55924606,-0.005729993,-0.4290593,-0.031018252
818.8424,0.99922055,0.9551347,-0.5573538,-0.0056841196,-0.43284586,-0.031116417
834.4179,0.9992768,0.95302707,-0.5555517,-0.005642106,-0.43661964,-0.031168425
850.1463,0.999449,0.9509933,-0.5537831,-0.0056307213,-0.44033912,-0.031226585
866.04987,0.999594,0.94906175,-0.5519968,-0.0056440206,-0.44420806,-0.031379297
882.0953,0.9996966,0.9470941,-0.55024886,-0.005680834,-0.44809407,-0.031522125
898.3034,0.9998519,0.94519067,-0.54857,-0.0056569176,-0.45193952,-0.031688876
914.6831,1.000039,0.94330555,-0.54689264,-0.005606194,-0.45570913,-0.031766936
931.2056,1.000228,0.94140816,-0.54520273,-0.005624798,-0.45958912,-0.031825587
947.9109,1.0004495,0.9395111,-0.5435212,-0.005584297,-0.46351123,-0.031983204
964.7597,1.0005863,0.9376885,-0.54187155,-0.0054747434,-0.46731207,-0.032115452
981.74585,1.0007467,0.9358627,-0.54030627,-0.0054147216,-0.47107175,-0.032195628
998.8914,1.0009668,0.9340114,-0.53875244,-0.0054092305,-0.47483423,-0.0323283
1016.21625,1.001194,0.9321116,-0.5372076,-0.0054337652,-0.47861302,-0.03240733
1033.7468,1.0014443,0.9302126,-0.535641,-0.005503443,-0.48234382,-0.03250082
1051.4282,1.0016428,0.92837316,-0.5340985,-0.00551523,-0.48602548,-0.032592
1069.2437,1.0018582,0.92658854,-0.5326154,-0.005486061,-0.4898187,-0.03272541
1087.2056,1.002061,0.9247979,-0.53108275,-0.00545301,-0.49359223,-0.032886088
