foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
4.256e-04,1.038e-03,7.659e-05,1.572e-04,7.927e-05,1.134e-05,2.689e-05
4.768e-06,1.140e-03,5.637e-05,8.142e-05,1.052e-04,8.974e-06,1.179e-05
5.949e-05,1.077e-03,3.371e-05,1.454e-05,3.886e-05,3.508e-05,1.811e-05
3.350e-05,1.213e-03,3.225e-05,4.232e-05,6.855e-05,6.954e-05,2.451e-05
6.676e-06,1.219e-03,4.315e-05,3.827e-05,1.436e-05,1.054e-05,3.302e-05
1.165e-04,1.299e-03,4.917e-06,9.429e-05,3.159e-05,6.457e-05,3.621e-06
5.102e-05,1.202e-03,1.201e-05,3.815e-06,3.022e-05,4.027e-05,9.984e-06
1.175e-04,1.263e-03,2.012e-05,8.929e-05,6.193e-05,5.413e-05,7.657e-06
5.865e-05,1.316e-03,3.690e-05,3.994e-05,7.296e-05,1.056e-05,3.491e-06
1.173e-04,1.360e-03,3.153e-05,1.657e-05,1.431e-06,1.995e-05,2.816e-05
1.928e-04,1.348e-03,6.235e-05,8.643e-05,4.882e-05,1.524e-05,6.583e-06
1.019e-04,1.288e-03,9.477e-06,2.825e-05,5.347e-05,5.862e-05,1.826e-05
3.707e-05,1.331e-03,4.500e-06,5.484e-06,2.527e-05,4.239e-05,3.769e-05
3.707e-05,1.379e-03,1.100e-05,3.517e-05,9.161e-05,4.467e-05,6.523e-06
3.362e-05,1.397e-03,2.232e-05,1.423e-04,1.709e-04,1.806e-06,2.762e-05
9.239e-05,1.313e-03,5.227e-05,7.629e-06,1.210e-05,3.473e-05,1.114e-05
8.667e-05,1.399e-03,3.663e-05,4.447e-05,5.049e-05,3.716e-05,4.603e-05
1.240e-04,1.454e-03,3.076e-05,1.776e-05,1.615e-05,1.079e-05,1.593e-06
9.894e-05,1.438e-03,9.120e-06,7.379e-05,1.705e-05,3.205e-05,4.156e-06
2.778e-05,1.445e-03,1.317e-05,2.050e-05,1.079e-05,2.084e-05,1.273e-05
4.852e-05,1.473e-03,2.047e-05,3.779e-05,7.212e-06,8.506e-06,2.930e-06
6.318e-05,1.536e-03,2.137e-05,2.575e-05,5.752e-05,5.468e-05,2.697e-05
1.483e-04,1.494e-03,4.330e-05,4.506e-05,1.341e-05,3.599e-05,2.936e-05
1.172e-04,1.569e-03,2.620e-05,3.302e-05,7.921e-05,5.220e-05,3.302e-05
6.890e-05,1.564e-03,2.313e-05,3.231e-05,3.195e-05,1.145e-05,2.483e-05
7.904e-05,1.561e-03,4.381e-06,4.756e-05,2.307e-05,1.202e-05,5.230e-05
7.844e-05,1.638e-03,1.240e-05,4.482e-05,3.731e-05,2.330e-05,1.497e-05
1.070e-04,1.648e-03,6.050e-05,4.423e-05,9.537e-07,2.445e-05,1.217e-05
7.319e-05,1.626e-03,2.578e-05,0.000e+00,2.444e-06,1.717e-05,4.319e-05
6.497e-05,1.722e-03,1.261e-05,5.293e-05,4.160e-05,1.790e-05,5.003e-05
4.506e-05,1.701e-03,2.086e-07,5.150e-05,3.654e-05,7.538e-06,1.589e-05
6.938e-05,1.668e-03,9.999e-05,8.464e-06,4.631e-05,1.009e-05,5.700e-06
1.000e-04,1.633e-03,4.974e-05,5.424e-05,1.514e-05,1.123e-05,5.795e-05
1.105e-04,1.679e-03,5.472e-05,2.122e-05,8.494e-05,3.304e-05,3.244e-05
8.011e-05,1.768e-03,2.116e-06,5.805e-05,3.654e-05,1.270e-05,1.003e-05
1.177e-04,1.750e-03,7.421e-06,5.043e-05,1.776e-05,1.165e-05,9.226e-05
1.307e-04,1.690e-03,4.643e-05,3.892e-05,5.460e-05,4.132e-05,3.695e-05
1.212e-04,1.777e-03,6.434e-05,2.444e-06,1.550e-04,5.888e-06,1.747e-06
5.031e-05,1.943e-03,8.047e-07,1.317e-05,8.225e-06,7.787e-05,1.976e-05
7.176e-05,1.951e-03,1.886e-05,8.881e-06,3.219e-06,2.881e-06,9.008e-06
4.065e-05,1.938e-03,2.041e-05,1.889e-05,2.044e-05,3.229e-05,4.735e-05
9.370e-05,1.884e-03,1.410e-05,4.768e-06,1.663e-05,5.384e-06,4.955e-07
1.009e-04,1.945e-03,2.027e-06,6.080e-06,1.026e-04,3.264e-05,6.109e-05
8.774e-05,2.020e-03,2.819e-05,1.884e-05,3.868e-05,1.014e-05,9.652e-05
1.239e-04,2.054e-03,5.600e-05,3.296e-05,4.888e-05,1.634e-05,2.842e-05
1.136e-04,2.090e-03,2.640e-05,7.492e-05,5.537e-05,1.043e-05,6.524e-05
1.147e-04,2.171e-03,1.830e-05,3.386e-05,5.448e-05,7.238e-05,6.728e-06
1.417e-04,2.176e-03,3.561e-05,3.308e-05,7.403e-05,5.442e-05,6.568e-05
1.310e-04,2.203e-03,2.304e-05,4.804e-05,7.987e-06,8.207e-06,1.368e-05
1.180e-04,2.259e-03,1.979e-05,3.839e-05,3.934e-05,1.421e-05,8.596e-06
1.720e-04,2.276e-03,4.864e-05,8.488e-05,1.985e-05,3.863e-05,3.274e-05
8.988e-05,2.317e-03,5.955e-05,5.376e-05,3.386e-05,1.666e-05,1.060e-05
6.258e-05,2.275e-03,6.363e-05,1.591e-05,2.104e-05,1.297e-05,5.528e-05
1.754e-04,2.347e-03,1.048e-04,1.854e-05,2.217e-05,1.663e-05,4.801e-05
1.422e-04,2.482e-03,5.090e-05,8.947e-05,2.104e-05,3.994e-05,4.541e-05
9.167e-05,2.472e-03,7.263e-05,2.831e-05,1.031e-05,6.138e-05,3.478e-05
1.396e-04,2.468e-03,3.994e-05,6.533e-05,3.099e-05,1.444e-07,5.720e-05
1.657e-04,2.484e-03,2.438e-05,5.215e-05,6.914e-06,2.639e-05,3.058e-05
1.601e-04,2.522e-03,9.242e-05,1.889e-05,2.927e-05,4.128e-05,4.835e-05
1.872e-04,2.638e-03,1.400e-04,3.517e-06,4.345e-05,1.793e-05,4.980e-05
9.179e-05,2.680e-03,2.822e-05,5.257e-05,3.207e-05,8.539e-05,2.393e-05
1.081e-04,2.655e-03,1.341e-06,2.557e-05,2.801e-05,3.539e-05,2.706e-05
1.638e-04,2.675e-03,1.410e-05,2.027e-05,1.472e-05,1.833e-05,2.502e-05
1.657e-04,2.736e-03,4.202e-05,8.327e-05,1.788e-06,4.674e-05,2.733e-05
1.812e-04,2.738e-03,8.434e-06,9.888e-05,4.661e-05,8.928e-05,1.222e-05
1.166e-04,2.704e-03,2.488e-05,5.949e-05,4.351e-05,3.014e-05,1.378e-05
1.220e-04,2.710e-03,9.739e-05,1.633e-05,5.662e-06,1.099e-05,2.820e-05
1.003e-04,2.775e-03,8.869e-05,3.439e-05,7.272e-05,1.512e-05,5.450e-05
9.453e-05,2.765e-03,4.080e-05,1.740e-05,2.426e-05,2.165e-05,3.718e-06
1.371e-04,2.711e-03,6.279e-05,4.941e-05,1.182e-04,6.574e-06,4.623e-05
9.048e-05,2.802e-03,3.755e-06,8.106e-05,1.207e-04,4.949e-05,2.590e-05
9.668e-05,2.762e-03,5.788e-05,6.515e-05,6.390e-05,9.043e-06,1.169e-05
1.180e-04,2.747e-03,5.430e-05,5.370e-05,2.396e-05,6.855e-06,5.985e-05
1.429e-04,2.756e-03,2.086e-05,6.086e-05,1.425e-05,1.970e-05,7.736e-05
1.519e-04,2.828e-03,3.105e-05,6.032e-05,2.319e-05,2.848e-05,4.916e-05
1.312e-04,2.883e-03,5.245e-05,2.015e-05,4.458e-05,1.739e-05,2.411e-05
1.969e-04,2.879e-03,4.053e-05,3.386e-05,6.676e-06,7.739e-05,5.347e-05
2.056e-04,2.961e-03,4.947e-06,1.800e-05,5.496e-05,5.903e-05,3.605e-05
1.075e-04,3.047e-03,2.307e-05,4.232e-06,2.140e-05,4.142e-05,4.325e-05
1.342e-04,2.939e-03,2.384e-07,4.178e-05,4.578e-05,2.819e-05,1.575e-05
1.575e-04,2.963e-03,3.231e-05,3.195e-05,3.147e-05,6.032e-05,6.203e-05
1.242e-04,3.036e-03,3.469e-05,1.156e-05,2.325e-05,2.833e-05,9.938e-05
1.665e-04,3.114e-03,1.003e-04,3.004e-05,2.372e-05,4.958e-06,8.450e-05
1.529e-04,3.110e-03,6.592e-05,7.218e-05,6.026e-05,2.855e-06,7.134e-05
1.665e-04,3.105e-03,4.768e-07,7.921e-05,8.947e-05,1.444e-05,5.137e-05
1.830e-04,3.126e-03,4.417e-05,1.520e-05,1.729e-06,2.021e-05,2.215e-05
1.422e-04,3.102e-03,6.765e-05,3.439e-05,8.327e-05,1.364e-05,3.096e-05
1.343e-04,3.172e-03,7.862e-05,1.538e-05,9.137e-05,2.142e-05,1.252e-05
1.266e-04,3.201e-03,1.063e-04,6.557e-07,7.689e-05,2.188e-05,8.427e-06
2.295e-04,3.142e-03,3.457e-06,7.772e-05,5.746e-05,3.033e-05,1.838e-05
2.182e-04,3.229e-03,5.662e-06,9.513e-05,9.835e-05,1.520e-05,2.902e-05
2.311e-04,3.306e-03,5.394e-05,5.716e-05,5.752e-05,1.604e-05,2.441e-05
2.133e-04,3.282e-03,8.583e-05,5.782e-06,6.080e-05,6.088e-05,2.698e-05
2.024e-04,3.257e-03,8.518e-05,2.646e-05,8.285e-05,5.657e-05,5.752e-05
2.196e-04,3.247e-03,7.790e-05,7.206e-05,8.720e-05,2.784e-06,6.177e-05
1.310e-04,3.322e-03,8.613e-05,5.519e-05,1.116e-04,2.153e-06,5.909e-05
1.674e-04,3.238e-03,9.090e-05,5.352e-05,4.724e-05,2.690e-06,1.566e-05
1.763e-04,3.297e-03,6.825e-05,5.031e-05,5.794e-05,2.329e-05,1.400e-05
1.478e-04,3.352e-03,6.557e-06,4.017e-05,2.652e-05,3.773e-05,9.429e-06
1.485e-04,3.338e-03,2.670e-05,2.807e-05,2.378e-05,7.429e-06,1.874e-05
1.334e-04,3.327e-03,1.109e-05,2.766e-05,1.130e-05,1.511e-05,1.359e-05
7.832e-05,3.336e-03,1.246e-05,1.019e-05,2.116e-05,7.565e-05,3.529e-05
5.960e-05,3.257e-03,4.172e-07,2.545e-05,6.109e-06,7.420e-05,7.451e-08
8.750e-05,3.237e-03,2.271e-05,5.674e-05,2.086e-05,8.442e-06,7.739e-05
2.348e-04,3.238e-03,1.198e-05,1.788e-07,7.096e-05,2.077e-05,1.111e-04
2.117e-04,3.362e-03,2.962e-05,2.760e-05,1.779e-05,6.111e-05,3.042e-05
1.652e-04,3.399e-03,5.454e-05,1.580e-05,4.581e-05,4.249e-05,2.284e-05
1.658e-04,3.359e-03,5.662e-05,2.599e-05,8.434e-06,1.728e-05,1.705e-05
1.888e-04,3.351e-03,5.358e-05,3.660e-05,1.168e-05,6.809e-06,7.323e-05
1.428e-04,3.392e-03,3.231e-05,3.773e-05,1.928e-05,2.222e-05,6.813e-05
1.595e-04,3.364e-03,7.272e-06,2.509e-05,2.638e-05,2.576e-05,5.146e-05
2.338e-04,3.287e-03,3.588e-05,3.076e-05,1.253e-04,3.577e-05,5.162e-05
1.925e-04,3.351e-03,5.525e-05,1.013e-06,7.394e-05,8.506e-06,8.225e-05
1.842e-04,3.394e-03,3.451e-05,8.821e-06,2.623e-05,4.404e-05,3.858e-05
1.414e-04,3.406e-03,3.910e-05,1.431e-05,1.341e-05,4.576e-05,2.516e-05
1.374e-04,3.362e-03,4.137e-05,1.967e-06,8.702e-06,3.604e-05,6.445e-06
1.711e-04,3.382e-03,3.940e-05,7.629e-06,1.180e-05,6.605e-05,2.640e-05
1.700e-04,3.416e-03,5.651e-05,1.472e-05,3.040e-05,6.179e-05,5.024e-05
1.265e-04,3.446e-03,5.513e-05,4.327e-05,3.067e-05,2.262e-05,2.860e-05
1.347e-04,3.477e-03,6.366e-05,4.309e-05,1.878e-06,2.370e-05,2.491e-05
1.929e-04,3.514e-03,7.665e-05,1.431e-06,3.868e-05,8.992e-06,3.272e-05
2.321e-04,3.523e-03,5.221e-05,6.151e-05,5.677e-05,1.843e-05,6.802e-05
1.892e-04,3.562e-03,6.771e-05,4.905e-05,3.192e-05,2.556e-05,4.960e-05
1.768e-04,3.572e-03,7.272e-05,3.237e-05,1.028e-05,4.806e-05,1.238e-05
1.556e-04,3.606e-03,6.485e-05,3.135e-05,1.916e-05,4.296e-05,2.522e-05
1.388e-04,3.593e-03,6.223e-05,2.897e-05,3.433e-05,3.203e-05,3.646e-05
1.718e-04,3.546e-03,4.596e-05,3.654e-05,1.290e-05,3.153e-06,1.896e-06
2.367e-04,3.539e-03,4.411e-05,4.792e-05,1.824e-05,1.411e-05,4.223e-05
2.109e-04,3.654e-03,4.536e-05,3.731e-05,2.325e-06,1.866e-05,3.605e-05
1.863e-04,3.713e-03,4.601e-05,2.748e-05,1.284e-05,2.292e-05,3.010e-05
1.634e-04,3.719e-03,4.447e-05,1.776e-05,2.927e-05,2.553e-05,2.562e-05
1.817e-04,3.675e-03,2.694e-05,1.472e-05,1.017e-04,2.172e-05,5.734e-05
2.698e-04,3.669e-03,1.159e-04,4.947e-06,7.337e-05,2.813e-05,1.194e-05
2.936e-04,3.651e-03,9.835e-05,1.341e-05,3.651e-05,1.713e-05,2.213e-05
2.687e-04,3.654e-03,6.968e-05,2.372e-05,3.853e-05,1.550e-05,2.024e-05
2.052e-04,3.673e-03,7.308e-05,1.383e-05,4.098e-05,8.878e-06,1.659e-05
2.182e-04,3.644e-03,1.099e-04,2.789e-05,4.160e-05,1.503e-05,2.787e-05
1.974e-04,3.740e-03,9.626e-05,6.735e-06,1.612e-05,2.074e-05,2.472e-05
1.676e-04,3.789e-03,4.345e-05,1.979e-05,1.776e-05,2.965e-06,4.232e-06
1.335e-04,3.819e-03,5.579e-05,2.432e-05,3.058e-05,5.600e-06,1.480e-05
1.653e-04,3.813e-03,3.624e-05,4.292e-06,5.788e-05,2.642e-05,3.051e-05
1.737e-04,3.793e-03,6.771e-05,3.231e-05,1.842e-05,3.919e-06,7.309e-05
1.837e-04,3.824e-03,1.287e-05,8.821e-06,1.648e-05,2.644e-05,3.751e-05
2.016e-04,3.885e-03,3.099e-06,2.038e-05,9.358e-06,2.489e-05,4.051e-05
1.752e-04,3.927e-03,9.239e-06,2.766e-05,4.160e-05,5.774e-06,1.920e-05
2.805e-04,3.898e-03,2.003e-05,8.702e-06,2.077e-05,1.360e-05,1.378e-05
2.513e-04,3.942e-03,7.749e-06,1.872e-05,3.049e-05,8.915e-06,7.875e-06
1.980e-04,3.946e-03,1.168e-05,4.172e-06,2.876e-05,1.932e-05,2.900e-05
1.557e-04,3.899e-03,1.371e-05,1.252e-05,1.529e-05,1.449e-05,2.523e-05
1.765e-04,3.792e-03,5.066e-06,2.730e-05,5.394e-06,2.221e-05,2.843e-05
2.999e-04,3.729e-03,2.033e-05,5.597e-05,9.686e-06,5.958e-05,3.733e-05
2.370e-04,3.888e-03,2.384e-07,7.731e-05,2.459e-05,4.336e-05,2.892e-05
2.310e-04,3.958e-03,5.627e-05,9.042e-05,5.633e-06,2.132e-05,1.234e-05
2.007e-04,4.007e-03,8.941e-05,9.704e-05,7.957e-06,3.829e-05,1.736e-06
1.853e-04,3.996e-03,9.137e-05,8.279e-05,1.490e-05,1.105e-05,1.229e-07
2.396e-04,3.979e-03,9.269e-05,7.737e-05,6.557e-05,4.393e-06,1.721e-06
2.197e-04,4.025e-03,9.173e-05,8.368e-05,7.910e-05,6.024e-06,6.184e-07
2.939e-04,4.026e-03,6.866e-05,6.032e-05,2.328e-05,8.878e-06,2.249e-05
2.599e-04,4.072e-03,6.855e-05,5.811e-05,1.237e-05,7.522e-06,1.624e-05
2.396e-04,4.102e-03,7.886e-05,5.960e-05,5.037e-06,1.962e-05,2.235e-08
2.016e-04,4.128e-03,7.904e-05,6.181e-05,1.842e-05,2.428e-05,2.403e-06
1.982e-04,4.097e-03,8.005e-05,3.332e-05,3.487e-06,1.266e-05,7.648e-06
2.296e-04,4.072e-03,1.286e-04,4.530e-06,8.047e-06,6.118e-05,1.373e-05
2.195e-04,4.137e-03,1.297e-04,5.960e-06,4.709e-06,6.822e-05,1.190e-05
