kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
227.82602,859.36774,462.25787,1740.1342,0.8777341,0.011016,0.014888048
233.41722,867.7746,464.62488,1740.2715,0.90592736,0.01534959,0.029554427
239.61208,876.2308,467.09763,1740.412,0.934563,0.01980248,0.044002473
246.31175,884.74365,469.67297,1740.556,0.9636258,0.02437628,0.058235407
253.43831,893.31885,472.34814,1740.7036,0.9931019,0.029072527,0.072256446
260.93222,901.9605,475.1205,1740.8547,1.0229785,0.033892673,0.08606875
268.73932,910.67163,477.9878,1741.0099,1.0532436,0.038838103,0.09967542
276.83405,919.45435,480.94775,1741.169,1.0838858,0.04391013,0.11307949
285.19702,928.31006,483.99838,1741.332,1.1148943,0.04911001,0.126284
293.79254,937.2396,487.13773,1741.4994,1.1462584,0.054438934,0.13929194
302.61673,946.24365,490.36398,1741.6711,1.177968,0.05989803,0.15210623
311.67523,955.322,493.6754,1741.8473,1.2100133,0.065488376,0.16472971
320.92856,964.47485,497.0703,1742.0281,1.2423843,0.071211,0.17716527
330.35345,973.7016,500.54712,1742.2136,1.2750717,0.07706687,0.1894157
339.94482,983.00134,504.10425,1742.4038,1.3080661,0.08305689,0.20148373
349.70718,992.37305,507.74026,1742.599,1.341358,0.08918194,0.21337211
359.62863,1001.81555,511.45358,1742.7993,1.3749384,0.09544282,0.22508347
369.70724,1011.32764,515.2428,1743.0046,1.4087982,0.10184029,0.23662049
379.95822,1020.908,519.10657,1743.2153,1.4429282,0.10837507,0.24798572
390.37155,1030.5553,523.04346,1743.4312,1.4773195,0.11504784,0.25918174
400.9248,1040.2681,527.05206,1743.6527,1.5119631,0.1218592,0.2702111
411.61578,1050.0447,531.1311,1743.8796,1.5468502,0.12880972,0.28107625
422.46124,1059.8834,535.27924,1744.1124,1.581972,0.13589993,0.29177964
433.46692,1069.7828,539.4951,1744.3507,1.6173197,0.1431303,0.3023237
444.6364,1079.7411,543.77747,1744.5948,1.6528847,0.15050124,0.31271076
455.95566,1089.7568,548.12506,1744.845,1.6886582,0.15801315,0.32294315
467.41522,1099.8284,552.5367,1745.101,1.7246318,0.16566639,0.33302325
479.02512,1109.9537,557.01086,1745.3633,1.7607968,0.17346121,0.34295326
490.80014,1120.1313,561.5465,1745.6317,1.797145,0.18139789,0.35273546
502.71017,1130.3595,566.1424,1745.9064,1.833668,0.18947662,0.36237198
514.7719,1140.6364,570.7972,1746.1875,1.8703574,0.19769758,0.37186503
526.98016,1150.96,575.50977,1746.4749,1.9072051,0.20606089,0.38121676
539.3436,1161.3286,580.27893,1746.7688,1.944203,0.21456662,0.39042926
551.85834,1171.7405,585.10333,1747.0693,1.981343,0.22321479,0.3995046
564.5198,1182.194,589.9819,1747.3766,2.0186172,0.23200543,0.40844482
577.3361,1192.687,594.91327,1747.6906,2.0560176,0.24093848,0.41725194
590.33203,1203.218,599.89636,1748.0114,2.0935364,0.2500139,0.42592794
603.48566,1213.7853,604.93005,1748.339,2.1311662,0.2592315,0.43447477
616.7775,1224.3872,610.01306,1748.6736,2.168899,0.26859117,0.44289434
630.21106,1235.0217,615.1442,1749.0153,2.206728,0.2780927,0.45118856
643.7998,1245.687,620.3223,1749.3639,2.244645,0.28773588,0.4593593
657.53876,1256.3812,625.5463,1749.7197,2.2826436,0.29752043,0.46740842
671.42474,1267.1028,630.815,1750.0828,2.3207157,0.30744603,0.47533768
685.4559,1277.8499,636.12726,1750.453,2.3588545,0.31751236,0.48314893
699.634,1288.6204,641.48175,1750.8307,2.3970535,0.32771906,0.49084383
713.97363,1299.4128,646.87744,1751.2157,2.4353054,0.33806574,0.49842417
728.4573,1310.2253,652.3133,1751.6083,2.4736032,0.34855193,0.5058917
743.1023,1321.0563,657.788,1752.0083,2.5119407,0.3591772,0.513248
757.9155,1331.9037,663.3006,1752.4159,2.550311,0.36994103,0.5204948
772.88324,1342.7661,668.84973,1752.831,2.5887082,0.38084286,0.5276337
788.0083,1353.6421,674.43445,1753.2539,2.627125,0.39188218,0.53466636
803.31274,1364.5298,680.0535,1753.6846,2.665556,0.40305838,0.54159427
818.7773,1375.4275,685.7059,1754.1227,2.703995,0.41437086,0.54841906
834.3527,1386.3337,691.39044,1754.5687,2.742436,0.42581898,0.5551423
850.0812,1397.2465,697.1062,1755.0226,2.780873,0.43740204,0.5617654
865.98444,1408.1643,702.85187,1755.4843,2.8193002,0.4491194,0.5682899
882.02954,1419.0854,708.62646,1755.9537,2.857712,0.46097028,0.5747172
898.2376,1430.0085,714.4288,1756.4314,2.8961034,0.47295398,0.58104885
914.6175,1440.9318,720.2578,1756.9169,2.9344683,0.48506975,0.58728623
931.1401,1451.8539,726.11255,1757.4104,2.9728017,0.49731675,0.59343076
947.8451,1462.7731,731.9919,1757.912,3.0110984,0.50969416,0.59948385
964.6931,1473.688,737.89465,1758.4218,3.049353,0.5222012,0.60544676
981.6802,1484.5972,743.8199,1758.9396,3.0875607,0.53483695,0.6113209
998.8251,1495.4989,749.76654,1759.4656,3.1257167,0.54760057,0.6171076
1016.1495,1506.3916,755.7335,1759.9996,3.1638165,0.56049114,0.62280816
1033.6804,1517.274,761.71985,1760.5419,3.201855,0.5735078,0.6284238
1051.3613,1528.145,767.7244,1761.0925,3.239828,0.58664954,0.63395584
1069.1765,1539.0032,773.7464,1761.6512,3.2777314,0.5999154,0.6394055
1087.1389,1549.8468,779.78455,1762.2184,3.3155606,0.61330444,0.6447741
1105.2604,1560.6744,785.838,1762.7937,3.353311,0.6268157,0.65006274
1123.5175,1571.4849,791.90576,1763.3773,3.3909788,0.64044815,0.65527266
1141.9241,1582.2764,797.9867,1763.9694,3.4285603,0.6542008,0.66040504
1160.4742,1593.0479,804.07996,1764.5696,3.4660513,0.6680726,0.665461
1179.1719,1603.7979,810.1845,1765.1783,3.5034482,0.68206245,0.6704416
1198.0085,1614.5249,816.29944,1765.7954,3.5407474,0.69616944,0.6753481
1216.9954,1625.2278,822.42377,1766.4209,3.5779452,0.7103923,0.6801815
1236.1365,1635.9054,828.5564,1767.0547,3.615038,0.7247301,0.68494296
1255.4478,1646.5562,834.6966,1767.697,3.6520224,0.7391816,0.6896336
1274.933,1657.1791,840.8432,1768.3477,3.6888952,0.7537458,0.6942544
1294.5941,1667.7731,846.99536,1769.0066,3.7256532,0.76842153,0.6988064
1314.3955,1678.3372,853.1523,1769.6741,3.762293,0.78320765,0.70329064
1334.335,1688.8698,859.3129,1770.3499,3.7988122,0.7981031,0.7077081
1354.3746,1699.3699,865.4765,1771.0342,3.8352072,0.8131066,0.71205986
1374.587,1709.8363,871.64197,1771.7268,3.8714757,0.82821715,0.71634674
1394.9575,1720.2678,877.8086,1772.428,3.9076147,0.84343344,0.72056985
1415.4817,1730.6635,883.9753,1773.1376,3.9436216,0.85875434,0.7247301
1436.1969,1741.0221,890.14136,1773.8556,3.9793758,0.8741787,0.7288283
1457.0177,1751.3429,896.3059,1774.582,4.014878,0.8897047,0.7328656
1477.9502,1761.6246,902.46814,1775.3169,4.050128,0.90533054,0.7368427
1499.0267,1771.8663,908.62714,1776.06,4.085127,0.9210545,0.74076056
1520.27,1782.0667,914.7821,1776.8118,4.119875,0.9368748,0.7446202
1541.6656,1792.2251,920.93225,1777.5718,4.154373,0.9527898,0.7484224
1563.2822,1802.3406,927.07666,1778.3402,4.1886215,0.9687977,0.75216794
1585.1035,1812.4124,933.2146,1779.1171,4.222621,0.9848968,0.7558577
1607.115,1822.4397,939.3453,1779.9023,4.256372,1.0010854,0.7594925
1629.293,1832.4219,945.46796,1780.6959,4.2898755,1.0173619,0.76307327
1651.6385,1842.3582,951.58185,1781.4978,4.323132,1.0337244,0.76660067
1674.1134,1852.2473,957.68616,1782.308,4.356142,1.0501714,0.77007556
1696.7339,1862.089,963.7803,1783.1265,4.3889065,1.0667013,0.7734987
1719.5135,1871.8821,969.8634,1783.9534,4.421426,1.0833123,0.7768709
1742.4554,1881.6259,975.9349,1784.7883,4.4537005,1.1000029,0.78019285
1765.5332,1891.3195,981.9939,1785.6317,4.4857316,1.1167715,0.7834654
1788.74,1900.9623,988.03986,1786.4833,4.51752,1.1336162,0.78668916
1812.0118,1910.5535,994.072,1787.3431,4.549066,1.1505358,0.78986496
1835.3602,1920.092,1000.08966,1788.211,4.5803704,1.1675285,0.7929935
1858.8796,1929.5771,1006.0923,1789.0873,4.611434,1.1845927,0.79607546
1882.5903,1939.0082,1012.0791,1789.9716,4.642257,1.201727,0.79911155
1906.483,1948.3848,1018.0494,1790.864,4.672841,1.2189296,0.80210245
1930.534,1957.7062,1024.0026,1791.7645,4.7031865,1.2361991,0.8050488
1954.7368,1966.9719,1029.938,1792.6731,4.733294,1.2535341,0.8079513
1979.0792,1976.1813,1035.8551,1793.5898,4.763164,1.2709329,0.81081057
2003.6136,1985.3337,1041.7533,1794.5144,4.792797,1.2883941,0.81362724
2028.3407,1994.4291,1047.632,1795.447,4.822195,1.3059161,0.81640196
2053.2234,2003.4666,1053.4905,1796.3876,4.851358,1.3234975,0.8191354
2078.2769,2012.4459,1059.3285,1797.3359,4.8802867,1.3411369,0.8218281
2103.4873,2021.3663,1065.1451,1798.2924,4.9089828,1.3588327,0.8244808
2128.8044,2030.2277,1070.9401,1799.2567,4.937447,1.3765835,0.82709396
2154.2637,2039.0292,1076.7126,1800.2288,4.9656796,1.3943878,0.8296682
2179.867,2047.7705,1082.4623,1801.2086,4.9936814,1.4122443,0.83220416
