kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,1.0,0.0,0.0
228.31764,857.90106,630.85046,1324.0083,0.98263633,0.2776443,1.0,0.0,0.014888048
234.0834,864.78546,633.8622,1325.0369,0.94891083,0.28413728,1.0,0.0,0.029554427
240.25981,871.6677,637.0224,1326.0869,0.94753546,0.29025984,1.0,0.0,0.044002473
246.8177,878.56,640.31976,1327.1597,0.9586539,0.29631335,1.0,0.0,0.058235407
253.73363,885.4725,643.74457,1328.2559,0.9745872,0.30241352,1.0,0.0,0.072256446
260.99548,892.4137,647.2885,1329.377,0.9923725,0.30860424,1.0,0.0,0.08606875
268.56693,899.3908,650.94415,1330.5234,1.010873,0.31490174,1.0,0.0,0.09967542
276.44766,906.40967,654.70514,1331.6964,1.0296565,0.32131162,1.0,0.0,0.11307949
284.6219,913.4752,658.5659,1332.8965,1.0485626,0.32783547,1.0,0.0,0.126284
293.09158,920.59125,662.52155,1334.1245,1.0675349,0.33447337,1.0,0.0,0.13929194
301.844,927.7611,666.5676,1335.3812,1.0865557,0.34122488,1.0,0.0,0.15210623
310.88007,934.98737,670.7004,1336.6672,1.1056218,0.34808937,1.0,0.0,0.16472971
320.18732,942.27203,674.9165,1337.9829,1.124734,0.35506624,1.0,0.0,0.17716527
329.78162,949.61664,679.213,1339.329,1.1438947,0.3621549,1.0,0.0,0.1894157
339.6359,957.02234,683.5871,1340.7062,1.1631055,0.36935472,1.0,0.0,0.20148373
349.74713,964.4898,688.03625,1342.115,1.182368,0.37666517,1.0,0.0,0.21337211
360.10843,972.0193,692.5584,1343.5559,1.2016829,0.3840857,1.0,0.0,0.22508347
370.71976,979.6108,697.1514,1345.0293,1.2210498,0.3916158,1.0,0.0,0.23662049
381.56604,987.264,701.81354,1346.5358,1.2404677,0.39925492,1.0,0.0,0.24798572
392.65564,994.9782,706.5428,1348.0758,1.2599351,0.4070025,1.0,0.0,0.25918174
403.9992,1002.7529,711.3377,1349.6497,1.2794504,0.41485804,1.0,0.0,0.2702111
415.58618,1010.5872,716.19666,1351.2579,1.299011,0.42282096,1.0,0.0,0.28107625
427.41492,1018.4803,721.11816,1352.9011,1.3186147,0.43089068,1.0,0.0,0.29177964
439.47684,1026.4309,726.10077,1354.5795,1.3382591,0.43906662,1.0,0.0,0.3023237
451.7739,1034.4381,731.14307,1356.2933,1.3579412,0.4473482,1.0,0.0,0.31271076
