con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.53932,0.0028556,105.17594,104.8756,27.336288,36.845238,50.455578,0.3003404,39.445236
80.062515,0.003498102,108.66172,108.28162,28.219099,37.49183,51.883945,0.3801098,40.032707
82.66584,0.004111742,112.24989,111.78835,29.122513,38.144753,53.39588,0.4615426,40.627865
85.347565,0.0046931924,115.939384,115.395256,30.047695,38.80267,54.992203,0.54412585,41.229317
88.1097,0.005242747,119.729675,119.101974,30.992262,39.46461,56.676067,0.6277124,41.83609
90.947105,0.005762705,123.61709,122.904724,31.957623,40.128498,58.441055,0.7123688,42.446053
93.85739,0.006256378,127.60319,126.804855,32.94746,40.794155,60.28777,0.79833376,43.059013
96.84201,0.0067274543,131.68488,130.79897,33.95695,41.459885,62.21581,0.885904,43.67324
99.902504,0.007179644,135.86398,134.88853,34.98604,42.125515,64.22963,0.975455,44.288548
103.03489,0.0076164724,140.13792,139.07056,36.035675,42.789585,66.32248,1.0673566,44.903435
106.23762,0.008041168,144.5041,143.34212,37.104507,43.450893,68.496605,1.1619817,45.51668
109.514,0.008456621,148.964,147.70427,38.190273,44.10908,70.752396,1.2597321,46.1279
112.856476,0.00886538,153.51761,152.15662,39.300137,44.763775,73.0859,1.3609918,46.73669
116.26694,0.009269659,158.16223,156.69612,40.42919,45.41371,75.49976,1.4661101,47.341766
119.74359,0.009671375,162.90019,161.32472,41.581123,46.059055,77.990875,1.5754689,47.943275
123.28995,0.010072158,167.72958,166.04018,42.750225,46.698673,80.56152,1.6893988,48.540043
126.90412,0.010473407,172.64983,170.84158,43.93747,47.332233,83.215004,1.808232,49.13174
130.5832,0.010876305,177.66176,175.72945,45.146225,47.95929,85.948524,1.9323034,49.717876
134.33371,0.01128185,182.7637,180.70178,46.368076,48.579308,88.773026,2.0619125,50.29791
138.14171,0.01169088,187.95673,185.75935,47.617653,49.191933,91.67111,2.1973796,50.87146
142.01413,0.012104099,193.24077,190.90176,48.887646,49.796997,94.64673,2.3390055,51.438335
145.9536,0.012522092,198.6144,196.12732,50.173717,50.393803,97.70352,2.487068,51.99782
149.96062,0.012945346,204.07927,201.43741,51.47679,50.982395,100.84784,2.641877,52.549946
154.03041,0.013374262,209.6345,206.83081,52.800392,51.562363,104.07351,2.8037066,53.094265
158.15971,0.0138091715,215.27953,212.3067,54.14698,52.133106,107.37521,2.9728317,53.630177
162.34637,0.01425034,221.01625,217.8667,55.520325,52.695114,110.757576,3.1495569,54.15815
166.60461,0.014697985,226.84442,223.51027,56.90566,53.2478,114.23391,3.3341558,54.677563
170.93031,0.015152274,232.76405,229.23715,58.306843,53.79122,117.79948,3.5269048,55.188477
175.31348,0.01561334,238.77628,235.04819,59.7347,54.32512,121.440315,3.728095,55.6906
179.75948,0.016081281,244.88034,240.94235,61.18287,54.849308,125.17125,3.9379895,56.18375
184.2718,0.016556177,251.07747,246.92058,62.648766,55.363766,128.99562,4.1568832,56.667866
188.8461,0.01703807,257.36487,252.97986,64.13376,55.867794,132.90295,4.385,57.14224
193.48859,0.01752699,263.74396,259.1213,65.63272,56.361423,136.9056,4.6226373,57.60689
198.1915,0.018022949,270.21533,265.34528,67.153755,56.844658,140.99413,4.8700776,58.06181
202.95317,0.018525938,276.77792,271.65036,68.6972,57.317207,145.17068,5.1275706,58.506683
