con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.30563,0.0028556,105.17594,104.8756,27.569973,36.845238,28.52393,0.3003404,39.445236
79.86362,0.0031533004,108.69501,108.35225,28.488636,37.503315,29.315754,0.342748,40.044193
82.50314,0.003426751,112.31674,111.93186,29.428722,38.16747,30.157726,0.38488147,40.65058
85.224464,0.003680945,116.04027,115.61313,30.388668,38.83643,31.050121,0.42713782,41.26308
88.02105,0.003920295,119.86549,119.39559,31.374537,39.50938,31.990368,0.4699081,41.880856
90.89913,0.004148542,123.79183,123.278275,32.379143,40.185215,32.981262,0.5135555,42.502766
93.8551,0.004368783,127.81651,127.2581,33.403,40.86236,34.02342,0.55840254,43.127213
96.88572,0.0045835394,131.94008,131.33533,34.449615,41.540237,35.11091,0.6047526,43.753593
99.98843,0.004794844,136.16135,135.50848,35.520054,42.217712,36.239666,0.65287244,44.380745
103.16967,0.0050043263,140.47844,139.77544,36.605766,42.893562,37.417023,0.70299995,45.007412
106.424545,0.005213283,144.89075,144.1354,37.710854,43.56715,38.639927,0.7553565,45.63294
109.7482,0.005422746,149.3989,148.58875,38.840538,44.237854,39.90647,0.81015223,46.25667
113.14175,0.005633535,154.00084,153.13327,39.991516,44.904686,41.215427,0.867569,46.877598
116.60727,0.005846297,158.69771,157.76993,41.162655,45.56746,42.57124,0.927794,47.495518
120.13968,0.0060615493,163.48727,162.49628,42.3566,46.22505,43.970505,0.9909861,48.10927
123.74071,0.0062796986,168.37076,167.31343,43.57272,46.877186,45.411514,1.0573175,48.71856
127.41235,0.006501065,173.34634,172.2194,44.807053,47.523174,46.895187,1.126936,49.32268
131.151,0.006725903,178.41539,177.21538,46.064377,48.16273,48.42467,1.2000047,49.921318
134.95592,0.0069544124,183.57619,182.29951,47.343597,48.79527,49.998478,1.2766646,50.513874
138.83186,0.0071867486,188.83063,187.47354,48.641685,49.42065,51.62101,1.3570782,51.10018
142.77626,0.0074230316,194.17662,192.73524,49.95898,50.03815,53.28809,1.4413792,51.679493
146.78773,0.0076633557,199.61592,198.0862,51.298462,50.647915,54.999012,1.5297278,52.251934
150.8657,0.007907786,205.14766,203.52539,52.659687,51.249294,56.754616,1.6222638,52.816845
155.00883,0.008156376,210.77025,209.05115,54.042305,51.841713,58.55288,1.7191215,53.37362
159.22043,0.008409156,216.48495,214.6645,55.44408,52.42502,60.39575,1.8204559,53.92209
163.49893,0.008666149,222.2917,220.36531,56.866367,52.999214,62.28411,1.926413,54.462246
167.84064,0.008927363,228.1915,226.15434,58.3137,53.564003,64.21601,2.0371482,54.993767
172.24867,0.009192799,234.18376,232.03094,59.78229,54.119316,66.19789,2.1528041,55.51657
176.72351,0.009462446,240.26903,237.99547,61.271957,54.664734,68.22537,2.2735326,56.030224
181.26329,0.00973629,246.44975,244.05025,62.786945,55.200836,70.30016,2.3995063,56.53528
