kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,1.0,0.0,0.0
228.19579,857.90106,630.85046,1324.0083,1.155917,0.27571872,1.0,0.0,0.014888048
233.78625,864.7838,633.8622,1325.0369,1.204995,0.28178328,1.0,0.0,0.029554427
239.75566,871.66223,637.02234,1326.0869,1.2488885,0.28814423,1.0,0.0,0.044002473
246.09366,878.5481,640.3194,1327.1597,1.2888529,0.29476377,1.0,0.0,0.058235407
252.78795,885.45166,643.74365,1328.2559,1.3258419,0.30161306,1.0,0.0,0.072256446
259.81287,892.38153,647.2865,1329.377,1.3605804,0.30866998,1.0,0.0,0.08606875
267.1655,899.3451,650.94055,1330.5234,1.3936204,0.31591767,1.0,0.0,0.09967542
274.8328,906.3483,654.6993,1331.6964,1.4253819,0.32334304,1.0,0.0,0.11307949
282.79745,913.39655,658.5571,1332.8965,1.4561858,0.33093607,1.0,0.0,0.126284
291.0508,920.4936,662.50916,1334.1244,1.4862766,0.33868906,1.0,0.0,0.13929194
299.59323,927.64294,666.5509,1335.381,1.5158409,0.3465959,1.0,0.0,0.15210623
308.40756,934.8473,670.67847,1336.6669,1.5450213,0.354652,1.0,0.0,0.16472971
317.49823,942.10864,674.88873,1337.9824,1.5739264,0.36285365,1.0,0.0,0.17716527
326.84656,949.4287,679.17847,1339.3282,1.6026394,0.37119794,1.0,0.0,0.1894157
336.458,956.8085,683.5449,1340.7052,1.6312232,0.37968257,1.0,0.0,0.20148373
346.31766,964.2485,687.9857,1342.1136,1.6597254,0.3883057,1.0,0.0,0.21337211
356.4318,971.7493,692.4986,1343.5541,1.6881821,0.3970658,1.0,0.0,0.22508347
366.78586,979.31085,697.0815,1345.027,1.7166202,0.40596157,1.0,0.0,0.23662049
377.39005,986.9329,701.73267,1346.5328,1.7450594,0.414992,1.0,0.0,0.24798572
388.2278,994.615,706.45013,1348.0721,1.7735142,0.42415616,1.0,0.0,0.25918174
399.30807,1002.3566,711.23236,1349.6453,1.8019946,0.43345323,1.0,0.0,0.2702111
410.62222,1010.15674,716.0778,1351.2527,1.8305073,0.44288248,1.0,0.0,0.28107625
422.1574,1018.01465,720.985,1352.8949,1.8590566,0.4524432,1.0,0.0,0.29177964
433.9195,1025.929,725.95245,1354.5721,1.8876445,0.46213478,1.0,0.0,0.3023237
445.905,1033.8986,730.9788,1356.285,1.9162717,0.47195655,1.0,0.0,0.31271076
458.11823,1041.9222,736.0628,1358.0337,1.9449372,0.48190787,1.0,0.0,0.32294315
470.55298,1049.9983,741.20306,1359.8185,1.9736397,0.49198815,1.0,0.0,0.33302325
483.20984,1058.1254,746.3983,1361.6399,2.0023763,0.5021967,1.0,0.0,0.34295326
496.10333,1066.302,751.6472,1363.498,2.0311441,0.51253295,1.0,0.0,0.35273546
509.22214,1074.5265,756.94867,1365.3936,2.0599399,0.5229962,1.0,0.0,0.36237198
522.56714,1082.7977,762.3013,1367.3265,2.0887597,0.5335857,1.0,0.0,0.37186503
536.14984,1091.1136,767.704,1369.2974,2.1175997,0.54430085,1.0,0.0,0.38121676
549.95593,1099.473,773.1554,1371.3064,2.1464555,0.5551409,1.0,0.0,0.39042926
563.9735,1107.8739,778.6544,1373.3539,2.1753235,0.56610507,1.0,0.0,0.3995046
578.21173,1116.3148,784.19977,1375.44,2.2041986,0.5771926,1.0,0.0,0.40844482
592.6781,1124.7936,789.79034,1377.565,2.233077,0.5884026,1.0,0.0,0.41725194
607.3804,1133.3085,795.4248,1379.7291,2.261954,0.5997345,1.0,0.0,0.42592794
622.3007,1141.8584,801.102,1381.9329,2.2908254,0.6111872,1.0,0.0,0.43447477
637.44196,1150.4413,806.8206,1384.1761,2.319687,0.62275994,1.0,0.0,0.44289434
652.8031,1159.055,812.5796,1386.4592,2.348534,0.63445175,1.0,0.0,0.45118856
668.4199,1167.6985,818.3776,1388.7825,2.3773627,0.6462618,1.0,0.0,0.4593593
684.2727,1176.3696,824.2135,1391.146,2.406169,0.65818906,1.0,0.0,0.46740842
700.3495,1185.0669,830.08594,1393.5499,2.4349484,0.67023265,1.0,0.0,0.47533768
716.65497,1193.7886,835.9938,1395.9945,2.4636974,0.6823915,1.0,0.0,0.48314893
733.1796,1202.5328,841.93567,1398.48,2.4924123,0.6946647,1.0,0.0,0.49084383
749.9469,1211.2979,847.91064,1401.0063,2.5210893,0.70705116,1.0,0.0,0.49842417
766.9575,1220.082,853.9173,1403.5737,2.5497246,0.71954983,1.0,0.0,0.5058917
784.2055,1228.8839,859.9544,1406.1824,2.5783145,0.73215973,1.0,0.0,0.513248
801.6834,1237.7014,866.0209,1408.8323,2.6068559,0.7448797,1.0,0.0,0.5204948
819.4024,1246.5332,872.11536,1411.5238,2.6353452,0.7577088,1.0,0.0,0.5276337
837.36127,1255.3773,878.2367,1414.2568,2.6637795,0.77064574,1.0,0.0,0.53466636
855.5476,1264.2323,884.38367,1417.0314,2.6921558,0.78368944,1.0,0.0,0.54159427
873.9746,1273.0964,890.55505,1419.8479,2.7204704,0.79683876,1.0,0.0,0.54841906
892.6403,1281.968,896.74963,1422.706,2.748721,0.81009257,1.0,0.0,0.5551423
911.5702,1290.8453,902.9662,1425.606,2.776904,0.8234497,1.0,0.0,0.5617654
930.7451,1299.7272,909.20355,1428.5479,2.8050175,0.83690894,1.0,0.0,0.5682899
950.14307,1308.6117,915.46045,1431.5316,2.8330584,0.85046923,1.0,0.0,0.5747172
969.7829,1317.4974,921.7359,1434.5575,2.8610241,0.86412925,1.0,0.0,0.58104885
989.69366,1326.3826,928.02844,1437.6251,2.8889124,0.87788785,1.0,0.0,0.58728623
1009.86005,1335.2657,934.33704,1440.735,2.916721,0.89174384,1.0,0.0,0.59343076
1030.2579,1344.1455,940.66034,1443.8867,2.9444475,0.9056959,1.0,0.0,0.59948385
1050.8898,1353.0201,946.9973,1447.0804,2.9720898,0.9197429,1.0,0.0,0.60544676
1071.7616,1361.8882,953.34686,1450.3163,2.9996457,0.93388355,1.0,0.0,0.6113209
1092.892,1370.7479,959.7077,1453.594,3.0271127,0.94811666,1.0,0.0,0.6171076
1114.2866,1379.5981,966.0786,1456.9136,3.0544894,0.9624409,1.0,0.0,0.62280816
1135.9304,1388.4374,972.4587,1460.2749,3.0817735,0.97685516,1.0,0.0,0.6284238
1157.8427,1397.2643,978.84656,1463.6781,3.1089635,0.99135804,1.0,0.0,0.63395584
1179.9965,1406.0771,985.24115,1467.1232,3.1360574,1.0059483,1.0,0.0,0.6394055
1202.3872,1414.8748,991.6414,1470.6096,3.1630542,1.0206248,1.0,0.0,0.6447741
1225.0375,1423.6558,998.04614,1474.138,3.1899517,1.0353861,1.0,0.0,0.65006274
1247.9913,1432.4185,1004.4543,1477.7075,3.2167482,1.050231,1.0,0.0,0.65527266
1271.2391,1441.1621,1010.8646,1481.3185,3.2434425,1.0651582,1.0,0.0,0.66040504
1294.7484,1449.8853,1017.2763,1484.9708,3.2700336,1.0801667,1.0,0.0,0.665461
1318.4952,1458.5865,1023.68805,1488.6643,3.2965198,1.0952549,1.0,0.0,0.6704416
1342.5088,1467.2648,1030.0989,1492.3987,3.3229,1.1104217,1.0,0.0,0.6753481
1366.7802,1475.9185,1036.5077,1496.1741,3.3491735,1.1256655,1.0,0.0,0.6801815
1391.3206,1484.5463,1042.9136,1499.9901,3.3753386,1.1409855,1.0,0.0,0.68494296
1416.1351,1493.1472,1049.3153,1503.8467,3.4013944,1.1563802,1.0,0.0,0.6896336
1441.2596,1501.7201,1055.712,1507.7438,3.4273398,1.1718483,1.0,0.0,0.6942544
1466.6521,1510.2638,1062.1025,1511.681,3.4531736,1.1873887,1.0,0.0,0.6988064
1492.2915,1518.777,1068.4861,1515.6583,3.4788954,1.203,1.0,0.0,0.70329064
1518.1866,1527.2585,1074.8615,1519.6758,3.5045042,1.2186809,1.0,0.0,0.7077081
1544.327,1535.7072,1081.2278,1523.7327,3.529999,1.2344302,1.0,0.0,0.71205986
1570.7345,1544.1217,1087.584,1527.8292,3.555379,1.2502466,1.0,0.0,0.71634674
1597.4312,1552.5011,1093.9294,1531.9648,3.5806437,1.266129,1.0,0.0,0.72056985
1624.4058,1560.8442,1100.2628,1536.1399,3.6057918,1.282076,1.0,0.0,0.7247301
1651.6194,1569.15,1106.5834,1540.3535,3.6300168,1.2980864,1.0,0.0,0.7288283
1679.0729,1577.4174,1112.8901,1544.6058,3.653516,1.3141534,1.0,0.0,0.7328656
1706.7949,1585.6453,1119.1821,1548.8967,3.6764379,1.3302716,1.0,0.0,0.7368427
1734.8286,1593.8324,1125.4585,1553.2256,3.6988933,1.3464367,1.0,0.0,0.74076056
