con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.63637,0.0028556,105.17594,104.8756,27.239239,36.845238,22.135601,0.3003404,39.445236
79.79715,0.0031533004,108.57086,108.2285,28.431343,37.46048,22.689255,0.34235653,40.001358
82.14659,0.003426751,112.10944,111.72528,29.578688,38.097027,23.277603,0.38417113,40.580135
84.66648,0.0036808904,115.77451,115.348366,30.681879,38.747494,23.897926,0.42615327,41.17414
87.289444,0.0039201076,119.55574,119.08707,31.797625,39.407284,24.535439,0.46867138,41.778755
90.049576,0.004148139,123.44511,122.933044,32.883465,40.07267,25.204454,0.51206744,42.39022
92.939514,0.004368085,127.43456,126.877914,33.938408,40.74025,25.902382,0.55664504,43.005108
95.91169,0.0045824717,131.51869,130.91602,35.004326,41.407562,26.621445,0.6026807,43.620922
98.96565,0.0047933403,135.68971,135.0393,36.07365,42.07148,27.363733,0.65040696,44.234512
102.0987,0.005002322,139.9443,139.24428,37.145573,42.73047,28.127014,0.70004654,44.84432
105.31183,0.0052107135,144.281,143.52922,38.21738,43.38381,28.906548,0.7518071,45.449596
108.585365,0.0054195393,148.69759,147.89171,39.30634,44.03019,29.70444,0.8058724,46.049004
111.921875,0.005629609,153.19284,152.33043,40.40856,44.669083,30.517542,0.8624158,46.642002
115.32765,0.0058415593,157.76573,156.84413,41.516476,45.29986,31.344769,0.9215979,47.227913
118.79937,0.006055888,162.41537,161.43181,42.632435,45.921978,32.185604,0.9835693,47.8062
122.33215,0.006272985,167.14134,166.09286,43.76071,46.5349,33.042194,1.0484753,48.376274
125.91793,0.0064931554,171.94096,170.82451,44.90659,47.13789,33.906578,1.1164395,48.937397
129.56241,0.0067166314,176.81453,175.62694,46.064526,47.730587,34.782204,1.1875981,49.489174
133.25716,0.0069435933,181.76248,180.5004,47.243244,48.31318,35.667595,1.2620847,50.031784
137.02542,0.0071741757,186.7841,185.44408,48.418655,48.885036,36.568645,1.3400218,50.564564
140.84213,0.0074084788,191.87976,190.4582,49.61608,49.44627,37.484287,1.421537,51.08761
144.7055,0.007646574,197.04906,195.5423,50.836784,49.996635,38.409138,1.5067501,51.600655
148.6357,0.007888511,202.29076,200.69498,52.059288,50.5356,39.34653,1.5957727,52.103146
152.61964,0.008134321,207.60574,205.917,53.29739,51.063366,40.297195,1.6887318,52.59527
156.65668,0.00838402,212.9952,211.20943,54.552753,51.57992,41.259644,1.785756,53.076992
160.75813,0.008637609,218.45987,216.57292,55.814785,52.085617,42.23699,1.8869709,53.54865
164.91736,0.0088950815,223.9977,222.0052,57.08784,52.579582,43.224358,1.9924777,54.009346
169.12154,0.009156424,229.60855,227.50615,58.38462,53.061996,44.222027,2.1023932,54.45925
173.39038,0.009421613,235.2921,233.07526,59.684887,53.532413,45.23461,2.216831,54.897903
177.71387,0.00969062,241.05104,238.71509,61.001232,53.991608,46.257843,2.335934,55.32605
182.08734,0.00996341,246.88434,244.42455,62.337193,54.439167,47.290543,2.45981,55.743267
186.51175,0.0102399485,252.79166,250.20308,63.691326,54.875053,48.3399,2.5885737,56.149498
190.96606,0.010520192,258.7766,256.05423,65.08814,55.29992,49.40262,2.7223794,56.545383
195.48634,0.010804096,264.83862,261.97726,66.490944,55.713573,50.476566,2.861342,56.930717
200.07356,0.011091614,270.9794,267.97382,67.90024,56.11641,51.56796,3.005599,57.305885
204.7134,0.011382694,277.20016,274.0449,69.33149,56.508503,52.67228,3.1552846,57.67093
209.42218,0.011677292,283.49963,280.18915,70.76697,56.889557,53.790894,3.3105078,58.02556
214.20879,0.011975358,289.87375,286.4024,72.19361,57.258816,54.924576,3.4713418,58.368988
219.02112,0.0122768385,296.32492,292.68698,73.66587,57.616642,56.074146,3.6379335,58.70157
223.86584,0.012581674,302.8543,299.0439,75.17808,57.963253,57.235508,3.8104143,59.02351
228.77515,0.012889815,309.46548,305.47653,76.70138,58.29931,58.409016,3.9889529,59.335457
233.75221,0.0132012,316.15875,311.98508,78.23287,58.62491,59.597664,4.173675,59.637505
238.79997,0.013515776,322.93198,318.56732,79.76733,58.939545,60.80086,4.364676,59.929115
243.8931,0.013833483,329.78427,325.22223,81.32912,59.243153,62.01402,4.562065,60.21022
249.04076,0.014154263,336.7175,331.9515,82.91076,59.535843,63.24033,4.7659883,60.480923
254.2476,0.014478056,343.73267,338.7561,84.5085,59.818,64.48105,4.9765806,60.74159
259.5415,0.014804804,350.82983,345.63586,86.09437,60.08953,65.740814,5.1939673,60.99212
264.88287,0.015134446,358.00598,352.58777,87.704895,60.349922,67.01597,5.4182224,61.23199
270.27206,0.015466928,365.26547,359.61594,89.34388,60.600037,68.3025,5.649534,61.462044
275.7247,0.01580218,372.6079,366.71988,90.99521,60.83959,69.60319,5.888017,61.681988
281.22507,0.016140144,380.0301,373.89636,92.67127,61.068306,70.91914,6.1337404,61.891556
286.7907,0.016480763,387.53662,381.14975,94.35903,61.28684,72.25412,6.3868985,62.09137
292.39224,0.01682397,395.12982,388.48218,96.08995,61.495663,73.59489,6.647652,62.281902
298.06464,0.017169705,402.8042,395.88818,97.82354,61.693737,74.94467,6.9160295,62.462105
303.8017,0.01751791,410.56424,403.37204,99.570305,61.882,76.30989,7.1922274,62.632893
309.60123,0.017868523,418.4107,410.9343,101.33306,62.060345,77.68903,7.476381,62.794163
315.45865,0.018221484,426.33978,418.57123,103.11257,62.228477,79.08017,7.7685432,62.945618
321.3731,0.018576732,434.35236,426.28354,104.910416,62.38646,80.48305,8.068848,63.087296
327.35098,0.018934207,442.45016,434.07272,106.72173,62.534588,81.89831,8.377443,63.21948
333.36508,0.019293843,450.63474,441.94025,108.57517,62.67322,83.32038,8.694476,63.342552
339.44815,0.019655593,458.90695,449.88687,110.43872,62.802303,84.75547,9.020088,63.456406
345.5955,0.020019382,467.2658,457.91144,112.31598,62.921844,86.20056,9.354373,63.561077
351.80374,0.020385161,475.71048,466.01303,114.20927,63.031895,87.65678,9.697434,63.65659
358.0759,0.02075287,484.24133,474.19196,116.11606,63.13244,89.12548,10.049397,63.742924
364.41937,0.021122448,492.85794,482.4476,118.02824,63.22338,90.6106,10.410367,63.81999
370.8222,0.021493835,501.5617,490.7812,119.95896,63.305176,92.109055,10.780483,63.888226
377.31305,0.021866977,510.35425,499.19434,121.88129,63.377995,93.618034,11.159905,63.94778
383.84705,0.022241818,519.23047,507.68182,123.83481,63.44125,95.13757,11.548631,63.99808
390.43335,0.022618294,528.191,516.2442,125.81082,63.495094,96.66916,11.946778,64.03927
397.08713,0.02299635,537.2353,524.88086,127.79369,63.539566,98.2178,12.35445,64.07137
403.785,0.02337593,546.36414,533.59235,129.80739,63.57488,99.78703,12.77177,64.09458
410.5205,0.023756972,555.5818,542.3829,131.86237,63.601555,101.36675,13.198941,64.109436
417.31396,0.024139423,564.8901,551.25397,133.93997,63.619896,102.95789,13.636119,64.116234
424.2024,0.024523227,574.2885,560.20514,136.00275,63.62993,104.56662,14.083407,64.11498
431.15298,0.024908325,583.7761,569.2352,138.08223,63.631474,106.18617,14.540885,64.1055
438.1693,0.025294663,593.35144,578.3429,140.17355,63.6247,107.82002,15.008626,64.08795
445.2086,0.025682198,603.0123,587.52563,142.31705,63.609344,109.46173,15.486681,64.06206
452.3063,0.026070869,612.7668,596.7914,144.48506,63.586346,111.11742,15.975362,64.02876
459.46356,0.026460623,622.61456,606.1398,146.6762,63.555733,112.78711,16.474768,63.9881
466.69308,0.026851412,632.55304,615.5681,148.87503,63.51732,114.47084,16.984943,63.93985
473.98065,0.027243182,642.58295,625.0769,151.09625,63.471134,116.17,17.506002,63.88406
481.33282,0.027635887,652.70734,634.6692,153.33636,63.41778,117.88591,18.038145,63.821316
488.75778,0.028029473,662.9228,644.3414,155.58362,63.356808,119.614136,18.581377,63.751163
496.25955,0.028423898,673.22723,654.0915,157.83192,63.288292,121.35583,19.135742,63.67368
503.8297,0.028819116,683.61804,663.91675,160.08702,63.21188,123.11125,19.70127,63.588505
511.43146,0.029215079,694.0963,673.81824,162.38678,63.1279,124.86997,20.278078,63.49597
519.10114,0.02961173,704.67004,683.8035,164.70242,63.03718,126.64766,20.866499,63.396873
526.8547,0.029995466,715.33307,693.87634,167.0216,62.939247,128.436,21.456747,63.29076
534.6991,0.030369332,726.0832,704.0325,169.33337,62.834003,130.23985,22.05066,63.177532
542.58624,0.030735621,736.92194,714.27216,171.68593,62.72161,132.05739,22.649752,63.057327
550.508,0.031096073,747.8469,724.5918,174.08374,62.602173,133.88968,23.2551,62.930256
558.4973,0.03145199,758.86426,734.99646,176.49911,62.4761,135.73715,23.867786,62.796722
566.5267,0.031804334,769.97424,745.4858,178.95912,62.343624,137.60013,24.488518,62.65696
574.6244,0.032153852,781.1759,756.05804,181.43365,62.204765,139.48392,25.117815,62.510975
582.7999,0.032501083,792.4774,766.72107,183.92108,62.06027,141.38562,25.756374,62.359512
591.0551,0.032846425,803.87555,777.4711,186.416,61.909805,143.30452,26.404436,62.202255
599.3727,0.033190187,815.3666,788.30444,188.93178,61.753464,145.23299,27.06217,62.039257
607.76587,0.033532575,826.94904,799.21936,191.45348,61.59096,147.17613,27.72973,61.87025
616.2353,0.033873744,838.62305,810.21576,193.98045,61.42243,149.13394,28.407303,61.695366
624.756,0.034213822,850.38837,821.2933,196.53732,61.248165,151.10414,29.095036,61.5149
633.33936,0.03455287,862.2446,832.45154,199.11217,61.068054,153.08847,29.793026,61.328728
642.0098,0.034890927,874.1909,843.6896,201.67969,60.88235,155.10124,30.501331,61.13709
650.699,0.035228044,886.2229,855.00305,204.3041,60.690525,157.11327,31.2199,60.93948
659.4358,0.035564218,898.34564,866.3967,206.9609,60.493397,159.1352,31.94896,60.736687
668.26886,0.03589946,910.5664,877.8775,209.60869,60.291306,161.1804,32.688843,60.529064
677.1669,0.03623376,922.8832,889.44366,212.2768,60.08435,163.24374,33.43953,60.3167
686.1358,0.03656711,935.2917,901.09076,214.955,59.872337,165.32236,34.200916,60.099407
695.16724,0.0368995,947.79083,912.8178,217.65059,59.65518,167.41608,34.973007,59.877083
704.2153,0.037230905,960.38055,924.6247,220.40944,59.43312,169.5273,35.755833,59.64998
713.33777,0.0375613,973.068,936.5183,223.18051,59.206596,171.65378,36.5497,59.418518
722.53766,0.03789068,985.85175,948.49725,225.95955,58.9758,173.79968,37.354595,59.182915
731.81305,0.038219012,998.7284,960.5579,228.7449,58.740326,175.96231,38.170414,58.942726
741.1741,0.038546268,1011.6956,972.69855,231.52449,58.500443,178.1398,38.99709,58.69824
750.6059,0.038872436,1024.7521,984.91754,234.31165,58.25599,180.33197,39.83461,58.44929
760.06757,0.039197482,1037.8949,997.21204,237.14442,58.007027,182.54079,40.682865,58.195934
769.5684,0.039521392,1051.1222,1009.58044,240.01201,57.753567,184.7687,41.541813,57.93818
779.1355,0.039844133,1064.441,1022.0293,242.8938,57.496002,187.00024,42.41173,57.67642
788.77466,0.040165685,1077.8469,1034.5544,245.77974,57.234215,189.24486,43.292458,57.410526
798.5068,0.040486027,1091.3367,1047.1528,248.64598,56.96825,191.50798,44.183887,57.140553
808.277,0.040805127,1104.9102,1059.8242,251.54718,56.69823,193.78627,45.086,56.866615
818.1602,0.04112297,1118.5763,1072.5771,254.41681,56.424625,196.08505,45.999172,56.58918
828.0075,0.04143952,1132.3381,1085.4146,257.40707,56.14779,198.3908,46.92355,56.308605
837.8563,0.041754767,1146.2014,1098.342,260.48572,55.8681,200.70564,47.85937,56.02526
