kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
227.92676,0.99079645,1.0817795,-0.7912862,-0.095804684,-0.038713805,-0.24126251
233.48645,0.99512714,1.0749846,-0.78405064,-0.094453186,-0.03966336,-0.24096097
239.62784,0.9983491,1.0684658,-0.77723974,-0.09313353,-0.04052083,-0.24071275
246.2682,1.0006516,1.0622414,-0.7708562,-0.09192645,-0.04131752,-0.240549
253.34468,1.0024952,1.05622,-0.7646269,-0.09076679,-0.04191431,-0.24060817
260.7961,1.0037272,1.0507202,-0.7588463,-0.08964991,-0.042460624,-0.24062015
268.5809,1.0044403,1.0456419,-0.75326115,-0.08854088,-0.043003257,-0.24057521
276.6428,1.0049305,1.0409555,-0.7480271,-0.08757579,-0.043493554,-0.24070702
284.95654,1.0052209,1.0366696,-0.743102,-0.086612664,-0.044029273,-0.24095091
293.509,1.0053437,1.0326545,-0.7384085,-0.085726544,-0.044657502,-0.24131952
302.2824,1.0053107,1.0287924,-0.7338831,-0.08484045,-0.045270573,-0.24172111
311.26666,1.0052283,1.0251818,-0.72952,-0.083934255,-0.045969877,-0.24210772
320.45264,1.005091,1.0217056,-0.7253252,-0.08310788,-0.04671847,-0.24254775
329.8314,1.0048776,1.0183469,-0.7212708,-0.082295455,-0.047442634,-0.24300855
339.3983,1.0046107,1.0151024,-0.7173587,-0.08153484,-0.048139505,-0.24344806
349.13312,1.0043166,1.0119672,-0.7136241,-0.08084642,-0.048931718,-0.24395137
359.03595,1.0040314,1.0088456,-0.7099424,-0.08013207,-0.04965544,-0.24440908
369.107,1.0037338,1.0057614,-0.70632666,-0.07950189,-0.050396487,-0.24495429
379.33972,1.0034583,1.0027316,-0.70280623,-0.07884186,-0.05111368,-0.24553512
389.73453,1.0031195,0.99984056,-0.6994373,-0.078205325,-0.051800206,-0.24617428
400.28665,1.0028132,0.9971528,-0.6962583,-0.07755761,-0.05244393,-0.24694918
410.98526,1.0025446,0.9944643,-0.69312996,-0.076945454,-0.053123556,-0.24766682
421.8349,1.0022444,0.9918503,-0.69013065,-0.07641831,-0.05375718,-0.24836965
432.84113,1.0019588,0.9893176,-0.68729895,-0.07589424,-0.054418784,-0.2490753
444.00665,1.0016904,0.9868362,-0.6845682,-0.07534088,-0.055094816,-0.24978489
455.31616,1.001404,0.9844294,-0.68190306,-0.07483514,-0.05580805,-0.25046378
466.76642,1.0011222,0.9820597,-0.6792629,-0.074339256,-0.056471795,-0.25115108
478.35336,1.0008839,0.97972,-0.67665577,-0.073801324,-0.057165895,-0.25193265
490.0929,1.0006301,0.9775156,-0.6742087,-0.073311344,-0.057792917,-0.25281084
501.97653,1.0003914,0.9753488,-0.6718531,-0.07287462,-0.05838895,-0.2536432
513.99927,1.0001802,0.97319275,-0.6695859,-0.0724977,-0.058977067,-0.25441885
526.1848,0.99999356,0.9711797,-0.6673249,-0.072089426,-0.059597377,-0.25527853
538.5264,0.99988526,0.9692517,-0.66518176,-0.07166519,-0.060288224,-0.25609672
551.0345,0.9997589,0.96738,-0.66313523,-0.07127983,-0.060871303,-0.2568828
563.7142,0.9996139,0.96560735,-0.66115755,-0.07083425,-0.06146874,-0.25770107
576.5562,0.99948764,0.9638765,-0.65922344,-0.07040323,-0.06207998,-0.25857788
589.5303,0.99934036,0.96217227,-0.65727854,-0.07004725,-0.06270905,-0.2595026
602.6517,0.9991537,0.96054864,-0.6554697,-0.06969809,-0.06325339,-0.26045278
615.926,0.9990499,0.959043,-0.65366286,-0.06936708,-0.06387744,-0.2613637
629.3758,0.99900943,0.9575706,-0.65187055,-0.06901806,-0.064556025,-0.26229337
643.00104,0.9989584,0.9561017,-0.6501352,-0.068703935,-0.06521542,-0.26319468
656.7857,0.9988918,0.9546858,-0.6484274,-0.06837107,-0.06585184,-0.26410502
670.72217,0.9988046,0.95329595,-0.6467287,-0.06800234,-0.06648414,-0.26502132
684.8214,0.9987508,0.9519122,-0.64506006,-0.06766954,-0.06710716,-0.26592544
699.08813,0.9987106,0.95053405,-0.6434564,-0.0673859,-0.067770325,-0.26687747
713.5215,0.99867433,0.9492099,-0.6418573,-0.06710346,-0.06841333,-0.26786315
728.0992,0.99858886,0.94796205,-0.6403373,-0.06678818,-0.069016784,-0.26880658
742.8485,0.99853235,0.94676167,-0.63884866,-0.0664398,-0.06966862,-0.26972914
757.76605,0.99850297,0.94560015,-0.6374219,-0.06610905,-0.07026482,-0.2706885
772.8288,0.9984711,0.9444427,-0.63596505,-0.065845996,-0.070892975,-0.2716507
788.0654,0.9984652,0.9433327,-0.63455385,-0.0656001,-0.071551934,-0.2726163
803.49084,0.9984539,0.9422638,-0.6332058,-0.0653489,-0.072276354,-0.27357686
819.06586,0.998488,0.94116884,-0.6318687,-0.065109104,-0.072950155,-0.2745202
834.8194,0.9985067,0.9400533,-0.6305029,-0.064880535,-0.07355194,-0.2754469
850.7549,0.99852145,0.9389445,-0.6291358,-0.06459516,-0.07419929,-0.2763284
866.8458,0.9985365,0.9378503,-0.6277973,-0.06437642,-0.07484461,-0.27720305
883.09753,0.99855924,0.9367534,-0.6264823,-0.06417653,-0.07549222,-0.27805382
899.5177,0.9985908,0.93564916,-0.62516576,-0.063961014,-0.07614982,-0.27892783
916.1172,0.99862164,0.93451667,-0.6238919,-0.063749716,-0.07684608,-0.27986798
932.8997,0.9986927,0.9333688,-0.62261456,-0.063483395,-0.077514075,-0.28080973
949.859,0.9987539,0.93221956,-0.6213469,-0.06322154,-0.078175075,-0.28170773
966.9872,0.99881274,0.9310622,-0.62006956,-0.06298857,-0.07879412,-0.2825939
984.28326,0.9988741,0.9299012,-0.618797,-0.06274837,-0.07939779,-0.2834831
1001.7477,0.99893475,0.9287469,-0.6175328,-0.062521294,-0.079989,-0.28437686
1019.3847,0.998984,0.9276021,-0.61629784,-0.062357366,-0.080624044,-0.28528652
1037.2056,0.999039,0.9264833,-0.6150692,-0.06217073,-0.08123717,-0.2861925
1055.1754,0.99906194,0.9253216,-0.6138756,-0.06195107,-0.08182487,-0.28697065
1073.2964,0.99911284,0.92418164,-0.6128005,-0.06178189,-0.08237816,-0.28771555
1091.5631,0.9991786,0.9230552,-0.6117449,-0.06162923,-0.082929224,-0.28847915
1109.981,0.99924016,0.9219661,-0.61064965,-0.06143576,-0.08350031,-0.28931138
1128.5771,0.9993264,0.92095613,-0.60956013,-0.061225705,-0.08412568,-0.29018277
1147.3632,0.9994443,0.9199688,-0.6085226,-0.061054066,-0.08471804,-0.29101983
1166.335,0.999568,0.91899127,-0.60750777,-0.060918853,-0.08527286,-0.29183987
1185.4873,0.9996539,0.91801625,-0.60648876,-0.06073977,-0.08583902,-0.29266086
1204.8052,0.9997415,0.9170333,-0.6054924,-0.060559355,-0.08638555,-0.2934462
1224.2753,0.9998273,0.9160354,-0.60452825,-0.060338408,-0.0869848,-0.2942271
